agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
colbench_backend_programming colbench_example_agent__o4-mini-2025-04-16__colbench_backend_programming_colbench_backend_programming_colbench_example_agento4mini20250416high_1758569130,colbench_backend_programming colbench_example_agent,o4-mini-2025-04-16,colbench_backend_programming,1,1,colbench_backend_programming_colbench_backend_programming_colbench_example_agento4mini20250416high_1758569130,2025-09-22,31.3843466,1000,343,colbench_backend_programming_colbench_backend_programming_colbench_example_agento4mini20250416high_1758569130_UPLOAD.zip
colbench_backend_programming colbench_example_agent__o4-mini-2025-04-16__colbench_backend_programming_colbench_backend_programming_colbench_example_agento4mini20250416high_1758569130,colbench_backend_programming colbench_example_agent,o4-mini-2025-04-16,colbench_backend_programming,7,1,colbench_backend_programming_colbench_backend_programming_colbench_example_agento4mini20250416high_1758569130,2025-09-22,31.3843466,1000,343,colbench_backend_programming_colbench_backend_programming_colbench_example_agento4mini20250416high_1758569130_UPLOAD.zip
colbench_backend_programming colbench_example_agent__o4-mini-2025-04-16__colbench_backend_programming_colbench_backend_programming_colbench_example_agento4mini20250416high_1758569130,colbench_backend_programming colbench_example_agent,o4-mini-2025-04-16,colbench_backend_programming,19,1,colbench_backend_programming_colbench_backend_programming_colbench_example_agento4mini20250416high_1758569130,2025-09-22,31.3843466,1000,343,colbench_backend_programming_colbench_backend_programming_colbench_example_agento4mini20250416high_1758569130_UPLOAD.zip
colbench_backend_programming colbench_example_agent__o4-mini-2025-04-16__colbench_backend_programming_colbench_backend_programming_colbench_example_agento4mini20250416high_1758569130,colbench_backend_programming colbench_example_agent,o4-mini-2025-04-16,colbench_backend_programming,20,1,colbench_backend_programming_colbench_backend_programming_colbench_example_agento4mini20250416high_1758569130,2025-09-22,31.3843466,1000,343,colbench_backend_programming_colbench_backend_programming_colbench_example_agento4mini20250416high_1758569130_UPLOAD.zip
colbench_backend_programming colbench_example_agent__o4-mini-2025-04-16__colbench_backend_programming_colbench_backend_programming_colbench_example_agento4mini20250416high_1758569130,colbench_backend_programming colbench_example_agent,o4-mini-2025-04-16,colbench_backend_programming,21,1,colbench_backend_programming_colbench_backend_programming_colbench_example_agento4mini20250416high_1758569130,2025-09-22,31.3843466,1000,343,colbench_backend_programming_colbench_backend_programming_colbench_example_agento4mini20250416high_1758569130_UPLOAD.zip
colbench_backend_programming colbench_example_agent__o4-mini-2025-04-16__colbench_backend_programming_colbench_backend_programming_colbench_example_agento4mini20250416high_1758569130,colbench_backend_programming colbench_example_agent,o4-mini-2025-04-16,colbench_backend_programming,26,1,colbench_backend_programming_colbench_backend_programming_colbench_example_agento4mini20250416high_1758569130,2025-09-22,31.3843466,1000,343,colbench_backend_programming_colbench_backend_programming_colbench_example_agento4mini20250416high_1758569130_UPLOAD.zip
colbench_backend_programming colbench_example_agent__o4-mini-2025-04-16__colbench_backend_programming_colbench_backend_programming_colbench_example_agento4mini20250416high_1758569130,colbench_backend_programming colbench_example_agent,o4-mini-2025-04-16,colbench_backend_programming,33,1,colbench_backend_programming_colbench_backend_programming_colbench_example_agento4mini20250416high_1758569130,2025-09-22,31.3843466,1000,343,colbench_backend_programming_colbench_backend_programming_colbench_example_agento4mini20250416high_1758569130_UPLOAD.zip
colbench_backend_programming colbench_example_agent__o4-mini-2025-04-16__colbench_backend_programming_colbench_backend_programming_colbench_example_agento4mini20250416high_1758569130,colbench_backend_programming colbench_example_agent,o4-mini-2025-04-16,colbench_backend_programming,36,1,colbench_backend_programming_colbench_backend_programming_colbench_example_agento4mini20250416high_1758569130,2025-09-22,31.3843466,1000,343,colbench_backend_programming_colbench_backend_programming_colbench_example_agento4mini20250416high_1758569130_UPLOAD.zip
colbench_backend_programming colbench_example_agent__o4-mini-2025-04-16__colbench_backend_programming_colbench_backend_programming_colbench_example_agento4mini20250416high_1758569130,colbench_backend_programming colbench_example_agent,o4-mini-2025-04-16,colbench_backend_programming,38,1,colbench_backend_programming_colbench_backend_programming_colbench_example_agento4mini20250416high_1758569130,2025-09-22,31.3843466,1000,343,colbench_backend_programming_colbench_backend_programming_colbench_example_agento4mini20250416high_1758569130_UPLOAD.zip
colbench_backend_programming colbench_example_agent__o4-mini-2025-04-16__colbench_backend_programming_colbench_backend_programming_colbench_example_agento4mini20250416high_1758569130,colbench_backend_programming colbench_example_agent,o4-mini-2025-04-16,colbench_backend_programming,42,1,colbench_backend_programming_colbench_backend_programming_colbench_example_agento4mini20250416high_1758569130,2025-09-22,31.3843466,1000,343,colbench_backend_programming_colbench_backend_programming_colbench_example_agento4mini20250416high_1758569130_UPLOAD.zip
