agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-1624349,1,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-1175539,1,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-1724988,1,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-5136217,1,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-3449234,1,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-6003668,1,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-0504157,1,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-9054015,1,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-2816027,1,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-0851068,1,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-9832712,1,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-9052293,1,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-2708693,1,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-3849634,1,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-7716865,1,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-4252248,1,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-3301293,1,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-0921079,1,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-6049678,1,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-9670283,1,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-3418007,1,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-2345790,1,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-1394704,1,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-3639589,1,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-2414499,1,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-7186268,1,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-8234136,1,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-9641396,1,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-4671827,1,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-3593259,1,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-9137200,1,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-4180912,1,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-2804717,1,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-8807709,1,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-3262218,1,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-4728591,0,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-9240688,0,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-4933686,0,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-9660931,0,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-8536428,0,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-5507257,0,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-3821950,0,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-9911222,0,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-4299879,0,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,capsule-1900704,0,corebench_hard_claude_code_claudeopus45_1764537671,2025-12-01,87.16201675000002,45,35,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip
