agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
CORE-Agent__claude-haiku-4-5__corebench_hard_coreagentclaudehaiku45_1760647306,CORE-Agent,claude-haiku-4-5,corebench_hard,capsule-4671827,1,corebench_hard_coreagentclaudehaiku45_1760647306,2025-10-16,0,45,5,corebench_hard_coreagentclaudehaiku45_1760647306_UPLOAD.zip
CORE-Agent__claude-haiku-4-5__corebench_hard_coreagentclaudehaiku45_1760647306,CORE-Agent,claude-haiku-4-5,corebench_hard,capsule-2345790,1,corebench_hard_coreagentclaudehaiku45_1760647306,2025-10-16,0,45,5,corebench_hard_coreagentclaudehaiku45_1760647306_UPLOAD.zip
CORE-Agent__claude-haiku-4-5__corebench_hard_coreagentclaudehaiku45_1760647306,CORE-Agent,claude-haiku-4-5,corebench_hard,capsule-6049678,1,corebench_hard_coreagentclaudehaiku45_1760647306,2025-10-16,0,45,5,corebench_hard_coreagentclaudehaiku45_1760647306_UPLOAD.zip
CORE-Agent__claude-haiku-4-5__corebench_hard_coreagentclaudehaiku45_1760647306,CORE-Agent,claude-haiku-4-5,corebench_hard,capsule-2414499,1,corebench_hard_coreagentclaudehaiku45_1760647306,2025-10-16,0,45,5,corebench_hard_coreagentclaudehaiku45_1760647306_UPLOAD.zip
CORE-Agent__claude-haiku-4-5__corebench_hard_coreagentclaudehaiku45_1760647306,CORE-Agent,claude-haiku-4-5,corebench_hard,capsule-1624349,1,corebench_hard_coreagentclaudehaiku45_1760647306,2025-10-16,0,45,5,corebench_hard_coreagentclaudehaiku45_1760647306_UPLOAD.zip
CORE-Agent__claude-haiku-4-5__corebench_hard_coreagentclaudehaiku45_1760647306,CORE-Agent,claude-haiku-4-5,corebench_hard,capsule-3849634,0,corebench_hard_coreagentclaudehaiku45_1760647306,2025-10-16,0,45,5,corebench_hard_coreagentclaudehaiku45_1760647306_UPLOAD.zip
CORE-Agent__claude-haiku-4-5__corebench_hard_coreagentclaudehaiku45_1760647306,CORE-Agent,claude-haiku-4-5,corebench_hard,capsule-0504157,0,corebench_hard_coreagentclaudehaiku45_1760647306,2025-10-16,0,45,5,corebench_hard_coreagentclaudehaiku45_1760647306_UPLOAD.zip
CORE-Agent__claude-haiku-4-5__corebench_hard_coreagentclaudehaiku45_1760647306,CORE-Agent,claude-haiku-4-5,corebench_hard,capsule-1900704,0,corebench_hard_coreagentclaudehaiku45_1760647306,2025-10-16,0,45,5,corebench_hard_coreagentclaudehaiku45_1760647306_UPLOAD.zip
CORE-Agent__claude-haiku-4-5__corebench_hard_coreagentclaudehaiku45_1760647306,CORE-Agent,claude-haiku-4-5,corebench_hard,capsule-6003668,0,corebench_hard_coreagentclaudehaiku45_1760647306,2025-10-16,0,45,5,corebench_hard_coreagentclaudehaiku45_1760647306_UPLOAD.zip
CORE-Agent__claude-haiku-4-5__corebench_hard_coreagentclaudehaiku45_1760647306,CORE-Agent,claude-haiku-4-5,corebench_hard,capsule-3821950,0,corebench_hard_coreagentclaudehaiku45_1760647306,2025-10-16,0,45,5,corebench_hard_coreagentclaudehaiku45_1760647306_UPLOAD.zip
