agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
HAL Generalist Agent__anthropic/claude-3-7-sonnet-20250219__scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217,HAL Generalist Agent,anthropic/claude-3-7-sonnet-20250219,scicode,16,1,scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217,2025-07-29,188.154993,65,2,scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217_UPLOAD.zip
HAL Generalist Agent__anthropic/claude-3-7-sonnet-20250219__scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217,HAL Generalist Agent,anthropic/claude-3-7-sonnet-20250219,scicode,30,1,scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217,2025-07-29,188.154993,65,2,scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217_UPLOAD.zip
HAL Generalist Agent__anthropic/claude-3-7-sonnet-20250219__scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217,HAL Generalist Agent,anthropic/claude-3-7-sonnet-20250219,scicode,77,0,scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217,2025-07-29,188.154993,65,2,scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217_UPLOAD.zip
HAL Generalist Agent__anthropic/claude-3-7-sonnet-20250219__scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217,HAL Generalist Agent,anthropic/claude-3-7-sonnet-20250219,scicode,11,0,scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217,2025-07-29,188.154993,65,2,scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217_UPLOAD.zip
HAL Generalist Agent__anthropic/claude-3-7-sonnet-20250219__scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217,HAL Generalist Agent,anthropic/claude-3-7-sonnet-20250219,scicode,12,0,scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217,2025-07-29,188.154993,65,2,scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217_UPLOAD.zip
HAL Generalist Agent__anthropic/claude-3-7-sonnet-20250219__scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217,HAL Generalist Agent,anthropic/claude-3-7-sonnet-20250219,scicode,13,0,scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217,2025-07-29,188.154993,65,2,scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217_UPLOAD.zip
HAL Generalist Agent__anthropic/claude-3-7-sonnet-20250219__scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217,HAL Generalist Agent,anthropic/claude-3-7-sonnet-20250219,scicode,2,0,scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217,2025-07-29,188.154993,65,2,scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217_UPLOAD.zip
HAL Generalist Agent__anthropic/claude-3-7-sonnet-20250219__scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217,HAL Generalist Agent,anthropic/claude-3-7-sonnet-20250219,scicode,74,0,scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217,2025-07-29,188.154993,65,2,scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217_UPLOAD.zip
HAL Generalist Agent__anthropic/claude-3-7-sonnet-20250219__scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217,HAL Generalist Agent,anthropic/claude-3-7-sonnet-20250219,scicode,5,0,scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217,2025-07-29,188.154993,65,2,scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217_UPLOAD.zip
HAL Generalist Agent__anthropic/claude-3-7-sonnet-20250219__scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217,HAL Generalist Agent,anthropic/claude-3-7-sonnet-20250219,scicode,8,0,scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217,2025-07-29,188.154993,65,2,scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217_UPLOAD.zip
HAL Generalist Agent__anthropic/claude-3-7-sonnet-20250219__scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217,HAL Generalist Agent,anthropic/claude-3-7-sonnet-20250219,scicode,9,0,scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217,2025-07-29,188.154993,65,2,scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217_UPLOAD.zip
HAL Generalist Agent__anthropic/claude-3-7-sonnet-20250219__scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217,HAL Generalist Agent,anthropic/claude-3-7-sonnet-20250219,scicode,14,0,scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217,2025-07-29,188.154993,65,2,scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217_UPLOAD.zip
HAL Generalist Agent__anthropic/claude-3-7-sonnet-20250219__scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217,HAL Generalist Agent,anthropic/claude-3-7-sonnet-20250219,scicode,15,0,scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217,2025-07-29,188.154993,65,2,scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217_UPLOAD.zip
HAL Generalist Agent__anthropic/claude-3-7-sonnet-20250219__scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217,HAL Generalist Agent,anthropic/claude-3-7-sonnet-20250219,scicode,17,0,scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217,2025-07-29,188.154993,65,2,scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217_UPLOAD.zip
HAL Generalist Agent__anthropic/claude-3-7-sonnet-20250219__scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217,HAL Generalist Agent,anthropic/claude-3-7-sonnet-20250219,scicode,18,0,scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217,2025-07-29,188.154993,65,2,scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217_UPLOAD.zip
HAL Generalist Agent__anthropic/claude-3-7-sonnet-20250219__scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217,HAL Generalist Agent,anthropic/claude-3-7-sonnet-20250219,scicode,20,0,scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217,2025-07-29,188.154993,65,2,scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217_UPLOAD.zip
