agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
SciCode Tool Calling Agent__openrouter/anthropic/claude-opus-4.1__scicode_scicode_tool_calling_agent_claudeopus4120250514_1754678715,SciCode Tool Calling Agent,openrouter/anthropic/claude-opus-4.1,scicode,74,1,scicode_scicode_tool_calling_agent_claudeopus4120250514_1754678715,2025-08-08,507.73227,65,5,scicode_scicode-tool_calling_agent_claudeopus4120250514_1754678715_UPLOAD.zip
SciCode Tool Calling Agent__openrouter/anthropic/claude-opus-4.1__scicode_scicode_tool_calling_agent_claudeopus4120250514_1754678715,SciCode Tool Calling Agent,openrouter/anthropic/claude-opus-4.1,scicode,14,1,scicode_scicode_tool_calling_agent_claudeopus4120250514_1754678715,2025-08-08,507.73227,65,5,scicode_scicode-tool_calling_agent_claudeopus4120250514_1754678715_UPLOAD.zip
SciCode Tool Calling Agent__openrouter/anthropic/claude-opus-4.1__scicode_scicode_tool_calling_agent_claudeopus4120250514_1754678715,SciCode Tool Calling Agent,openrouter/anthropic/claude-opus-4.1,scicode,20,1,scicode_scicode_tool_calling_agent_claudeopus4120250514_1754678715,2025-08-08,507.73227,65,5,scicode_scicode-tool_calling_agent_claudeopus4120250514_1754678715_UPLOAD.zip
SciCode Tool Calling Agent__openrouter/anthropic/claude-opus-4.1__scicode_scicode_tool_calling_agent_claudeopus4120250514_1754678715,SciCode Tool Calling Agent,openrouter/anthropic/claude-opus-4.1,scicode,36,1,scicode_scicode_tool_calling_agent_claudeopus4120250514_1754678715,2025-08-08,507.73227,65,5,scicode_scicode-tool_calling_agent_claudeopus4120250514_1754678715_UPLOAD.zip
SciCode Tool Calling Agent__openrouter/anthropic/claude-opus-4.1__scicode_scicode_tool_calling_agent_claudeopus4120250514_1754678715,SciCode Tool Calling Agent,openrouter/anthropic/claude-opus-4.1,scicode,53,1,scicode_scicode_tool_calling_agent_claudeopus4120250514_1754678715,2025-08-08,507.73227,65,5,scicode_scicode-tool_calling_agent_claudeopus4120250514_1754678715_UPLOAD.zip
SciCode Tool Calling Agent__openrouter/anthropic/claude-opus-4.1__scicode_scicode_tool_calling_agent_claudeopus4120250514_1754678715,SciCode Tool Calling Agent,openrouter/anthropic/claude-opus-4.1,scicode,77,0,scicode_scicode_tool_calling_agent_claudeopus4120250514_1754678715,2025-08-08,507.73227,65,5,scicode_scicode-tool_calling_agent_claudeopus4120250514_1754678715_UPLOAD.zip
SciCode Tool Calling Agent__openrouter/anthropic/claude-opus-4.1__scicode_scicode_tool_calling_agent_claudeopus4120250514_1754678715,SciCode Tool Calling Agent,openrouter/anthropic/claude-opus-4.1,scicode,11,0,scicode_scicode_tool_calling_agent_claudeopus4120250514_1754678715,2025-08-08,507.73227,65,5,scicode_scicode-tool_calling_agent_claudeopus4120250514_1754678715_UPLOAD.zip
SciCode Tool Calling Agent__openrouter/anthropic/claude-opus-4.1__scicode_scicode_tool_calling_agent_claudeopus4120250514_1754678715,SciCode Tool Calling Agent,openrouter/anthropic/claude-opus-4.1,scicode,12,0,scicode_scicode_tool_calling_agent_claudeopus4120250514_1754678715,2025-08-08,507.73227,65,5,scicode_scicode-tool_calling_agent_claudeopus4120250514_1754678715_UPLOAD.zip
SciCode Tool Calling Agent__openrouter/anthropic/claude-opus-4.1__scicode_scicode_tool_calling_agent_claudeopus4120250514_1754678715,SciCode Tool Calling Agent,openrouter/anthropic/claude-opus-4.1,scicode,13,0,scicode_scicode_tool_calling_agent_claudeopus4120250514_1754678715,2025-08-08,507.73227,65,5,scicode_scicode-tool_calling_agent_claudeopus4120250514_1754678715_UPLOAD.zip
SciCode Tool Calling Agent__openrouter/anthropic/claude-opus-4.1__scicode_scicode_tool_calling_agent_claudeopus4120250514_1754678715,SciCode Tool Calling Agent,openrouter/anthropic/claude-opus-4.1,scicode,2,0,scicode_scicode_tool_calling_agent_claudeopus4120250514_1754678715,2025-08-08,507.73227,65,5,scicode_scicode-tool_calling_agent_claudeopus4120250514_1754678715_UPLOAD.zip
