agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
Scicode Tool Calling Agent__anthropic/claude-3-7-sonnet-20250219__scicode_scicode_tool_calling_agent_claude37sonnet20250219_1745294865,Scicode Tool Calling Agent,anthropic/claude-3-7-sonnet-20250219,scicode,74,1,scicode_scicode_tool_calling_agent_claude37sonnet20250219_1745294865,2025-04-22,191.41034100000002,65,2,scicode_scicode_tool_calling_agent_claude37sonnet20250219_1745294865_UPLOAD.zip
Scicode Tool Calling Agent__anthropic/claude-3-7-sonnet-20250219__scicode_scicode_tool_calling_agent_claude37sonnet20250219_1745294865,Scicode Tool Calling Agent,anthropic/claude-3-7-sonnet-20250219,scicode,36,1,scicode_scicode_tool_calling_agent_claude37sonnet20250219_1745294865,2025-04-22,191.41034100000002,65,2,scicode_scicode_tool_calling_agent_claude37sonnet20250219_1745294865_UPLOAD.zip
Scicode Tool Calling Agent__anthropic/claude-3-7-sonnet-20250219__scicode_scicode_tool_calling_agent_claude37sonnet20250219_1745294865,Scicode Tool Calling Agent,anthropic/claude-3-7-sonnet-20250219,scicode,77,0,scicode_scicode_tool_calling_agent_claude37sonnet20250219_1745294865,2025-04-22,191.41034100000002,65,2,scicode_scicode_tool_calling_agent_claude37sonnet20250219_1745294865_UPLOAD.zip
Scicode Tool Calling Agent__anthropic/claude-3-7-sonnet-20250219__scicode_scicode_tool_calling_agent_claude37sonnet20250219_1745294865,Scicode Tool Calling Agent,anthropic/claude-3-7-sonnet-20250219,scicode,11,0,scicode_scicode_tool_calling_agent_claude37sonnet20250219_1745294865,2025-04-22,191.41034100000002,65,2,scicode_scicode_tool_calling_agent_claude37sonnet20250219_1745294865_UPLOAD.zip
Scicode Tool Calling Agent__anthropic/claude-3-7-sonnet-20250219__scicode_scicode_tool_calling_agent_claude37sonnet20250219_1745294865,Scicode Tool Calling Agent,anthropic/claude-3-7-sonnet-20250219,scicode,12,0,scicode_scicode_tool_calling_agent_claude37sonnet20250219_1745294865,2025-04-22,191.41034100000002,65,2,scicode_scicode_tool_calling_agent_claude37sonnet20250219_1745294865_UPLOAD.zip
Scicode Tool Calling Agent__anthropic/claude-3-7-sonnet-20250219__scicode_scicode_tool_calling_agent_claude37sonnet20250219_1745294865,Scicode Tool Calling Agent,anthropic/claude-3-7-sonnet-20250219,scicode,13,0,scicode_scicode_tool_calling_agent_claude37sonnet20250219_1745294865,2025-04-22,191.41034100000002,65,2,scicode_scicode_tool_calling_agent_claude37sonnet20250219_1745294865_UPLOAD.zip
Scicode Tool Calling Agent__anthropic/claude-3-7-sonnet-20250219__scicode_scicode_tool_calling_agent_claude37sonnet20250219_1745294865,Scicode Tool Calling Agent,anthropic/claude-3-7-sonnet-20250219,scicode,2,0,scicode_scicode_tool_calling_agent_claude37sonnet20250219_1745294865,2025-04-22,191.41034100000002,65,2,scicode_scicode_tool_calling_agent_claude37sonnet20250219_1745294865_UPLOAD.zip
Scicode Tool Calling Agent__anthropic/claude-3-7-sonnet-20250219__scicode_scicode_tool_calling_agent_claude37sonnet20250219_1745294865,Scicode Tool Calling Agent,anthropic/claude-3-7-sonnet-20250219,scicode,5,0,scicode_scicode_tool_calling_agent_claude37sonnet20250219_1745294865,2025-04-22,191.41034100000002,65,2,scicode_scicode_tool_calling_agent_claude37sonnet20250219_1745294865_UPLOAD.zip
Scicode Tool Calling Agent__anthropic/claude-3-7-sonnet-20250219__scicode_scicode_tool_calling_agent_claude37sonnet20250219_1745294865,Scicode Tool Calling Agent,anthropic/claude-3-7-sonnet-20250219,scicode,8,0,scicode_scicode_tool_calling_agent_claude37sonnet20250219_1745294865,2025-04-22,191.41034100000002,65,2,scicode_scicode_tool_calling_agent_claude37sonnet20250219_1745294865_UPLOAD.zip
Scicode Tool Calling Agent__anthropic/claude-3-7-sonnet-20250219__scicode_scicode_tool_calling_agent_claude37sonnet20250219_1745294865,Scicode Tool Calling Agent,anthropic/claude-3-7-sonnet-20250219,scicode,9,0,scicode_scicode_tool_calling_agent_claude37sonnet20250219_1745294865,2025-04-22,191.41034100000002,65,2,scicode_scicode_tool_calling_agent_claude37sonnet20250219_1745294865_UPLOAD.zip
Scicode Tool Calling Agent__anthropic/claude-3-7-sonnet-20250219__scicode_scicode_tool_calling_agent_claude37sonnet20250219_1745294865,Scicode Tool Calling Agent,anthropic/claude-3-7-sonnet-20250219,scicode,14,0,scicode_scicode_tool_calling_agent_claude37sonnet20250219_1745294865,2025-04-22,191.41034100000002,65,2,scicode_scicode_tool_calling_agent_claude37sonnet20250219_1745294865_UPLOAD.zip
Scicode Tool Calling Agent__anthropic/claude-3-7-sonnet-20250219__scicode_scicode_tool_calling_agent_claude37sonnet20250219_1745294865,Scicode Tool Calling Agent,anthropic/claude-3-7-sonnet-20250219,scicode,15,0,scicode_scicode_tool_calling_agent_claude37sonnet20250219_1745294865,2025-04-22,191.41034100000002,65,2,scicode_scicode_tool_calling_agent_claude37sonnet20250219_1745294865_UPLOAD.zip
