agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
Scicode Tool Calling Agent__anthropic/claude-sonnet-4-5-20250929__scicode_scicode_tool_calling_agent_claudesonnet4520250929_1759418654,Scicode Tool Calling Agent,anthropic/claude-sonnet-4-5-20250929,scicode,25,1,scicode_scicode_tool_calling_agent_claudesonnet4520250929_1759418654,2025-10-02,104.29091100000001,65,2,scicode_scicode_tool_calling_agent_claudesonnet4520250929_1759418654_UPLOAD.zip
Scicode Tool Calling Agent__anthropic/claude-sonnet-4-5-20250929__scicode_scicode_tool_calling_agent_claudesonnet4520250929_1759418654,Scicode Tool Calling Agent,anthropic/claude-sonnet-4-5-20250929,scicode,56,1,scicode_scicode_tool_calling_agent_claudesonnet4520250929_1759418654,2025-10-02,104.29091100000001,65,2,scicode_scicode_tool_calling_agent_claudesonnet4520250929_1759418654_UPLOAD.zip
Scicode Tool Calling Agent__anthropic/claude-sonnet-4-5-20250929__scicode_scicode_tool_calling_agent_claudesonnet4520250929_1759418654,Scicode Tool Calling Agent,anthropic/claude-sonnet-4-5-20250929,scicode,77,0,scicode_scicode_tool_calling_agent_claudesonnet4520250929_1759418654,2025-10-02,104.29091100000001,65,2,scicode_scicode_tool_calling_agent_claudesonnet4520250929_1759418654_UPLOAD.zip
Scicode Tool Calling Agent__anthropic/claude-sonnet-4-5-20250929__scicode_scicode_tool_calling_agent_claudesonnet4520250929_1759418654,Scicode Tool Calling Agent,anthropic/claude-sonnet-4-5-20250929,scicode,11,0,scicode_scicode_tool_calling_agent_claudesonnet4520250929_1759418654,2025-10-02,104.29091100000001,65,2,scicode_scicode_tool_calling_agent_claudesonnet4520250929_1759418654_UPLOAD.zip
Scicode Tool Calling Agent__anthropic/claude-sonnet-4-5-20250929__scicode_scicode_tool_calling_agent_claudesonnet4520250929_1759418654,Scicode Tool Calling Agent,anthropic/claude-sonnet-4-5-20250929,scicode,12,0,scicode_scicode_tool_calling_agent_claudesonnet4520250929_1759418654,2025-10-02,104.29091100000001,65,2,scicode_scicode_tool_calling_agent_claudesonnet4520250929_1759418654_UPLOAD.zip
Scicode Tool Calling Agent__anthropic/claude-sonnet-4-5-20250929__scicode_scicode_tool_calling_agent_claudesonnet4520250929_1759418654,Scicode Tool Calling Agent,anthropic/claude-sonnet-4-5-20250929,scicode,13,0,scicode_scicode_tool_calling_agent_claudesonnet4520250929_1759418654,2025-10-02,104.29091100000001,65,2,scicode_scicode_tool_calling_agent_claudesonnet4520250929_1759418654_UPLOAD.zip
Scicode Tool Calling Agent__anthropic/claude-sonnet-4-5-20250929__scicode_scicode_tool_calling_agent_claudesonnet4520250929_1759418654,Scicode Tool Calling Agent,anthropic/claude-sonnet-4-5-20250929,scicode,2,0,scicode_scicode_tool_calling_agent_claudesonnet4520250929_1759418654,2025-10-02,104.29091100000001,65,2,scicode_scicode_tool_calling_agent_claudesonnet4520250929_1759418654_UPLOAD.zip
Scicode Tool Calling Agent__anthropic/claude-sonnet-4-5-20250929__scicode_scicode_tool_calling_agent_claudesonnet4520250929_1759418654,Scicode Tool Calling Agent,anthropic/claude-sonnet-4-5-20250929,scicode,74,0,scicode_scicode_tool_calling_agent_claudesonnet4520250929_1759418654,2025-10-02,104.29091100000001,65,2,scicode_scicode_tool_calling_agent_claudesonnet4520250929_1759418654_UPLOAD.zip
Scicode Tool Calling Agent__anthropic/claude-sonnet-4-5-20250929__scicode_scicode_tool_calling_agent_claudesonnet4520250929_1759418654,Scicode Tool Calling Agent,anthropic/claude-sonnet-4-5-20250929,scicode,5,0,scicode_scicode_tool_calling_agent_claudesonnet4520250929_1759418654,2025-10-02,104.29091100000001,65,2,scicode_scicode_tool_calling_agent_claudesonnet4520250929_1759418654_UPLOAD.zip
Scicode Tool Calling Agent__anthropic/claude-sonnet-4-5-20250929__scicode_scicode_tool_calling_agent_claudesonnet4520250929_1759418654,Scicode Tool Calling Agent,anthropic/claude-sonnet-4-5-20250929,scicode,8,0,scicode_scicode_tool_calling_agent_claudesonnet4520250929_1759418654,2025-10-02,104.29091100000001,65,2,scicode_scicode_tool_calling_agent_claudesonnet4520250929_1759418654_UPLOAD.zip
