agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
Scicode Tool Calling Agent__together_ai/deepseek-ai/DeepSeek-V3__scicode_scicode_tool_calling_agent_deepseekaiDeepSeekV3_1745349011,Scicode Tool Calling Agent,together_ai/deepseek-ai/DeepSeek-V3,scicode,77,0,scicode_scicode_tool_calling_agent_deepseekaiDeepSeekV3_1745349011,2025-04-23,52.109545000000004,65,0,scicode_scicode_tool_calling_agent_deepseekaiDeepSeekV3_1745349011_UPLOAD.zip
Scicode Tool Calling Agent__together_ai/deepseek-ai/DeepSeek-V3__scicode_scicode_tool_calling_agent_deepseekaiDeepSeekV3_1745349011,Scicode Tool Calling Agent,together_ai/deepseek-ai/DeepSeek-V3,scicode,11,0,scicode_scicode_tool_calling_agent_deepseekaiDeepSeekV3_1745349011,2025-04-23,52.109545000000004,65,0,scicode_scicode_tool_calling_agent_deepseekaiDeepSeekV3_1745349011_UPLOAD.zip
Scicode Tool Calling Agent__together_ai/deepseek-ai/DeepSeek-V3__scicode_scicode_tool_calling_agent_deepseekaiDeepSeekV3_1745349011,Scicode Tool Calling Agent,together_ai/deepseek-ai/DeepSeek-V3,scicode,12,0,scicode_scicode_tool_calling_agent_deepseekaiDeepSeekV3_1745349011,2025-04-23,52.109545000000004,65,0,scicode_scicode_tool_calling_agent_deepseekaiDeepSeekV3_1745349011_UPLOAD.zip
Scicode Tool Calling Agent__together_ai/deepseek-ai/DeepSeek-V3__scicode_scicode_tool_calling_agent_deepseekaiDeepSeekV3_1745349011,Scicode Tool Calling Agent,together_ai/deepseek-ai/DeepSeek-V3,scicode,13,0,scicode_scicode_tool_calling_agent_deepseekaiDeepSeekV3_1745349011,2025-04-23,52.109545000000004,65,0,scicode_scicode_tool_calling_agent_deepseekaiDeepSeekV3_1745349011_UPLOAD.zip
Scicode Tool Calling Agent__together_ai/deepseek-ai/DeepSeek-V3__scicode_scicode_tool_calling_agent_deepseekaiDeepSeekV3_1745349011,Scicode Tool Calling Agent,together_ai/deepseek-ai/DeepSeek-V3,scicode,2,0,scicode_scicode_tool_calling_agent_deepseekaiDeepSeekV3_1745349011,2025-04-23,52.109545000000004,65,0,scicode_scicode_tool_calling_agent_deepseekaiDeepSeekV3_1745349011_UPLOAD.zip
Scicode Tool Calling Agent__together_ai/deepseek-ai/DeepSeek-V3__scicode_scicode_tool_calling_agent_deepseekaiDeepSeekV3_1745349011,Scicode Tool Calling Agent,together_ai/deepseek-ai/DeepSeek-V3,scicode,74,0,scicode_scicode_tool_calling_agent_deepseekaiDeepSeekV3_1745349011,2025-04-23,52.109545000000004,65,0,scicode_scicode_tool_calling_agent_deepseekaiDeepSeekV3_1745349011_UPLOAD.zip
Scicode Tool Calling Agent__together_ai/deepseek-ai/DeepSeek-V3__scicode_scicode_tool_calling_agent_deepseekaiDeepSeekV3_1745349011,Scicode Tool Calling Agent,together_ai/deepseek-ai/DeepSeek-V3,scicode,5,0,scicode_scicode_tool_calling_agent_deepseekaiDeepSeekV3_1745349011,2025-04-23,52.109545000000004,65,0,scicode_scicode_tool_calling_agent_deepseekaiDeepSeekV3_1745349011_UPLOAD.zip
Scicode Tool Calling Agent__together_ai/deepseek-ai/DeepSeek-V3__scicode_scicode_tool_calling_agent_deepseekaiDeepSeekV3_1745349011,Scicode Tool Calling Agent,together_ai/deepseek-ai/DeepSeek-V3,scicode,8,0,scicode_scicode_tool_calling_agent_deepseekaiDeepSeekV3_1745349011,2025-04-23,52.109545000000004,65,0,scicode_scicode_tool_calling_agent_deepseekaiDeepSeekV3_1745349011_UPLOAD.zip
Scicode Tool Calling Agent__together_ai/deepseek-ai/DeepSeek-V3__scicode_scicode_tool_calling_agent_deepseekaiDeepSeekV3_1745349011,Scicode Tool Calling Agent,together_ai/deepseek-ai/DeepSeek-V3,scicode,9,0,scicode_scicode_tool_calling_agent_deepseekaiDeepSeekV3_1745349011,2025-04-23,52.109545000000004,65,0,scicode_scicode_tool_calling_agent_deepseekaiDeepSeekV3_1745349011_UPLOAD.zip
Scicode Tool Calling Agent__together_ai/deepseek-ai/DeepSeek-V3__scicode_scicode_tool_calling_agent_deepseekaiDeepSeekV3_1745349011,Scicode Tool Calling Agent,together_ai/deepseek-ai/DeepSeek-V3,scicode,14,0,scicode_scicode_tool_calling_agent_deepseekaiDeepSeekV3_1745349011,2025-04-23,52.109545000000004,65,0,scicode_scicode_tool_calling_agent_deepseekaiDeepSeekV3_1745349011_UPLOAD.zip
