agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
Scicode Tool Calling Agent__gemini/gemini-2.0-flash__scicode_scicode_tool_calling_agent_gemini20flash_1745324545,Scicode Tool Calling Agent,gemini/gemini-2.0-flash,scicode,74,1,scicode_scicode_tool_calling_agent_gemini20flash_1745324545,2025-04-22,5.2292109,65,1,scicode_scicode_tool_calling_agent_gemini20flash_1745324545_UPLOAD.zip
Scicode Tool Calling Agent__gemini/gemini-2.0-flash__scicode_scicode_tool_calling_agent_gemini20flash_1745324545,Scicode Tool Calling Agent,gemini/gemini-2.0-flash,scicode,77,0,scicode_scicode_tool_calling_agent_gemini20flash_1745324545,2025-04-22,5.2292109,65,1,scicode_scicode_tool_calling_agent_gemini20flash_1745324545_UPLOAD.zip
Scicode Tool Calling Agent__gemini/gemini-2.0-flash__scicode_scicode_tool_calling_agent_gemini20flash_1745324545,Scicode Tool Calling Agent,gemini/gemini-2.0-flash,scicode,11,0,scicode_scicode_tool_calling_agent_gemini20flash_1745324545,2025-04-22,5.2292109,65,1,scicode_scicode_tool_calling_agent_gemini20flash_1745324545_UPLOAD.zip
Scicode Tool Calling Agent__gemini/gemini-2.0-flash__scicode_scicode_tool_calling_agent_gemini20flash_1745324545,Scicode Tool Calling Agent,gemini/gemini-2.0-flash,scicode,12,0,scicode_scicode_tool_calling_agent_gemini20flash_1745324545,2025-04-22,5.2292109,65,1,scicode_scicode_tool_calling_agent_gemini20flash_1745324545_UPLOAD.zip
Scicode Tool Calling Agent__gemini/gemini-2.0-flash__scicode_scicode_tool_calling_agent_gemini20flash_1745324545,Scicode Tool Calling Agent,gemini/gemini-2.0-flash,scicode,13,0,scicode_scicode_tool_calling_agent_gemini20flash_1745324545,2025-04-22,5.2292109,65,1,scicode_scicode_tool_calling_agent_gemini20flash_1745324545_UPLOAD.zip
Scicode Tool Calling Agent__gemini/gemini-2.0-flash__scicode_scicode_tool_calling_agent_gemini20flash_1745324545,Scicode Tool Calling Agent,gemini/gemini-2.0-flash,scicode,2,0,scicode_scicode_tool_calling_agent_gemini20flash_1745324545,2025-04-22,5.2292109,65,1,scicode_scicode_tool_calling_agent_gemini20flash_1745324545_UPLOAD.zip
Scicode Tool Calling Agent__gemini/gemini-2.0-flash__scicode_scicode_tool_calling_agent_gemini20flash_1745324545,Scicode Tool Calling Agent,gemini/gemini-2.0-flash,scicode,5,0,scicode_scicode_tool_calling_agent_gemini20flash_1745324545,2025-04-22,5.2292109,65,1,scicode_scicode_tool_calling_agent_gemini20flash_1745324545_UPLOAD.zip
Scicode Tool Calling Agent__gemini/gemini-2.0-flash__scicode_scicode_tool_calling_agent_gemini20flash_1745324545,Scicode Tool Calling Agent,gemini/gemini-2.0-flash,scicode,8,0,scicode_scicode_tool_calling_agent_gemini20flash_1745324545,2025-04-22,5.2292109,65,1,scicode_scicode_tool_calling_agent_gemini20flash_1745324545_UPLOAD.zip
Scicode Tool Calling Agent__gemini/gemini-2.0-flash__scicode_scicode_tool_calling_agent_gemini20flash_1745324545,Scicode Tool Calling Agent,gemini/gemini-2.0-flash,scicode,9,0,scicode_scicode_tool_calling_agent_gemini20flash_1745324545,2025-04-22,5.2292109,65,1,scicode_scicode_tool_calling_agent_gemini20flash_1745324545_UPLOAD.zip
Scicode Tool Calling Agent__gemini/gemini-2.0-flash__scicode_scicode_tool_calling_agent_gemini20flash_1745324545,Scicode Tool Calling Agent,gemini/gemini-2.0-flash,scicode,14,0,scicode_scicode_tool_calling_agent_gemini20flash_1745324545,2025-04-22,5.2292109,65,1,scicode_scicode_tool_calling_agent_gemini20flash_1745324545_UPLOAD.zip
Scicode Tool Calling Agent__gemini/gemini-2.0-flash__scicode_scicode_tool_calling_agent_gemini20flash_1745324545,Scicode Tool Calling Agent,gemini/gemini-2.0-flash,scicode,15,0,scicode_scicode_tool_calling_agent_gemini20flash_1745324545,2025-04-22,5.2292109,65,1,scicode_scicode_tool_calling_agent_gemini20flash_1745324545_UPLOAD.zip
Scicode Tool Calling Agent__gemini/gemini-2.0-flash__scicode_scicode_tool_calling_agent_gemini20flash_1745324545,Scicode Tool Calling Agent,gemini/gemini-2.0-flash,scicode,16,0,scicode_scicode_tool_calling_agent_gemini20flash_1745324545,2025-04-22,5.2292109,65,1,scicode_scicode_tool_calling_agent_gemini20flash_1745324545_UPLOAD.zip
Scicode Tool Calling Agent__gemini/gemini-2.0-flash__scicode_scicode_tool_calling_agent_gemini20flash_1745324545,Scicode Tool Calling Agent,gemini/gemini-2.0-flash,scicode,17,0,scicode_scicode_tool_calling_agent_gemini20flash_1745324545,2025-04-22,5.2292109,65,1,scicode_scicode_tool_calling_agent_gemini20flash_1745324545_UPLOAD.zip
Scicode Tool Calling Agent__gemini/gemini-2.0-flash__scicode_scicode_tool_calling_agent_gemini20flash_1745324545,Scicode Tool Calling Agent,gemini/gemini-2.0-flash,scicode,18,0,scicode_scicode_tool_calling_agent_gemini20flash_1745324545,2025-04-22,5.2292109,65,1,scicode_scicode_tool_calling_agent_gemini20flash_1745324545_UPLOAD.zip
Scicode Tool Calling Agent__gemini/gemini-2.0-flash__scicode_scicode_tool_calling_agent_gemini20flash_1745324545,Scicode Tool Calling Agent,gemini/gemini-2.0-flash,scicode,20,0,scicode_scicode_tool_calling_agent_gemini20flash_1745324545,2025-04-22,5.2292109,65,1,scicode_scicode_tool_calling_agent_gemini20flash_1745324545_UPLOAD.zip
Scicode Tool Calling Agent__gemini/gemini-2.0-flash__scicode_scicode_tool_calling_agent_gemini20flash_1745324545,Scicode Tool Calling Agent,gemini/gemini-2.0-flash,scicode,21,0,scicode_scicode_tool_calling_agent_gemini20flash_1745324545,2025-04-22,5.2292109,65,1,scicode_scicode_tool_calling_agent_gemini20flash_1745324545_UPLOAD.zip
Scicode Tool Calling Agent__gemini/gemini-2.0-flash__scicode_scicode_tool_calling_agent_gemini20flash_1745324545,Scicode Tool Calling Agent,gemini/gemini-2.0-flash,scicode,22,0,scicode_scicode_tool_calling_agent_gemini20flash_1745324545,2025-04-22,5.2292109,65,1,scicode_scicode_tool_calling_agent_gemini20flash_1745324545_UPLOAD.zip
Scicode Tool Calling Agent__gemini/gemini-2.0-flash__scicode_scicode_tool_calling_agent_gemini20flash_1745324545,Scicode Tool Calling Agent,gemini/gemini-2.0-flash,scicode,23,0,scicode_scicode_tool_calling_agent_gemini20flash_1745324545,2025-04-22,5.2292109,65,1,scicode_scicode_tool_calling_agent_gemini20flash_1745324545_UPLOAD.zip
