agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
Scicode Tool Calling Agent__openai/o3-2025-04-16__scicode_scicode_tool_calling_agent_o320250416_1745276105,Scicode Tool Calling Agent,openai/o3-2025-04-16,scicode,74,1,scicode_scicode_tool_calling_agent_o320250416_1745276105,2025-04-21,555.57109,65,6,scicode_scicode_tool_calling_agent_o320250416_1745276105_UPLOAD.zip
Scicode Tool Calling Agent__openai/o3-2025-04-16__scicode_scicode_tool_calling_agent_o320250416_1745276105,Scicode Tool Calling Agent,openai/o3-2025-04-16,scicode,15,1,scicode_scicode_tool_calling_agent_o320250416_1745276105,2025-04-21,555.57109,65,6,scicode_scicode_tool_calling_agent_o320250416_1745276105_UPLOAD.zip
Scicode Tool Calling Agent__openai/o3-2025-04-16__scicode_scicode_tool_calling_agent_o320250416_1745276105,Scicode Tool Calling Agent,openai/o3-2025-04-16,scicode,20,1,scicode_scicode_tool_calling_agent_o320250416_1745276105,2025-04-21,555.57109,65,6,scicode_scicode_tool_calling_agent_o320250416_1745276105_UPLOAD.zip
Scicode Tool Calling Agent__openai/o3-2025-04-16__scicode_scicode_tool_calling_agent_o320250416_1745276105,Scicode Tool Calling Agent,openai/o3-2025-04-16,scicode,25,1,scicode_scicode_tool_calling_agent_o320250416_1745276105,2025-04-21,555.57109,65,6,scicode_scicode_tool_calling_agent_o320250416_1745276105_UPLOAD.zip
Scicode Tool Calling Agent__openai/o3-2025-04-16__scicode_scicode_tool_calling_agent_o320250416_1745276105,Scicode Tool Calling Agent,openai/o3-2025-04-16,scicode,53,1,scicode_scicode_tool_calling_agent_o320250416_1745276105,2025-04-21,555.57109,65,6,scicode_scicode_tool_calling_agent_o320250416_1745276105_UPLOAD.zip
Scicode Tool Calling Agent__openai/o3-2025-04-16__scicode_scicode_tool_calling_agent_o320250416_1745276105,Scicode Tool Calling Agent,openai/o3-2025-04-16,scicode,56,1,scicode_scicode_tool_calling_agent_o320250416_1745276105,2025-04-21,555.57109,65,6,scicode_scicode_tool_calling_agent_o320250416_1745276105_UPLOAD.zip
Scicode Tool Calling Agent__openai/o3-2025-04-16__scicode_scicode_tool_calling_agent_o320250416_1745276105,Scicode Tool Calling Agent,openai/o3-2025-04-16,scicode,77,0,scicode_scicode_tool_calling_agent_o320250416_1745276105,2025-04-21,555.57109,65,6,scicode_scicode_tool_calling_agent_o320250416_1745276105_UPLOAD.zip
Scicode Tool Calling Agent__openai/o3-2025-04-16__scicode_scicode_tool_calling_agent_o320250416_1745276105,Scicode Tool Calling Agent,openai/o3-2025-04-16,scicode,11,0,scicode_scicode_tool_calling_agent_o320250416_1745276105,2025-04-21,555.57109,65,6,scicode_scicode_tool_calling_agent_o320250416_1745276105_UPLOAD.zip
Scicode Tool Calling Agent__openai/o3-2025-04-16__scicode_scicode_tool_calling_agent_o320250416_1745276105,Scicode Tool Calling Agent,openai/o3-2025-04-16,scicode,12,0,scicode_scicode_tool_calling_agent_o320250416_1745276105,2025-04-21,555.57109,65,6,scicode_scicode_tool_calling_agent_o320250416_1745276105_UPLOAD.zip
Scicode Tool Calling Agent__openai/o3-2025-04-16__scicode_scicode_tool_calling_agent_o320250416_1745276105,Scicode Tool Calling Agent,openai/o3-2025-04-16,scicode,13,0,scicode_scicode_tool_calling_agent_o320250416_1745276105,2025-04-21,555.57109,65,6,scicode_scicode_tool_calling_agent_o320250416_1745276105_UPLOAD.zip
Scicode Tool Calling Agent__openai/o3-2025-04-16__scicode_scicode_tool_calling_agent_o320250416_1745276105,Scicode Tool Calling Agent,openai/o3-2025-04-16,scicode,2,0,scicode_scicode_tool_calling_agent_o320250416_1745276105,2025-04-21,555.57109,65,6,scicode_scicode_tool_calling_agent_o320250416_1745276105_UPLOAD.zip
Scicode Tool Calling Agent__openai/o3-2025-04-16__scicode_scicode_tool_calling_agent_o320250416_1745276105,Scicode Tool Calling Agent,openai/o3-2025-04-16,scicode,5,0,scicode_scicode_tool_calling_agent_o320250416_1745276105,2025-04-21,555.57109,65,6,scicode_scicode_tool_calling_agent_o320250416_1745276105_UPLOAD.zip
Scicode Tool Calling Agent__openai/o3-2025-04-16__scicode_scicode_tool_calling_agent_o320250416_1745276105,Scicode Tool Calling Agent,openai/o3-2025-04-16,scicode,8,0,scicode_scicode_tool_calling_agent_o320250416_1745276105,2025-04-21,555.57109,65,6,scicode_scicode_tool_calling_agent_o320250416_1745276105_UPLOAD.zip
Scicode Tool Calling Agent__openai/o3-2025-04-16__scicode_scicode_tool_calling_agent_o320250416_1745276105,Scicode Tool Calling Agent,openai/o3-2025-04-16,scicode,9,0,scicode_scicode_tool_calling_agent_o320250416_1745276105,2025-04-21,555.57109,65,6,scicode_scicode_tool_calling_agent_o320250416_1745276105_UPLOAD.zip
Scicode Tool Calling Agent__openai/o3-2025-04-16__scicode_scicode_tool_calling_agent_o320250416_1745276105,Scicode Tool Calling Agent,openai/o3-2025-04-16,scicode,14,0,scicode_scicode_tool_calling_agent_o320250416_1745276105,2025-04-21,555.57109,65,6,scicode_scicode_tool_calling_agent_o320250416_1745276105_UPLOAD.zip
