agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
Scicode Tool Calling Agent__openai/o4-mini-2025-04-16__scicode_scicode_tool_calling_agent_o4mini20250416_high_1745414081,Scicode Tool Calling Agent,openai/o4-mini-2025-04-16,scicode,74,1,scicode_scicode_tool_calling_agent_o4mini20250416_high_1745414081,2025-04-23,66.20299510000001,65,3,scicode_scicode_tool_calling_agent_o4mini20250416_high_1745414081_UPLOAD.zip
Scicode Tool Calling Agent__openai/o4-mini-2025-04-16__scicode_scicode_tool_calling_agent_o4mini20250416_high_1745414081,Scicode Tool Calling Agent,openai/o4-mini-2025-04-16,scicode,20,1,scicode_scicode_tool_calling_agent_o4mini20250416_high_1745414081,2025-04-23,66.20299510000001,65,3,scicode_scicode_tool_calling_agent_o4mini20250416_high_1745414081_UPLOAD.zip
Scicode Tool Calling Agent__openai/o4-mini-2025-04-16__scicode_scicode_tool_calling_agent_o4mini20250416_high_1745414081,Scicode Tool Calling Agent,openai/o4-mini-2025-04-16,scicode,53,1,scicode_scicode_tool_calling_agent_o4mini20250416_high_1745414081,2025-04-23,66.20299510000001,65,3,scicode_scicode_tool_calling_agent_o4mini20250416_high_1745414081_UPLOAD.zip
Scicode Tool Calling Agent__openai/o4-mini-2025-04-16__scicode_scicode_tool_calling_agent_o4mini20250416_high_1745414081,Scicode Tool Calling Agent,openai/o4-mini-2025-04-16,scicode,77,0,scicode_scicode_tool_calling_agent_o4mini20250416_high_1745414081,2025-04-23,66.20299510000001,65,3,scicode_scicode_tool_calling_agent_o4mini20250416_high_1745414081_UPLOAD.zip
Scicode Tool Calling Agent__openai/o4-mini-2025-04-16__scicode_scicode_tool_calling_agent_o4mini20250416_high_1745414081,Scicode Tool Calling Agent,openai/o4-mini-2025-04-16,scicode,11,0,scicode_scicode_tool_calling_agent_o4mini20250416_high_1745414081,2025-04-23,66.20299510000001,65,3,scicode_scicode_tool_calling_agent_o4mini20250416_high_1745414081_UPLOAD.zip
Scicode Tool Calling Agent__openai/o4-mini-2025-04-16__scicode_scicode_tool_calling_agent_o4mini20250416_high_1745414081,Scicode Tool Calling Agent,openai/o4-mini-2025-04-16,scicode,12,0,scicode_scicode_tool_calling_agent_o4mini20250416_high_1745414081,2025-04-23,66.20299510000001,65,3,scicode_scicode_tool_calling_agent_o4mini20250416_high_1745414081_UPLOAD.zip
Scicode Tool Calling Agent__openai/o4-mini-2025-04-16__scicode_scicode_tool_calling_agent_o4mini20250416_high_1745414081,Scicode Tool Calling Agent,openai/o4-mini-2025-04-16,scicode,13,0,scicode_scicode_tool_calling_agent_o4mini20250416_high_1745414081,2025-04-23,66.20299510000001,65,3,scicode_scicode_tool_calling_agent_o4mini20250416_high_1745414081_UPLOAD.zip
Scicode Tool Calling Agent__openai/o4-mini-2025-04-16__scicode_scicode_tool_calling_agent_o4mini20250416_high_1745414081,Scicode Tool Calling Agent,openai/o4-mini-2025-04-16,scicode,2,0,scicode_scicode_tool_calling_agent_o4mini20250416_high_1745414081,2025-04-23,66.20299510000001,65,3,scicode_scicode_tool_calling_agent_o4mini20250416_high_1745414081_UPLOAD.zip
Scicode Tool Calling Agent__openai/o4-mini-2025-04-16__scicode_scicode_tool_calling_agent_o4mini20250416_high_1745414081,Scicode Tool Calling Agent,openai/o4-mini-2025-04-16,scicode,5,0,scicode_scicode_tool_calling_agent_o4mini20250416_high_1745414081,2025-04-23,66.20299510000001,65,3,scicode_scicode_tool_calling_agent_o4mini20250416_high_1745414081_UPLOAD.zip
Scicode Tool Calling Agent__openai/o4-mini-2025-04-16__scicode_scicode_tool_calling_agent_o4mini20250416_high_1745414081,Scicode Tool Calling Agent,openai/o4-mini-2025-04-16,scicode,8,0,scicode_scicode_tool_calling_agent_o4mini20250416_high_1745414081,2025-04-23,66.20299510000001,65,3,scicode_scicode_tool_calling_agent_o4mini20250416_high_1745414081_UPLOAD.zip
