agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
Scicode Zero Shot Agent__openai/o4-mini-2025-04-16__scicode_scicode_zero_shot_agent_o4mini20250416_low_1745290900,Scicode Zero Shot Agent,openai/o4-mini-2025-04-16,scicode,74,1,scicode_scicode_zero_shot_agent_o4mini20250416_low_1745290900,2025-04-21,1.7412956000000002,65,6,scicode_scicode_zero_shot_agent_o4mini20250416_low_1745290900_UPLOAD.zip
Scicode Zero Shot Agent__openai/o4-mini-2025-04-16__scicode_scicode_zero_shot_agent_o4mini20250416_low_1745290900,Scicode Zero Shot Agent,openai/o4-mini-2025-04-16,scicode,8,1,scicode_scicode_zero_shot_agent_o4mini20250416_low_1745290900,2025-04-21,1.7412956000000002,65,6,scicode_scicode_zero_shot_agent_o4mini20250416_low_1745290900_UPLOAD.zip
Scicode Zero Shot Agent__openai/o4-mini-2025-04-16__scicode_scicode_zero_shot_agent_o4mini20250416_low_1745290900,Scicode Zero Shot Agent,openai/o4-mini-2025-04-16,scicode,20,1,scicode_scicode_zero_shot_agent_o4mini20250416_low_1745290900,2025-04-21,1.7412956000000002,65,6,scicode_scicode_zero_shot_agent_o4mini20250416_low_1745290900_UPLOAD.zip
Scicode Zero Shot Agent__openai/o4-mini-2025-04-16__scicode_scicode_zero_shot_agent_o4mini20250416_low_1745290900,Scicode Zero Shot Agent,openai/o4-mini-2025-04-16,scicode,25,1,scicode_scicode_zero_shot_agent_o4mini20250416_low_1745290900,2025-04-21,1.7412956000000002,65,6,scicode_scicode_zero_shot_agent_o4mini20250416_low_1745290900_UPLOAD.zip
Scicode Zero Shot Agent__openai/o4-mini-2025-04-16__scicode_scicode_zero_shot_agent_o4mini20250416_low_1745290900,Scicode Zero Shot Agent,openai/o4-mini-2025-04-16,scicode,36,1,scicode_scicode_zero_shot_agent_o4mini20250416_low_1745290900,2025-04-21,1.7412956000000002,65,6,scicode_scicode_zero_shot_agent_o4mini20250416_low_1745290900_UPLOAD.zip
Scicode Zero Shot Agent__openai/o4-mini-2025-04-16__scicode_scicode_zero_shot_agent_o4mini20250416_low_1745290900,Scicode Zero Shot Agent,openai/o4-mini-2025-04-16,scicode,53,1,scicode_scicode_zero_shot_agent_o4mini20250416_low_1745290900,2025-04-21,1.7412956000000002,65,6,scicode_scicode_zero_shot_agent_o4mini20250416_low_1745290900_UPLOAD.zip
Scicode Zero Shot Agent__openai/o4-mini-2025-04-16__scicode_scicode_zero_shot_agent_o4mini20250416_low_1745290900,Scicode Zero Shot Agent,openai/o4-mini-2025-04-16,scicode,77,0,scicode_scicode_zero_shot_agent_o4mini20250416_low_1745290900,2025-04-21,1.7412956000000002,65,6,scicode_scicode_zero_shot_agent_o4mini20250416_low_1745290900_UPLOAD.zip
Scicode Zero Shot Agent__openai/o4-mini-2025-04-16__scicode_scicode_zero_shot_agent_o4mini20250416_low_1745290900,Scicode Zero Shot Agent,openai/o4-mini-2025-04-16,scicode,11,0,scicode_scicode_zero_shot_agent_o4mini20250416_low_1745290900,2025-04-21,1.7412956000000002,65,6,scicode_scicode_zero_shot_agent_o4mini20250416_low_1745290900_UPLOAD.zip
Scicode Zero Shot Agent__openai/o4-mini-2025-04-16__scicode_scicode_zero_shot_agent_o4mini20250416_low_1745290900,Scicode Zero Shot Agent,openai/o4-mini-2025-04-16,scicode,12,0,scicode_scicode_zero_shot_agent_o4mini20250416_low_1745290900,2025-04-21,1.7412956000000002,65,6,scicode_scicode_zero_shot_agent_o4mini20250416_low_1745290900_UPLOAD.zip
Scicode Zero Shot Agent__openai/o4-mini-2025-04-16__scicode_scicode_zero_shot_agent_o4mini20250416_low_1745290900,Scicode Zero Shot Agent,openai/o4-mini-2025-04-16,scicode,13,0,scicode_scicode_zero_shot_agent_o4mini20250416_low_1745290900,2025-04-21,1.7412956000000002,65,6,scicode_scicode_zero_shot_agent_o4mini20250416_low_1745290900_UPLOAD.zip
Scicode Zero Shot Agent__openai/o4-mini-2025-04-16__scicode_scicode_zero_shot_agent_o4mini20250416_low_1745290900,Scicode Zero Shot Agent,openai/o4-mini-2025-04-16,scicode,2,0,scicode_scicode_zero_shot_agent_o4mini20250416_low_1745290900,2025-04-21,1.7412956000000002,65,6,scicode_scicode_zero_shot_agent_o4mini20250416_low_1745290900_UPLOAD.zip
Scicode Zero Shot Agent__openai/o4-mini-2025-04-16__scicode_scicode_zero_shot_agent_o4mini20250416_low_1745290900,Scicode Zero Shot Agent,openai/o4-mini-2025-04-16,scicode,5,0,scicode_scicode_zero_shot_agent_o4mini20250416_low_1745290900,2025-04-21,1.7412956000000002,65,6,scicode_scicode_zero_shot_agent_o4mini20250416_low_1745290900_UPLOAD.zip
Scicode Zero Shot Agent__openai/o4-mini-2025-04-16__scicode_scicode_zero_shot_agent_o4mini20250416_low_1745290900,Scicode Zero Shot Agent,openai/o4-mini-2025-04-16,scicode,9,0,scicode_scicode_zero_shot_agent_o4mini20250416_low_1745290900,2025-04-21,1.7412956000000002,65,6,scicode_scicode_zero_shot_agent_o4mini20250416_low_1745290900_UPLOAD.zip
