agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
SAB Self-Debug Claude-Haiku-4-5__claude-haiku-4-5-20251001__scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,SAB Self-Debug Claude-Haiku-4-5,claude-haiku-4-5-20251001,scienceagentbench,1,0,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,2025-10-26,2.663509,102,19,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412_UPLOAD.zip
SAB Self-Debug Claude-Haiku-4-5__claude-haiku-4-5-20251001__scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,SAB Self-Debug Claude-Haiku-4-5,claude-haiku-4-5-20251001,scienceagentbench,2,0,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,2025-10-26,2.663509,102,19,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412_UPLOAD.zip
SAB Self-Debug Claude-Haiku-4-5__claude-haiku-4-5-20251001__scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,SAB Self-Debug Claude-Haiku-4-5,claude-haiku-4-5-20251001,scienceagentbench,3,1,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,2025-10-26,2.663509,102,19,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412_UPLOAD.zip
SAB Self-Debug Claude-Haiku-4-5__claude-haiku-4-5-20251001__scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,SAB Self-Debug Claude-Haiku-4-5,claude-haiku-4-5-20251001,scienceagentbench,4,0,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,2025-10-26,2.663509,102,19,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412_UPLOAD.zip
SAB Self-Debug Claude-Haiku-4-5__claude-haiku-4-5-20251001__scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,SAB Self-Debug Claude-Haiku-4-5,claude-haiku-4-5-20251001,scienceagentbench,5,0,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,2025-10-26,2.663509,102,19,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412_UPLOAD.zip
SAB Self-Debug Claude-Haiku-4-5__claude-haiku-4-5-20251001__scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,SAB Self-Debug Claude-Haiku-4-5,claude-haiku-4-5-20251001,scienceagentbench,6,0,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,2025-10-26,2.663509,102,19,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412_UPLOAD.zip
SAB Self-Debug Claude-Haiku-4-5__claude-haiku-4-5-20251001__scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,SAB Self-Debug Claude-Haiku-4-5,claude-haiku-4-5-20251001,scienceagentbench,7,0,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,2025-10-26,2.663509,102,19,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412_UPLOAD.zip
SAB Self-Debug Claude-Haiku-4-5__claude-haiku-4-5-20251001__scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,SAB Self-Debug Claude-Haiku-4-5,claude-haiku-4-5-20251001,scienceagentbench,8,0,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,2025-10-26,2.663509,102,19,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412_UPLOAD.zip
SAB Self-Debug Claude-Haiku-4-5__claude-haiku-4-5-20251001__scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,SAB Self-Debug Claude-Haiku-4-5,claude-haiku-4-5-20251001,scienceagentbench,9,0,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,2025-10-26,2.663509,102,19,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412_UPLOAD.zip
SAB Self-Debug Claude-Haiku-4-5__claude-haiku-4-5-20251001__scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,SAB Self-Debug Claude-Haiku-4-5,claude-haiku-4-5-20251001,scienceagentbench,10,0,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,2025-10-26,2.663509,102,19,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412_UPLOAD.zip
SAB Self-Debug Claude-Haiku-4-5__claude-haiku-4-5-20251001__scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,SAB Self-Debug Claude-Haiku-4-5,claude-haiku-4-5-20251001,scienceagentbench,11,1,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,2025-10-26,2.663509,102,19,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412_UPLOAD.zip
SAB Self-Debug Claude-Haiku-4-5__claude-haiku-4-5-20251001__scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,SAB Self-Debug Claude-Haiku-4-5,claude-haiku-4-5-20251001,scienceagentbench,12,0,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,2025-10-26,2.663509,102,19,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412_UPLOAD.zip
SAB Self-Debug Claude-Haiku-4-5__claude-haiku-4-5-20251001__scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,SAB Self-Debug Claude-Haiku-4-5,claude-haiku-4-5-20251001,scienceagentbench,13,0,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,2025-10-26,2.663509,102,19,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412_UPLOAD.zip
SAB Self-Debug Claude-Haiku-4-5__claude-haiku-4-5-20251001__scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,SAB Self-Debug Claude-Haiku-4-5,claude-haiku-4-5-20251001,scienceagentbench,14,0,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,2025-10-26,2.663509,102,19,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412_UPLOAD.zip
SAB Self-Debug Claude-Haiku-4-5__claude-haiku-4-5-20251001__scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,SAB Self-Debug Claude-Haiku-4-5,claude-haiku-4-5-20251001,scienceagentbench,15,0,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,2025-10-26,2.663509,102,19,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412_UPLOAD.zip
SAB Self-Debug Claude-Haiku-4-5__claude-haiku-4-5-20251001__scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,SAB Self-Debug Claude-Haiku-4-5,claude-haiku-4-5-20251001,scienceagentbench,16,0,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,2025-10-26,2.663509,102,19,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412_UPLOAD.zip
SAB Self-Debug Claude-Haiku-4-5__claude-haiku-4-5-20251001__scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,SAB Self-Debug Claude-Haiku-4-5,claude-haiku-4-5-20251001,scienceagentbench,17,0,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,2025-10-26,2.663509,102,19,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412_UPLOAD.zip
SAB Self-Debug Claude-Haiku-4-5__claude-haiku-4-5-20251001__scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,SAB Self-Debug Claude-Haiku-4-5,claude-haiku-4-5-20251001,scienceagentbench,18,0,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,2025-10-26,2.663509,102,19,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412_UPLOAD.zip
SAB Self-Debug Claude-Haiku-4-5__claude-haiku-4-5-20251001__scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,SAB Self-Debug Claude-Haiku-4-5,claude-haiku-4-5-20251001,scienceagentbench,19,0,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,2025-10-26,2.663509,102,19,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412_UPLOAD.zip
SAB Self-Debug Claude-Haiku-4-5__claude-haiku-4-5-20251001__scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,SAB Self-Debug Claude-Haiku-4-5,claude-haiku-4-5-20251001,scienceagentbench,20,0,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,2025-10-26,2.663509,102,19,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412_UPLOAD.zip
SAB Self-Debug Claude-Haiku-4-5__claude-haiku-4-5-20251001__scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,SAB Self-Debug Claude-Haiku-4-5,claude-haiku-4-5-20251001,scienceagentbench,21,0,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412,2025-10-26,2.663509,102,19,scienceagentbench_sab_selfdebug_claudehaiku45_1761449412_UPLOAD.zip
