agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
SAB Self-Debug Claude-Opus-4-1__claude-opus-4-1-20250805__scienceagentbench_sab_selfdebug_claudeopus41_1755385889,SAB Self-Debug Claude-Opus-4-1,claude-opus-4-1-20250805,scienceagentbench,1,0,scienceagentbench_sab_selfdebug_claudeopus41_1755385889,2025-08-17,33.373994999999994,102,28,scienceagentbench_sab_selfdebug_claudeopus41_1755385889_UPLOAD.zip
SAB Self-Debug Claude-Opus-4-1__claude-opus-4-1-20250805__scienceagentbench_sab_selfdebug_claudeopus41_1755385889,SAB Self-Debug Claude-Opus-4-1,claude-opus-4-1-20250805,scienceagentbench,2,0,scienceagentbench_sab_selfdebug_claudeopus41_1755385889,2025-08-17,33.373994999999994,102,28,scienceagentbench_sab_selfdebug_claudeopus41_1755385889_UPLOAD.zip
SAB Self-Debug Claude-Opus-4-1__claude-opus-4-1-20250805__scienceagentbench_sab_selfdebug_claudeopus41_1755385889,SAB Self-Debug Claude-Opus-4-1,claude-opus-4-1-20250805,scienceagentbench,3,1,scienceagentbench_sab_selfdebug_claudeopus41_1755385889,2025-08-17,33.373994999999994,102,28,scienceagentbench_sab_selfdebug_claudeopus41_1755385889_UPLOAD.zip
SAB Self-Debug Claude-Opus-4-1__claude-opus-4-1-20250805__scienceagentbench_sab_selfdebug_claudeopus41_1755385889,SAB Self-Debug Claude-Opus-4-1,claude-opus-4-1-20250805,scienceagentbench,4,0,scienceagentbench_sab_selfdebug_claudeopus41_1755385889,2025-08-17,33.373994999999994,102,28,scienceagentbench_sab_selfdebug_claudeopus41_1755385889_UPLOAD.zip
SAB Self-Debug Claude-Opus-4-1__claude-opus-4-1-20250805__scienceagentbench_sab_selfdebug_claudeopus41_1755385889,SAB Self-Debug Claude-Opus-4-1,claude-opus-4-1-20250805,scienceagentbench,5,0,scienceagentbench_sab_selfdebug_claudeopus41_1755385889,2025-08-17,33.373994999999994,102,28,scienceagentbench_sab_selfdebug_claudeopus41_1755385889_UPLOAD.zip
SAB Self-Debug Claude-Opus-4-1__claude-opus-4-1-20250805__scienceagentbench_sab_selfdebug_claudeopus41_1755385889,SAB Self-Debug Claude-Opus-4-1,claude-opus-4-1-20250805,scienceagentbench,6,0,scienceagentbench_sab_selfdebug_claudeopus41_1755385889,2025-08-17,33.373994999999994,102,28,scienceagentbench_sab_selfdebug_claudeopus41_1755385889_UPLOAD.zip
SAB Self-Debug Claude-Opus-4-1__claude-opus-4-1-20250805__scienceagentbench_sab_selfdebug_claudeopus41_1755385889,SAB Self-Debug Claude-Opus-4-1,claude-opus-4-1-20250805,scienceagentbench,7,1,scienceagentbench_sab_selfdebug_claudeopus41_1755385889,2025-08-17,33.373994999999994,102,28,scienceagentbench_sab_selfdebug_claudeopus41_1755385889_UPLOAD.zip
SAB Self-Debug Claude-Opus-4-1__claude-opus-4-1-20250805__scienceagentbench_sab_selfdebug_claudeopus41_1755385889,SAB Self-Debug Claude-Opus-4-1,claude-opus-4-1-20250805,scienceagentbench,8,0,scienceagentbench_sab_selfdebug_claudeopus41_1755385889,2025-08-17,33.373994999999994,102,28,scienceagentbench_sab_selfdebug_claudeopus41_1755385889_UPLOAD.zip
SAB Self-Debug Claude-Opus-4-1__claude-opus-4-1-20250805__scienceagentbench_sab_selfdebug_claudeopus41_1755385889,SAB Self-Debug Claude-Opus-4-1,claude-opus-4-1-20250805,scienceagentbench,9,0,scienceagentbench_sab_selfdebug_claudeopus41_1755385889,2025-08-17,33.373994999999994,102,28,scienceagentbench_sab_selfdebug_claudeopus41_1755385889_UPLOAD.zip
SAB Self-Debug Claude-Opus-4-1__claude-opus-4-1-20250805__scienceagentbench_sab_selfdebug_claudeopus41_1755385889,SAB Self-Debug Claude-Opus-4-1,claude-opus-4-1-20250805,scienceagentbench,10,0,scienceagentbench_sab_selfdebug_claudeopus41_1755385889,2025-08-17,33.373994999999994,102,28,scienceagentbench_sab_selfdebug_claudeopus41_1755385889_UPLOAD.zip
SAB Self-Debug Claude-Opus-4-1__claude-opus-4-1-20250805__scienceagentbench_sab_selfdebug_claudeopus41_1755385889,SAB Self-Debug Claude-Opus-4-1,claude-opus-4-1-20250805,scienceagentbench,11,1,scienceagentbench_sab_selfdebug_claudeopus41_1755385889,2025-08-17,33.373994999999994,102,28,scienceagentbench_sab_selfdebug_claudeopus41_1755385889_UPLOAD.zip
SAB Self-Debug Claude-Opus-4-1__claude-opus-4-1-20250805__scienceagentbench_sab_selfdebug_claudeopus41_1755385889,SAB Self-Debug Claude-Opus-4-1,claude-opus-4-1-20250805,scienceagentbench,12,0,scienceagentbench_sab_selfdebug_claudeopus41_1755385889,2025-08-17,33.373994999999994,102,28,scienceagentbench_sab_selfdebug_claudeopus41_1755385889_UPLOAD.zip
SAB Self-Debug Claude-Opus-4-1__claude-opus-4-1-20250805__scienceagentbench_sab_selfdebug_claudeopus41_1755385889,SAB Self-Debug Claude-Opus-4-1,claude-opus-4-1-20250805,scienceagentbench,13,1,scienceagentbench_sab_selfdebug_claudeopus41_1755385889,2025-08-17,33.373994999999994,102,28,scienceagentbench_sab_selfdebug_claudeopus41_1755385889_UPLOAD.zip
SAB Self-Debug Claude-Opus-4-1__claude-opus-4-1-20250805__scienceagentbench_sab_selfdebug_claudeopus41_1755385889,SAB Self-Debug Claude-Opus-4-1,claude-opus-4-1-20250805,scienceagentbench,14,1,scienceagentbench_sab_selfdebug_claudeopus41_1755385889,2025-08-17,33.373994999999994,102,28,scienceagentbench_sab_selfdebug_claudeopus41_1755385889_UPLOAD.zip
