agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
SAB Self-Debug Claude-Opus-4-1-High__claude-opus-4-1-20250805__scienceagentbench_sab_selfdebug_claudeopus41high_1755438590,SAB Self-Debug Claude-Opus-4-1-High,claude-opus-4-1-20250805,scienceagentbench,1,0,scienceagentbench_sab_selfdebug_claudeopus41high_1755438590,2025-08-17,33.75297,102,27,scienceagentbench_sab_selfdebug_claudeopus41high_1755438590_UPLOAD.zip
SAB Self-Debug Claude-Opus-4-1-High__claude-opus-4-1-20250805__scienceagentbench_sab_selfdebug_claudeopus41high_1755438590,SAB Self-Debug Claude-Opus-4-1-High,claude-opus-4-1-20250805,scienceagentbench,2,0,scienceagentbench_sab_selfdebug_claudeopus41high_1755438590,2025-08-17,33.75297,102,27,scienceagentbench_sab_selfdebug_claudeopus41high_1755438590_UPLOAD.zip
SAB Self-Debug Claude-Opus-4-1-High__claude-opus-4-1-20250805__scienceagentbench_sab_selfdebug_claudeopus41high_1755438590,SAB Self-Debug Claude-Opus-4-1-High,claude-opus-4-1-20250805,scienceagentbench,3,1,scienceagentbench_sab_selfdebug_claudeopus41high_1755438590,2025-08-17,33.75297,102,27,scienceagentbench_sab_selfdebug_claudeopus41high_1755438590_UPLOAD.zip
SAB Self-Debug Claude-Opus-4-1-High__claude-opus-4-1-20250805__scienceagentbench_sab_selfdebug_claudeopus41high_1755438590,SAB Self-Debug Claude-Opus-4-1-High,claude-opus-4-1-20250805,scienceagentbench,4,0,scienceagentbench_sab_selfdebug_claudeopus41high_1755438590,2025-08-17,33.75297,102,27,scienceagentbench_sab_selfdebug_claudeopus41high_1755438590_UPLOAD.zip
SAB Self-Debug Claude-Opus-4-1-High__claude-opus-4-1-20250805__scienceagentbench_sab_selfdebug_claudeopus41high_1755438590,SAB Self-Debug Claude-Opus-4-1-High,claude-opus-4-1-20250805,scienceagentbench,5,0,scienceagentbench_sab_selfdebug_claudeopus41high_1755438590,2025-08-17,33.75297,102,27,scienceagentbench_sab_selfdebug_claudeopus41high_1755438590_UPLOAD.zip
SAB Self-Debug Claude-Opus-4-1-High__claude-opus-4-1-20250805__scienceagentbench_sab_selfdebug_claudeopus41high_1755438590,SAB Self-Debug Claude-Opus-4-1-High,claude-opus-4-1-20250805,scienceagentbench,6,0,scienceagentbench_sab_selfdebug_claudeopus41high_1755438590,2025-08-17,33.75297,102,27,scienceagentbench_sab_selfdebug_claudeopus41high_1755438590_UPLOAD.zip
SAB Self-Debug Claude-Opus-4-1-High__claude-opus-4-1-20250805__scienceagentbench_sab_selfdebug_claudeopus41high_1755438590,SAB Self-Debug Claude-Opus-4-1-High,claude-opus-4-1-20250805,scienceagentbench,7,1,scienceagentbench_sab_selfdebug_claudeopus41high_1755438590,2025-08-17,33.75297,102,27,scienceagentbench_sab_selfdebug_claudeopus41high_1755438590_UPLOAD.zip
SAB Self-Debug Claude-Opus-4-1-High__claude-opus-4-1-20250805__scienceagentbench_sab_selfdebug_claudeopus41high_1755438590,SAB Self-Debug Claude-Opus-4-1-High,claude-opus-4-1-20250805,scienceagentbench,8,0,scienceagentbench_sab_selfdebug_claudeopus41high_1755438590,2025-08-17,33.75297,102,27,scienceagentbench_sab_selfdebug_claudeopus41high_1755438590_UPLOAD.zip
SAB Self-Debug Claude-Opus-4-1-High__claude-opus-4-1-20250805__scienceagentbench_sab_selfdebug_claudeopus41high_1755438590,SAB Self-Debug Claude-Opus-4-1-High,claude-opus-4-1-20250805,scienceagentbench,9,0,scienceagentbench_sab_selfdebug_claudeopus41high_1755438590,2025-08-17,33.75297,102,27,scienceagentbench_sab_selfdebug_claudeopus41high_1755438590_UPLOAD.zip
SAB Self-Debug Claude-Opus-4-1-High__claude-opus-4-1-20250805__scienceagentbench_sab_selfdebug_claudeopus41high_1755438590,SAB Self-Debug Claude-Opus-4-1-High,claude-opus-4-1-20250805,scienceagentbench,10,0,scienceagentbench_sab_selfdebug_claudeopus41high_1755438590,2025-08-17,33.75297,102,27,scienceagentbench_sab_selfdebug_claudeopus41high_1755438590_UPLOAD.zip
