agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
SAB Self-Debug Claude-Sonnet-4-5__claude-sonnet-4-5-20250929__scienceagentbench_sab_selfdebug_claudesonnet45_1761249283,SAB Self-Debug Claude-Sonnet-4-5,claude-sonnet-4-5-20250929,scienceagentbench,1,0,scienceagentbench_sab_selfdebug_claudesonnet45_1761249283,2025-10-23,7.389501,102,30,scienceagentbench_sab_selfdebug_claudesonnet45_1761249283_UPLOAD.zip
SAB Self-Debug Claude-Sonnet-4-5__claude-sonnet-4-5-20250929__scienceagentbench_sab_selfdebug_claudesonnet45_1761249283,SAB Self-Debug Claude-Sonnet-4-5,claude-sonnet-4-5-20250929,scienceagentbench,2,0,scienceagentbench_sab_selfdebug_claudesonnet45_1761249283,2025-10-23,7.389501,102,30,scienceagentbench_sab_selfdebug_claudesonnet45_1761249283_UPLOAD.zip
SAB Self-Debug Claude-Sonnet-4-5__claude-sonnet-4-5-20250929__scienceagentbench_sab_selfdebug_claudesonnet45_1761249283,SAB Self-Debug Claude-Sonnet-4-5,claude-sonnet-4-5-20250929,scienceagentbench,3,1,scienceagentbench_sab_selfdebug_claudesonnet45_1761249283,2025-10-23,7.389501,102,30,scienceagentbench_sab_selfdebug_claudesonnet45_1761249283_UPLOAD.zip
SAB Self-Debug Claude-Sonnet-4-5__claude-sonnet-4-5-20250929__scienceagentbench_sab_selfdebug_claudesonnet45_1761249283,SAB Self-Debug Claude-Sonnet-4-5,claude-sonnet-4-5-20250929,scienceagentbench,4,0,scienceagentbench_sab_selfdebug_claudesonnet45_1761249283,2025-10-23,7.389501,102,30,scienceagentbench_sab_selfdebug_claudesonnet45_1761249283_UPLOAD.zip
SAB Self-Debug Claude-Sonnet-4-5__claude-sonnet-4-5-20250929__scienceagentbench_sab_selfdebug_claudesonnet45_1761249283,SAB Self-Debug Claude-Sonnet-4-5,claude-sonnet-4-5-20250929,scienceagentbench,5,0,scienceagentbench_sab_selfdebug_claudesonnet45_1761249283,2025-10-23,7.389501,102,30,scienceagentbench_sab_selfdebug_claudesonnet45_1761249283_UPLOAD.zip
SAB Self-Debug Claude-Sonnet-4-5__claude-sonnet-4-5-20250929__scienceagentbench_sab_selfdebug_claudesonnet45_1761249283,SAB Self-Debug Claude-Sonnet-4-5,claude-sonnet-4-5-20250929,scienceagentbench,6,0,scienceagentbench_sab_selfdebug_claudesonnet45_1761249283,2025-10-23,7.389501,102,30,scienceagentbench_sab_selfdebug_claudesonnet45_1761249283_UPLOAD.zip
SAB Self-Debug Claude-Sonnet-4-5__claude-sonnet-4-5-20250929__scienceagentbench_sab_selfdebug_claudesonnet45_1761249283,SAB Self-Debug Claude-Sonnet-4-5,claude-sonnet-4-5-20250929,scienceagentbench,7,0,scienceagentbench_sab_selfdebug_claudesonnet45_1761249283,2025-10-23,7.389501,102,30,scienceagentbench_sab_selfdebug_claudesonnet45_1761249283_UPLOAD.zip
SAB Self-Debug Claude-Sonnet-4-5__claude-sonnet-4-5-20250929__scienceagentbench_sab_selfdebug_claudesonnet45_1761249283,SAB Self-Debug Claude-Sonnet-4-5,claude-sonnet-4-5-20250929,scienceagentbench,8,0,scienceagentbench_sab_selfdebug_claudesonnet45_1761249283,2025-10-23,7.389501,102,30,scienceagentbench_sab_selfdebug_claudesonnet45_1761249283_UPLOAD.zip
SAB Self-Debug Claude-Sonnet-4-5__claude-sonnet-4-5-20250929__scienceagentbench_sab_selfdebug_claudesonnet45_1761249283,SAB Self-Debug Claude-Sonnet-4-5,claude-sonnet-4-5-20250929,scienceagentbench,9,0,scienceagentbench_sab_selfdebug_claudesonnet45_1761249283,2025-10-23,7.389501,102,30,scienceagentbench_sab_selfdebug_claudesonnet45_1761249283_UPLOAD.zip
SAB Self-Debug Claude-Sonnet-4-5__claude-sonnet-4-5-20250929__scienceagentbench_sab_selfdebug_claudesonnet45_1761249283,SAB Self-Debug Claude-Sonnet-4-5,claude-sonnet-4-5-20250929,scienceagentbench,10,0,scienceagentbench_sab_selfdebug_claudesonnet45_1761249283,2025-10-23,7.389501,102,30,scienceagentbench_sab_selfdebug_claudesonnet45_1761249283_UPLOAD.zip
SAB Self-Debug Claude-Sonnet-4-5__claude-sonnet-4-5-20250929__scienceagentbench_sab_selfdebug_claudesonnet45_1761249283,SAB Self-Debug Claude-Sonnet-4-5,claude-sonnet-4-5-20250929,scienceagentbench,11,1,scienceagentbench_sab_selfdebug_claudesonnet45_1761249283,2025-10-23,7.389501,102,30,scienceagentbench_sab_selfdebug_claudesonnet45_1761249283_UPLOAD.zip
SAB Self-Debug Claude-Sonnet-4-5__claude-sonnet-4-5-20250929__scienceagentbench_sab_selfdebug_claudesonnet45_1761249283,SAB Self-Debug Claude-Sonnet-4-5,claude-sonnet-4-5-20250929,scienceagentbench,12,0,scienceagentbench_sab_selfdebug_claudesonnet45_1761249283,2025-10-23,7.389501,102,30,scienceagentbench_sab_selfdebug_claudesonnet45_1761249283_UPLOAD.zip
SAB Self-Debug Claude-Sonnet-4-5__claude-sonnet-4-5-20250929__scienceagentbench_sab_selfdebug_claudesonnet45_1761249283,SAB Self-Debug Claude-Sonnet-4-5,claude-sonnet-4-5-20250929,scienceagentbench,13,1,scienceagentbench_sab_selfdebug_claudesonnet45_1761249283,2025-10-23,7.389501,102,30,scienceagentbench_sab_selfdebug_claudesonnet45_1761249283_UPLOAD.zip
SAB Self-Debug Claude-Sonnet-4-5__claude-sonnet-4-5-20250929__scienceagentbench_sab_selfdebug_claudesonnet45_1761249283,SAB Self-Debug Claude-Sonnet-4-5,claude-sonnet-4-5-20250929,scienceagentbench,14,0,scienceagentbench_sab_selfdebug_claudesonnet45_1761249283,2025-10-23,7.389501,102,30,scienceagentbench_sab_selfdebug_claudesonnet45_1761249283_UPLOAD.zip
