agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
SAB Self-Debug DS-V3__together_ai/deepseek-ai/DeepSeek-V3__scienceagentbench_sab_selfdebug_dsv3_1744757465,SAB Self-Debug DS-V3,together_ai/deepseek-ai/DeepSeek-V3,scienceagentbench,1,0,scienceagentbench_sab_selfdebug_dsv3_1744757465,2025-04-16,2.0904475000000002,102,16,scienceagentbench_sab_selfdebug_dsv3_1744757465_UPLOAD.zip
SAB Self-Debug DS-V3__together_ai/deepseek-ai/DeepSeek-V3__scienceagentbench_sab_selfdebug_dsv3_1744757465,SAB Self-Debug DS-V3,together_ai/deepseek-ai/DeepSeek-V3,scienceagentbench,2,0,scienceagentbench_sab_selfdebug_dsv3_1744757465,2025-04-16,2.0904475000000002,102,16,scienceagentbench_sab_selfdebug_dsv3_1744757465_UPLOAD.zip
SAB Self-Debug DS-V3__together_ai/deepseek-ai/DeepSeek-V3__scienceagentbench_sab_selfdebug_dsv3_1744757465,SAB Self-Debug DS-V3,together_ai/deepseek-ai/DeepSeek-V3,scienceagentbench,3,1,scienceagentbench_sab_selfdebug_dsv3_1744757465,2025-04-16,2.0904475000000002,102,16,scienceagentbench_sab_selfdebug_dsv3_1744757465_UPLOAD.zip
SAB Self-Debug DS-V3__together_ai/deepseek-ai/DeepSeek-V3__scienceagentbench_sab_selfdebug_dsv3_1744757465,SAB Self-Debug DS-V3,together_ai/deepseek-ai/DeepSeek-V3,scienceagentbench,4,0,scienceagentbench_sab_selfdebug_dsv3_1744757465,2025-04-16,2.0904475000000002,102,16,scienceagentbench_sab_selfdebug_dsv3_1744757465_UPLOAD.zip
SAB Self-Debug DS-V3__together_ai/deepseek-ai/DeepSeek-V3__scienceagentbench_sab_selfdebug_dsv3_1744757465,SAB Self-Debug DS-V3,together_ai/deepseek-ai/DeepSeek-V3,scienceagentbench,5,0,scienceagentbench_sab_selfdebug_dsv3_1744757465,2025-04-16,2.0904475000000002,102,16,scienceagentbench_sab_selfdebug_dsv3_1744757465_UPLOAD.zip
SAB Self-Debug DS-V3__together_ai/deepseek-ai/DeepSeek-V3__scienceagentbench_sab_selfdebug_dsv3_1744757465,SAB Self-Debug DS-V3,together_ai/deepseek-ai/DeepSeek-V3,scienceagentbench,6,1,scienceagentbench_sab_selfdebug_dsv3_1744757465,2025-04-16,2.0904475000000002,102,16,scienceagentbench_sab_selfdebug_dsv3_1744757465_UPLOAD.zip
SAB Self-Debug DS-V3__together_ai/deepseek-ai/DeepSeek-V3__scienceagentbench_sab_selfdebug_dsv3_1744757465,SAB Self-Debug DS-V3,together_ai/deepseek-ai/DeepSeek-V3,scienceagentbench,7,0,scienceagentbench_sab_selfdebug_dsv3_1744757465,2025-04-16,2.0904475000000002,102,16,scienceagentbench_sab_selfdebug_dsv3_1744757465_UPLOAD.zip
SAB Self-Debug DS-V3__together_ai/deepseek-ai/DeepSeek-V3__scienceagentbench_sab_selfdebug_dsv3_1744757465,SAB Self-Debug DS-V3,together_ai/deepseek-ai/DeepSeek-V3,scienceagentbench,8,0,scienceagentbench_sab_selfdebug_dsv3_1744757465,2025-04-16,2.0904475000000002,102,16,scienceagentbench_sab_selfdebug_dsv3_1744757465_UPLOAD.zip
SAB Self-Debug DS-V3__together_ai/deepseek-ai/DeepSeek-V3__scienceagentbench_sab_selfdebug_dsv3_1744757465,SAB Self-Debug DS-V3,together_ai/deepseek-ai/DeepSeek-V3,scienceagentbench,9,0,scienceagentbench_sab_selfdebug_dsv3_1744757465,2025-04-16,2.0904475000000002,102,16,scienceagentbench_sab_selfdebug_dsv3_1744757465_UPLOAD.zip
SAB Self-Debug DS-V3__together_ai/deepseek-ai/DeepSeek-V3__scienceagentbench_sab_selfdebug_dsv3_1744757465,SAB Self-Debug DS-V3,together_ai/deepseek-ai/DeepSeek-V3,scienceagentbench,10,0,scienceagentbench_sab_selfdebug_dsv3_1744757465,2025-04-16,2.0904475000000002,102,16,scienceagentbench_sab_selfdebug_dsv3_1744757465_UPLOAD.zip
SAB Self-Debug DS-V3__together_ai/deepseek-ai/DeepSeek-V3__scienceagentbench_sab_selfdebug_dsv3_1744757465,SAB Self-Debug DS-V3,together_ai/deepseek-ai/DeepSeek-V3,scienceagentbench,11,0,scienceagentbench_sab_selfdebug_dsv3_1744757465,2025-04-16,2.0904475000000002,102,16,scienceagentbench_sab_selfdebug_dsv3_1744757465_UPLOAD.zip
SAB Self-Debug DS-V3__together_ai/deepseek-ai/DeepSeek-V3__scienceagentbench_sab_selfdebug_dsv3_1744757465,SAB Self-Debug DS-V3,together_ai/deepseek-ai/DeepSeek-V3,scienceagentbench,12,0,scienceagentbench_sab_selfdebug_dsv3_1744757465,2025-04-16,2.0904475000000002,102,16,scienceagentbench_sab_selfdebug_dsv3_1744757465_UPLOAD.zip
