agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
SAB Self-Debug gemini-2-0-flash__gemini/gemini-2.0-flash__scienceagentbench_sab_selfdebug_gemini20flash_1744901453,SAB Self-Debug gemini-2-0-flash,gemini/gemini-2.0-flash,scienceagentbench,1,0,scienceagentbench_sab_selfdebug_gemini20flash_1744901453,2025-04-17,0.1932662,102,13,scienceagentbench_sab_selfdebug_gemini20flash_1744901453_UPLOAD.zip
SAB Self-Debug gemini-2-0-flash__gemini/gemini-2.0-flash__scienceagentbench_sab_selfdebug_gemini20flash_1744901453,SAB Self-Debug gemini-2-0-flash,gemini/gemini-2.0-flash,scienceagentbench,2,0,scienceagentbench_sab_selfdebug_gemini20flash_1744901453,2025-04-17,0.1932662,102,13,scienceagentbench_sab_selfdebug_gemini20flash_1744901453_UPLOAD.zip
SAB Self-Debug gemini-2-0-flash__gemini/gemini-2.0-flash__scienceagentbench_sab_selfdebug_gemini20flash_1744901453,SAB Self-Debug gemini-2-0-flash,gemini/gemini-2.0-flash,scienceagentbench,3,1,scienceagentbench_sab_selfdebug_gemini20flash_1744901453,2025-04-17,0.1932662,102,13,scienceagentbench_sab_selfdebug_gemini20flash_1744901453_UPLOAD.zip
SAB Self-Debug gemini-2-0-flash__gemini/gemini-2.0-flash__scienceagentbench_sab_selfdebug_gemini20flash_1744901453,SAB Self-Debug gemini-2-0-flash,gemini/gemini-2.0-flash,scienceagentbench,4,0,scienceagentbench_sab_selfdebug_gemini20flash_1744901453,2025-04-17,0.1932662,102,13,scienceagentbench_sab_selfdebug_gemini20flash_1744901453_UPLOAD.zip
SAB Self-Debug gemini-2-0-flash__gemini/gemini-2.0-flash__scienceagentbench_sab_selfdebug_gemini20flash_1744901453,SAB Self-Debug gemini-2-0-flash,gemini/gemini-2.0-flash,scienceagentbench,5,0,scienceagentbench_sab_selfdebug_gemini20flash_1744901453,2025-04-17,0.1932662,102,13,scienceagentbench_sab_selfdebug_gemini20flash_1744901453_UPLOAD.zip
SAB Self-Debug gemini-2-0-flash__gemini/gemini-2.0-flash__scienceagentbench_sab_selfdebug_gemini20flash_1744901453,SAB Self-Debug gemini-2-0-flash,gemini/gemini-2.0-flash,scienceagentbench,6,1,scienceagentbench_sab_selfdebug_gemini20flash_1744901453,2025-04-17,0.1932662,102,13,scienceagentbench_sab_selfdebug_gemini20flash_1744901453_UPLOAD.zip
SAB Self-Debug gemini-2-0-flash__gemini/gemini-2.0-flash__scienceagentbench_sab_selfdebug_gemini20flash_1744901453,SAB Self-Debug gemini-2-0-flash,gemini/gemini-2.0-flash,scienceagentbench,7,0,scienceagentbench_sab_selfdebug_gemini20flash_1744901453,2025-04-17,0.1932662,102,13,scienceagentbench_sab_selfdebug_gemini20flash_1744901453_UPLOAD.zip
SAB Self-Debug gemini-2-0-flash__gemini/gemini-2.0-flash__scienceagentbench_sab_selfdebug_gemini20flash_1744901453,SAB Self-Debug gemini-2-0-flash,gemini/gemini-2.0-flash,scienceagentbench,8,0,scienceagentbench_sab_selfdebug_gemini20flash_1744901453,2025-04-17,0.1932662,102,13,scienceagentbench_sab_selfdebug_gemini20flash_1744901453_UPLOAD.zip
SAB Self-Debug gemini-2-0-flash__gemini/gemini-2.0-flash__scienceagentbench_sab_selfdebug_gemini20flash_1744901453,SAB Self-Debug gemini-2-0-flash,gemini/gemini-2.0-flash,scienceagentbench,9,0,scienceagentbench_sab_selfdebug_gemini20flash_1744901453,2025-04-17,0.1932662,102,13,scienceagentbench_sab_selfdebug_gemini20flash_1744901453_UPLOAD.zip
SAB Self-Debug gemini-2-0-flash__gemini/gemini-2.0-flash__scienceagentbench_sab_selfdebug_gemini20flash_1744901453,SAB Self-Debug gemini-2-0-flash,gemini/gemini-2.0-flash,scienceagentbench,10,0,scienceagentbench_sab_selfdebug_gemini20flash_1744901453,2025-04-17,0.1932662,102,13,scienceagentbench_sab_selfdebug_gemini20flash_1744901453_UPLOAD.zip
SAB Self-Debug gemini-2-0-flash__gemini/gemini-2.0-flash__scienceagentbench_sab_selfdebug_gemini20flash_1744901453,SAB Self-Debug gemini-2-0-flash,gemini/gemini-2.0-flash,scienceagentbench,11,0,scienceagentbench_sab_selfdebug_gemini20flash_1744901453,2025-04-17,0.1932662,102,13,scienceagentbench_sab_selfdebug_gemini20flash_1744901453_UPLOAD.zip
