agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
sab_selfdebug_gpt_41__gpt-4.1-2025-04-14__scienceagentbench_sab_selfdebug_gpt_41_1744993235,sab_selfdebug_gpt_41,gpt-4.1-2025-04-14,scienceagentbench,1,0,scienceagentbench_sab_selfdebug_gpt_41_1744993235,2025-04-18,7.4157399999999996,102,25,scienceagentbench_sab_selfdebug_gpt_41_1744993235_UPLOAD.zip
sab_selfdebug_gpt_41__gpt-4.1-2025-04-14__scienceagentbench_sab_selfdebug_gpt_41_1744993235,sab_selfdebug_gpt_41,gpt-4.1-2025-04-14,scienceagentbench,2,0,scienceagentbench_sab_selfdebug_gpt_41_1744993235,2025-04-18,7.4157399999999996,102,25,scienceagentbench_sab_selfdebug_gpt_41_1744993235_UPLOAD.zip
sab_selfdebug_gpt_41__gpt-4.1-2025-04-14__scienceagentbench_sab_selfdebug_gpt_41_1744993235,sab_selfdebug_gpt_41,gpt-4.1-2025-04-14,scienceagentbench,3,1,scienceagentbench_sab_selfdebug_gpt_41_1744993235,2025-04-18,7.4157399999999996,102,25,scienceagentbench_sab_selfdebug_gpt_41_1744993235_UPLOAD.zip
sab_selfdebug_gpt_41__gpt-4.1-2025-04-14__scienceagentbench_sab_selfdebug_gpt_41_1744993235,sab_selfdebug_gpt_41,gpt-4.1-2025-04-14,scienceagentbench,4,0,scienceagentbench_sab_selfdebug_gpt_41_1744993235,2025-04-18,7.4157399999999996,102,25,scienceagentbench_sab_selfdebug_gpt_41_1744993235_UPLOAD.zip
sab_selfdebug_gpt_41__gpt-4.1-2025-04-14__scienceagentbench_sab_selfdebug_gpt_41_1744993235,sab_selfdebug_gpt_41,gpt-4.1-2025-04-14,scienceagentbench,5,0,scienceagentbench_sab_selfdebug_gpt_41_1744993235,2025-04-18,7.4157399999999996,102,25,scienceagentbench_sab_selfdebug_gpt_41_1744993235_UPLOAD.zip
sab_selfdebug_gpt_41__gpt-4.1-2025-04-14__scienceagentbench_sab_selfdebug_gpt_41_1744993235,sab_selfdebug_gpt_41,gpt-4.1-2025-04-14,scienceagentbench,6,0,scienceagentbench_sab_selfdebug_gpt_41_1744993235,2025-04-18,7.4157399999999996,102,25,scienceagentbench_sab_selfdebug_gpt_41_1744993235_UPLOAD.zip
sab_selfdebug_gpt_41__gpt-4.1-2025-04-14__scienceagentbench_sab_selfdebug_gpt_41_1744993235,sab_selfdebug_gpt_41,gpt-4.1-2025-04-14,scienceagentbench,7,0,scienceagentbench_sab_selfdebug_gpt_41_1744993235,2025-04-18,7.4157399999999996,102,25,scienceagentbench_sab_selfdebug_gpt_41_1744993235_UPLOAD.zip
sab_selfdebug_gpt_41__gpt-4.1-2025-04-14__scienceagentbench_sab_selfdebug_gpt_41_1744993235,sab_selfdebug_gpt_41,gpt-4.1-2025-04-14,scienceagentbench,8,0,scienceagentbench_sab_selfdebug_gpt_41_1744993235,2025-04-18,7.4157399999999996,102,25,scienceagentbench_sab_selfdebug_gpt_41_1744993235_UPLOAD.zip
sab_selfdebug_gpt_41__gpt-4.1-2025-04-14__scienceagentbench_sab_selfdebug_gpt_41_1744993235,sab_selfdebug_gpt_41,gpt-4.1-2025-04-14,scienceagentbench,9,0,scienceagentbench_sab_selfdebug_gpt_41_1744993235,2025-04-18,7.4157399999999996,102,25,scienceagentbench_sab_selfdebug_gpt_41_1744993235_UPLOAD.zip
sab_selfdebug_gpt_41__gpt-4.1-2025-04-14__scienceagentbench_sab_selfdebug_gpt_41_1744993235,sab_selfdebug_gpt_41,gpt-4.1-2025-04-14,scienceagentbench,10,0,scienceagentbench_sab_selfdebug_gpt_41_1744993235,2025-04-18,7.4157399999999996,102,25,scienceagentbench_sab_selfdebug_gpt_41_1744993235_UPLOAD.zip
