agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
SAB Self-Debug o4-mini low__o4-mini-2025-04-16__scienceagentbench_sab_selfdebug_o4mini_low_1745199029,SAB Self-Debug o4-mini low,o4-mini-2025-04-16,scienceagentbench,1,0,scienceagentbench_sab_selfdebug_o4mini_low_1745199029,2025-04-21,3.9544384,102,28,scienceagentbench_sab_selfdebug_o4mini_low_1745199029_UPLOAD.zip
SAB Self-Debug o4-mini low__o4-mini-2025-04-16__scienceagentbench_sab_selfdebug_o4mini_low_1745199029,SAB Self-Debug o4-mini low,o4-mini-2025-04-16,scienceagentbench,2,0,scienceagentbench_sab_selfdebug_o4mini_low_1745199029,2025-04-21,3.9544384,102,28,scienceagentbench_sab_selfdebug_o4mini_low_1745199029_UPLOAD.zip
SAB Self-Debug o4-mini low__o4-mini-2025-04-16__scienceagentbench_sab_selfdebug_o4mini_low_1745199029,SAB Self-Debug o4-mini low,o4-mini-2025-04-16,scienceagentbench,3,1,scienceagentbench_sab_selfdebug_o4mini_low_1745199029,2025-04-21,3.9544384,102,28,scienceagentbench_sab_selfdebug_o4mini_low_1745199029_UPLOAD.zip
SAB Self-Debug o4-mini low__o4-mini-2025-04-16__scienceagentbench_sab_selfdebug_o4mini_low_1745199029,SAB Self-Debug o4-mini low,o4-mini-2025-04-16,scienceagentbench,4,0,scienceagentbench_sab_selfdebug_o4mini_low_1745199029,2025-04-21,3.9544384,102,28,scienceagentbench_sab_selfdebug_o4mini_low_1745199029_UPLOAD.zip
SAB Self-Debug o4-mini low__o4-mini-2025-04-16__scienceagentbench_sab_selfdebug_o4mini_low_1745199029,SAB Self-Debug o4-mini low,o4-mini-2025-04-16,scienceagentbench,5,0,scienceagentbench_sab_selfdebug_o4mini_low_1745199029,2025-04-21,3.9544384,102,28,scienceagentbench_sab_selfdebug_o4mini_low_1745199029_UPLOAD.zip
SAB Self-Debug o4-mini low__o4-mini-2025-04-16__scienceagentbench_sab_selfdebug_o4mini_low_1745199029,SAB Self-Debug o4-mini low,o4-mini-2025-04-16,scienceagentbench,6,0,scienceagentbench_sab_selfdebug_o4mini_low_1745199029,2025-04-21,3.9544384,102,28,scienceagentbench_sab_selfdebug_o4mini_low_1745199029_UPLOAD.zip
SAB Self-Debug o4-mini low__o4-mini-2025-04-16__scienceagentbench_sab_selfdebug_o4mini_low_1745199029,SAB Self-Debug o4-mini low,o4-mini-2025-04-16,scienceagentbench,7,0,scienceagentbench_sab_selfdebug_o4mini_low_1745199029,2025-04-21,3.9544384,102,28,scienceagentbench_sab_selfdebug_o4mini_low_1745199029_UPLOAD.zip
SAB Self-Debug o4-mini low__o4-mini-2025-04-16__scienceagentbench_sab_selfdebug_o4mini_low_1745199029,SAB Self-Debug o4-mini low,o4-mini-2025-04-16,scienceagentbench,8,0,scienceagentbench_sab_selfdebug_o4mini_low_1745199029,2025-04-21,3.9544384,102,28,scienceagentbench_sab_selfdebug_o4mini_low_1745199029_UPLOAD.zip
SAB Self-Debug o4-mini low__o4-mini-2025-04-16__scienceagentbench_sab_selfdebug_o4mini_low_1745199029,SAB Self-Debug o4-mini low,o4-mini-2025-04-16,scienceagentbench,9,0,scienceagentbench_sab_selfdebug_o4mini_low_1745199029,2025-04-21,3.9544384,102,28,scienceagentbench_sab_selfdebug_o4mini_low_1745199029_UPLOAD.zip
SAB Self-Debug o4-mini low__o4-mini-2025-04-16__scienceagentbench_sab_selfdebug_o4mini_low_1745199029,SAB Self-Debug o4-mini low,o4-mini-2025-04-16,scienceagentbench,10,0,scienceagentbench_sab_selfdebug_o4mini_low_1745199029,2025-04-21,3.9544384,102,28,scienceagentbench_sab_selfdebug_o4mini_low_1745199029_UPLOAD.zip
