agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
My Agent__o3-mini__swebench_verified_mini_1743879454,My Agent,o3-mini,swebench_verified_mini,django__django-12774,1,swebench_verified_mini_1743879454,2025-04-06,113.3279378,46,20,swebench_verified_mini_1743879454_UPLOAD.zip
My Agent__o3-mini__swebench_verified_mini_1743879454,My Agent,o3-mini,swebench_verified_mini,django__django-12050,1,swebench_verified_mini_1743879454,2025-04-06,113.3279378,46,20,swebench_verified_mini_1743879454_UPLOAD.zip
My Agent__o3-mini__swebench_verified_mini_1743879454,My Agent,o3-mini,swebench_verified_mini,django__django-12713,1,swebench_verified_mini_1743879454,2025-04-06,113.3279378,46,20,swebench_verified_mini_1743879454_UPLOAD.zip
My Agent__o3-mini__swebench_verified_mini_1743879454,My Agent,o3-mini,swebench_verified_mini,sphinx-doc__sphinx-9698,1,swebench_verified_mini_1743879454,2025-04-06,113.3279378,46,20,swebench_verified_mini_1743879454_UPLOAD.zip
My Agent__o3-mini__swebench_verified_mini_1743879454,My Agent,o3-mini,swebench_verified_mini,django__django-9296,1,swebench_verified_mini_1743879454,2025-04-06,113.3279378,46,20,swebench_verified_mini_1743879454_UPLOAD.zip
My Agent__o3-mini__swebench_verified_mini_1743879454,My Agent,o3-mini,swebench_verified_mini,django__django-11880,1,swebench_verified_mini_1743879454,2025-04-06,113.3279378,46,20,swebench_verified_mini_1743879454_UPLOAD.zip
My Agent__o3-mini__swebench_verified_mini_1743879454,My Agent,o3-mini,swebench_verified_mini,sphinx-doc__sphinx-9367,1,swebench_verified_mini_1743879454,2025-04-06,113.3279378,46,20,swebench_verified_mini_1743879454_UPLOAD.zip
My Agent__o3-mini__swebench_verified_mini_1743879454,My Agent,o3-mini,swebench_verified_mini,sphinx-doc__sphinx-8721,1,swebench_verified_mini_1743879454,2025-04-06,113.3279378,46,20,swebench_verified_mini_1743879454_UPLOAD.zip
My Agent__o3-mini__swebench_verified_mini_1743879454,My Agent,o3-mini,swebench_verified_mini,django__django-11964,1,swebench_verified_mini_1743879454,2025-04-06,113.3279378,46,20,swebench_verified_mini_1743879454_UPLOAD.zip
My Agent__o3-mini__swebench_verified_mini_1743879454,My Agent,o3-mini,swebench_verified_mini,django__django-12276,1,swebench_verified_mini_1743879454,2025-04-06,113.3279378,46,20,swebench_verified_mini_1743879454_UPLOAD.zip
My Agent__o3-mini__swebench_verified_mini_1743879454,My Agent,o3-mini,swebench_verified_mini,sphinx-doc__sphinx-9320,1,swebench_verified_mini_1743879454,2025-04-06,113.3279378,46,20,swebench_verified_mini_1743879454_UPLOAD.zip
My Agent__o3-mini__swebench_verified_mini_1743879454,My Agent,o3-mini,swebench_verified_mini,django__django-11790,1,swebench_verified_mini_1743879454,2025-04-06,113.3279378,46,20,swebench_verified_mini_1743879454_UPLOAD.zip
My Agent__o3-mini__swebench_verified_mini_1743879454,My Agent,o3-mini,swebench_verified_mini,sphinx-doc__sphinx-8475,1,swebench_verified_mini_1743879454,2025-04-06,113.3279378,46,20,swebench_verified_mini_1743879454_UPLOAD.zip
My Agent__o3-mini__swebench_verified_mini_1743879454,My Agent,o3-mini,swebench_verified_mini,django__django-12262,1,swebench_verified_mini_1743879454,2025-04-06,113.3279378,46,20,swebench_verified_mini_1743879454_UPLOAD.zip
My Agent__o3-mini__swebench_verified_mini_1743879454,My Agent,o3-mini,swebench_verified_mini,sphinx-doc__sphinx-10466,1,swebench_verified_mini_1743879454,2025-04-06,113.3279378,46,20,swebench_verified_mini_1743879454_UPLOAD.zip
My Agent__o3-mini__swebench_verified_mini_1743879454,My Agent,o3-mini,swebench_verified_mini,django__django-11848,1,swebench_verified_mini_1743879454,2025-04-06,113.3279378,46,20,swebench_verified_mini_1743879454_UPLOAD.zip
My Agent__o3-mini__swebench_verified_mini_1743879454,My Agent,o3-mini,swebench_verified_mini,django__django-12155,1,swebench_verified_mini_1743879454,2025-04-06,113.3279378,46,20,swebench_verified_mini_1743879454_UPLOAD.zip
My Agent__o3-mini__swebench_verified_mini_1743879454,My Agent,o3-mini,swebench_verified_mini,sphinx-doc__sphinx-8269,1,swebench_verified_mini_1743879454,2025-04-06,113.3279378,46,20,swebench_verified_mini_1743879454_UPLOAD.zip
My Agent__o3-mini__swebench_verified_mini_1743879454,My Agent,o3-mini,swebench_verified_mini,django__django-12143,1,swebench_verified_mini_1743879454,2025-04-06,113.3279378,46,20,swebench_verified_mini_1743879454_UPLOAD.zip
My Agent__o3-mini__swebench_verified_mini_1743879454,My Agent,o3-mini,swebench_verified_mini,django__django-12708,1,swebench_verified_mini_1743879454,2025-04-06,113.3279378,46,20,swebench_verified_mini_1743879454_UPLOAD.zip
My Agent__o3-mini__swebench_verified_mini_1743879454,My Agent,o3-mini,swebench_verified_mini,django__django-12308,0,swebench_verified_mini_1743879454,2025-04-06,113.3279378,46,20,swebench_verified_mini_1743879454_UPLOAD.zip
My Agent__o3-mini__swebench_verified_mini_1743879454,My Agent,o3-mini,swebench_verified_mini,sphinx-doc__sphinx-8265,0,swebench_verified_mini_1743879454,2025-04-06,113.3279378,46,20,swebench_verified_mini_1743879454_UPLOAD.zip
My Agent__o3-mini__swebench_verified_mini_1743879454,My Agent,o3-mini,swebench_verified_mini,django__django-12193,0,swebench_verified_mini_1743879454,2025-04-06,113.3279378,46,20,swebench_verified_mini_1743879454_UPLOAD.zip
My Agent__o3-mini__swebench_verified_mini_1743879454,My Agent,o3-mini,swebench_verified_mini,sphinx-doc__sphinx-8638,0,swebench_verified_mini_1743879454,2025-04-06,113.3279378,46,20,swebench_verified_mini_1743879454_UPLOAD.zip
My Agent__o3-mini__swebench_verified_mini_1743879454,My Agent,o3-mini,swebench_verified_mini,django__django-11951,0,swebench_verified_mini_1743879454,2025-04-06,113.3279378,46,20,swebench_verified_mini_1743879454_UPLOAD.zip
My Agent__o3-mini__swebench_verified_mini_1743879454,My Agent,o3-mini,swebench_verified_mini,sphinx-doc__sphinx-9230,0,swebench_verified_mini_1743879454,2025-04-06,113.3279378,46,20,swebench_verified_mini_1743879454_UPLOAD.zip
My Agent__o3-mini__swebench_verified_mini_1743879454,My Agent,o3-mini,swebench_verified_mini,django__django-12406,0,swebench_verified_mini_1743879454,2025-04-06,113.3279378,46,20,swebench_verified_mini_1743879454_UPLOAD.zip
My Agent__o3-mini__swebench_verified_mini_1743879454,My Agent,o3-mini,swebench_verified_mini,sphinx-doc__sphinx-8548,0,swebench_verified_mini_1743879454,2025-04-06,113.3279378,46,20,swebench_verified_mini_1743879454_UPLOAD.zip
My Agent__o3-mini__swebench_verified_mini_1743879454,My Agent,o3-mini,swebench_verified_mini,sphinx-doc__sphinx-9461,0,swebench_verified_mini_1743879454,2025-04-06,113.3279378,46,20,swebench_verified_mini_1743879454_UPLOAD.zip
My Agent__o3-mini__swebench_verified_mini_1743879454,My Agent,o3-mini,swebench_verified_mini,sphinx-doc__sphinx-8035,0,swebench_verified_mini_1743879454,2025-04-06,113.3279378,46,20,swebench_verified_mini_1743879454_UPLOAD.zip
My Agent__o3-mini__swebench_verified_mini_1743879454,My Agent,o3-mini,swebench_verified_mini,sphinx-doc__sphinx-10673,0,swebench_verified_mini_1743879454,2025-04-06,113.3279378,46,20,swebench_verified_mini_1743879454_UPLOAD.zip
My Agent__o3-mini__swebench_verified_mini_1743879454,My Agent,o3-mini,swebench_verified_mini,sphinx-doc__sphinx-7757,0,swebench_verified_mini_1743879454,2025-04-06,113.3279378,46,20,swebench_verified_mini_1743879454_UPLOAD.zip
My Agent__o3-mini__swebench_verified_mini_1743879454,My Agent,o3-mini,swebench_verified_mini,django__django-11885,0,swebench_verified_mini_1743879454,2025-04-06,113.3279378,46,20,swebench_verified_mini_1743879454_UPLOAD.zip
My Agent__o3-mini__swebench_verified_mini_1743879454,My Agent,o3-mini,swebench_verified_mini,django__django-12039,0,swebench_verified_mini_1743879454,2025-04-06,113.3279378,46,20,swebench_verified_mini_1743879454_UPLOAD.zip
My Agent__o3-mini__swebench_verified_mini_1743879454,My Agent,o3-mini,swebench_verified_mini,sphinx-doc__sphinx-7985,0,swebench_verified_mini_1743879454,2025-04-06,113.3279378,46,20,swebench_verified_mini_1743879454_UPLOAD.zip
My Agent__o3-mini__swebench_verified_mini_1743879454,My Agent,o3-mini,swebench_verified_mini,sphinx-doc__sphinx-8056,0,swebench_verified_mini_1743879454,2025-04-06,113.3279378,46,20,swebench_verified_mini_1743879454_UPLOAD.zip
