agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
hal_generalist_agent_o3mini20250131_low__o3-mini-2025-01-31__swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516,hal_generalist_agent_o3mini20250131_low,o3-mini-2025-01-31,swebench_verified_mini,django__django-11999,0,swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516,2025-04-14,11.078982200000002,50,0,swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516_UPLOAD.zip
hal_generalist_agent_o3mini20250131_low__o3-mini-2025-01-31__swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516,hal_generalist_agent_o3mini20250131_low,o3-mini-2025-01-31,swebench_verified_mini,django__django-11880,0,swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516,2025-04-14,11.078982200000002,50,0,swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516_UPLOAD.zip
hal_generalist_agent_o3mini20250131_low__o3-mini-2025-01-31__swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516,hal_generalist_agent_o3mini20250131_low,o3-mini-2025-01-31,swebench_verified_mini,sphinx-doc__sphinx-9367,0,swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516,2025-04-14,11.078982200000002,50,0,swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516_UPLOAD.zip
hal_generalist_agent_o3mini20250131_low__o3-mini-2025-01-31__swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516,hal_generalist_agent_o3mini20250131_low,o3-mini-2025-01-31,swebench_verified_mini,sphinx-doc__sphinx-8548,0,swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516,2025-04-14,11.078982200000002,50,0,swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516_UPLOAD.zip
hal_generalist_agent_o3mini20250131_low__o3-mini-2025-01-31__swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516,hal_generalist_agent_o3mini20250131_low,o3-mini-2025-01-31,swebench_verified_mini,sphinx-doc__sphinx-9229,0,swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516,2025-04-14,11.078982200000002,50,0,swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516_UPLOAD.zip
hal_generalist_agent_o3mini20250131_low__o3-mini-2025-01-31__swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516,hal_generalist_agent_o3mini20250131_low,o3-mini-2025-01-31,swebench_verified_mini,django__django-12276,0,swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516,2025-04-14,11.078982200000002,50,0,swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516_UPLOAD.zip
hal_generalist_agent_o3mini20250131_low__o3-mini-2025-01-31__swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516,hal_generalist_agent_o3mini20250131_low,o3-mini-2025-01-31,swebench_verified_mini,django__django-12713,0,swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516,2025-04-14,11.078982200000002,50,0,swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516_UPLOAD.zip
hal_generalist_agent_o3mini20250131_low__o3-mini-2025-01-31__swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516,hal_generalist_agent_o3mini20250131_low,o3-mini-2025-01-31,swebench_verified_mini,sphinx-doc__sphinx-10323,0,swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516,2025-04-14,11.078982200000002,50,0,swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516_UPLOAD.zip
hal_generalist_agent_o3mini20250131_low__o3-mini-2025-01-31__swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516,hal_generalist_agent_o3mini20250131_low,o3-mini-2025-01-31,swebench_verified_mini,django__django-11790,0,swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516,2025-04-14,11.078982200000002,50,0,swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516_UPLOAD.zip
hal_generalist_agent_o3mini20250131_low__o3-mini-2025-01-31__swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516,hal_generalist_agent_o3mini20250131_low,o3-mini-2025-01-31,swebench_verified_mini,django__django-9296,0,swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516,2025-04-14,11.078982200000002,50,0,swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516_UPLOAD.zip
hal_generalist_agent_o3mini20250131_low__o3-mini-2025-01-31__swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516,hal_generalist_agent_o3mini20250131_low,o3-mini-2025-01-31,swebench_verified_mini,django__django-12304,0,swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516,2025-04-14,11.078982200000002,50,0,swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516_UPLOAD.zip
hal_generalist_agent_o3mini20250131_low__o3-mini-2025-01-31__swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516,hal_generalist_agent_o3mini20250131_low,o3-mini-2025-01-31,swebench_verified_mini,sphinx-doc__sphinx-8056,0,swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516,2025-04-14,11.078982200000002,50,0,swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516_UPLOAD.zip
hal_generalist_agent_o3mini20250131_low__o3-mini-2025-01-31__swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516,hal_generalist_agent_o3mini20250131_low,o3-mini-2025-01-31,swebench_verified_mini,django__django-12209,0,swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516,2025-04-14,11.078982200000002,50,0,swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516_UPLOAD.zip
hal_generalist_agent_o3mini20250131_low__o3-mini-2025-01-31__swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516,hal_generalist_agent_o3mini20250131_low,o3-mini-2025-01-31,swebench_verified_mini,sphinx-doc__sphinx-7757,0,swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516,2025-04-14,11.078982200000002,50,0,swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516_UPLOAD.zip
hal_generalist_agent_o3mini20250131_low__o3-mini-2025-01-31__swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516,hal_generalist_agent_o3mini20250131_low,o3-mini-2025-01-31,swebench_verified_mini,django__django-12273,0,swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516,2025-04-14,11.078982200000002,50,0,swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516_UPLOAD.zip
hal_generalist_agent_o3mini20250131_low__o3-mini-2025-01-31__swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516,hal_generalist_agent_o3mini20250131_low,o3-mini-2025-01-31,swebench_verified_mini,sphinx-doc__sphinx-8035,0,swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516,2025-04-14,11.078982200000002,50,0,swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516_UPLOAD.zip
hal_generalist_agent_o3mini20250131_low__o3-mini-2025-01-31__swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516,hal_generalist_agent_o3mini20250131_low,o3-mini-2025-01-31,swebench_verified_mini,django__django-12039,0,swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516,2025-04-14,11.078982200000002,50,0,swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516_UPLOAD.zip
hal_generalist_agent_o3mini20250131_low__o3-mini-2025-01-31__swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516,hal_generalist_agent_o3mini20250131_low,o3-mini-2025-01-31,swebench_verified_mini,sphinx-doc__sphinx-8475,0,swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516,2025-04-14,11.078982200000002,50,0,swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516_UPLOAD.zip
hal_generalist_agent_o3mini20250131_low__o3-mini-2025-01-31__swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516,hal_generalist_agent_o3mini20250131_low,o3-mini-2025-01-31,swebench_verified_mini,django__django-12143,0,swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516,2025-04-14,11.078982200000002,50,0,swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516_UPLOAD.zip
hal_generalist_agent_o3mini20250131_low__o3-mini-2025-01-31__swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516,hal_generalist_agent_o3mini20250131_low,o3-mini-2025-01-31,swebench_verified_mini,sphinx-doc__sphinx-9320,0,swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516,2025-04-14,11.078982200000002,50,0,swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516_UPLOAD.zip
