agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
HAL Generalist__claude-haiku-4-5-20251001__swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,HAL Generalist,claude-haiku-4-5-20251001,swebench_verified_mini,django__django-12050,1,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,2025-11-06,87.219172,49,12,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995_UPLOAD.zip
HAL Generalist__claude-haiku-4-5-20251001__swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,HAL Generalist,claude-haiku-4-5-20251001,swebench_verified_mini,django__django-12193,1,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,2025-11-06,87.219172,49,12,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995_UPLOAD.zip
HAL Generalist__claude-haiku-4-5-20251001__swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,HAL Generalist,claude-haiku-4-5-20251001,swebench_verified_mini,sphinx-doc__sphinx-8035,1,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,2025-11-06,87.219172,49,12,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995_UPLOAD.zip
HAL Generalist__claude-haiku-4-5-20251001__swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,HAL Generalist,claude-haiku-4-5-20251001,swebench_verified_mini,sphinx-doc__sphinx-8269,1,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,2025-11-06,87.219172,49,12,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995_UPLOAD.zip
HAL Generalist__claude-haiku-4-5-20251001__swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,HAL Generalist,claude-haiku-4-5-20251001,swebench_verified_mini,sphinx-doc__sphinx-8721,1,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,2025-11-06,87.219172,49,12,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995_UPLOAD.zip
HAL Generalist__claude-haiku-4-5-20251001__swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,HAL Generalist,claude-haiku-4-5-20251001,swebench_verified_mini,django__django-12262,1,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,2025-11-06,87.219172,49,12,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995_UPLOAD.zip
HAL Generalist__claude-haiku-4-5-20251001__swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,HAL Generalist,claude-haiku-4-5-20251001,swebench_verified_mini,django__django-12276,1,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,2025-11-06,87.219172,49,12,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995_UPLOAD.zip
HAL Generalist__claude-haiku-4-5-20251001__swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,HAL Generalist,claude-haiku-4-5-20251001,swebench_verified_mini,django__django-12774,1,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,2025-11-06,87.219172,49,12,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995_UPLOAD.zip
HAL Generalist__claude-haiku-4-5-20251001__swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,HAL Generalist,claude-haiku-4-5-20251001,swebench_verified_mini,django__django-11790,1,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,2025-11-06,87.219172,49,12,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995_UPLOAD.zip
HAL Generalist__claude-haiku-4-5-20251001__swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,HAL Generalist,claude-haiku-4-5-20251001,swebench_verified_mini,django__django-9296,1,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,2025-11-06,87.219172,49,12,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995_UPLOAD.zip
HAL Generalist__claude-haiku-4-5-20251001__swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,HAL Generalist,claude-haiku-4-5-20251001,swebench_verified_mini,django__django-11951,1,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,2025-11-06,87.219172,49,12,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995_UPLOAD.zip
HAL Generalist__claude-haiku-4-5-20251001__swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,HAL Generalist,claude-haiku-4-5-20251001,swebench_verified_mini,django__django-12155,1,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,2025-11-06,87.219172,49,12,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995_UPLOAD.zip
HAL Generalist__claude-haiku-4-5-20251001__swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,HAL Generalist,claude-haiku-4-5-20251001,swebench_verified_mini,sphinx-doc__sphinx-7590,0,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,2025-11-06,87.219172,49,12,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995_UPLOAD.zip
HAL Generalist__claude-haiku-4-5-20251001__swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,HAL Generalist,claude-haiku-4-5-20251001,swebench_verified_mini,django__django-12308,0,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,2025-11-06,87.219172,49,12,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995_UPLOAD.zip
HAL Generalist__claude-haiku-4-5-20251001__swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,HAL Generalist,claude-haiku-4-5-20251001,swebench_verified_mini,sphinx-doc__sphinx-8638,0,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,2025-11-06,87.219172,49,12,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995_UPLOAD.zip
HAL Generalist__claude-haiku-4-5-20251001__swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,HAL Generalist,claude-haiku-4-5-20251001,swebench_verified_mini,sphinx-doc__sphinx-9367,0,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,2025-11-06,87.219172,49,12,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995_UPLOAD.zip
HAL Generalist__claude-haiku-4-5-20251001__swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,HAL Generalist,claude-haiku-4-5-20251001,swebench_verified_mini,django__django-12713,0,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,2025-11-06,87.219172,49,12,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995_UPLOAD.zip
HAL Generalist__claude-haiku-4-5-20251001__swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,HAL Generalist,claude-haiku-4-5-20251001,swebench_verified_mini,sphinx-doc__sphinx-11510,0,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,2025-11-06,87.219172,49,12,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995_UPLOAD.zip
HAL Generalist__claude-haiku-4-5-20251001__swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,HAL Generalist,claude-haiku-4-5-20251001,swebench_verified_mini,django__django-11815,0,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,2025-11-06,87.219172,49,12,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995_UPLOAD.zip
HAL Generalist__claude-haiku-4-5-20251001__swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,HAL Generalist,claude-haiku-4-5-20251001,swebench_verified_mini,django__django-12273,0,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,2025-11-06,87.219172,49,12,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995_UPLOAD.zip
HAL Generalist__claude-haiku-4-5-20251001__swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,HAL Generalist,claude-haiku-4-5-20251001,swebench_verified_mini,django__django-11999,0,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,2025-11-06,87.219172,49,12,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995_UPLOAD.zip
HAL Generalist__claude-haiku-4-5-20251001__swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,HAL Generalist,claude-haiku-4-5-20251001,swebench_verified_mini,sphinx-doc__sphinx-9230,0,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,2025-11-06,87.219172,49,12,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995_UPLOAD.zip
HAL Generalist__claude-haiku-4-5-20251001__swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,HAL Generalist,claude-haiku-4-5-20251001,swebench_verified_mini,django__django-11964,0,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,2025-11-06,87.219172,49,12,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995_UPLOAD.zip
HAL Generalist__claude-haiku-4-5-20251001__swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,HAL Generalist,claude-haiku-4-5-20251001,swebench_verified_mini,sphinx-doc__sphinx-9320,0,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,2025-11-06,87.219172,49,12,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995_UPLOAD.zip
HAL Generalist__claude-haiku-4-5-20251001__swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,HAL Generalist,claude-haiku-4-5-20251001,swebench_verified_mini,sphinx-doc__sphinx-9698,0,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,2025-11-06,87.219172,49,12,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995_UPLOAD.zip
HAL Generalist__claude-haiku-4-5-20251001__swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,HAL Generalist,claude-haiku-4-5-20251001,swebench_verified_mini,django__django-12143,0,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995,2025-11-06,87.219172,49,12,swebench_verified_mini_hal_generalist_claudehaiku4520251001_1762392995_UPLOAD.zip
