agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
HAL Generalist__claude-opus-4-20250514__swebench_verified_mini_hal_generalist_claudeopus420250514_1755353480,HAL Generalist,claude-opus-4-20250514,swebench_verified_mini,django__django-11880,1,swebench_verified_mini_hal_generalist_claudeopus420250514_1755353480,2025-08-17,382.39359,50,17,swebench_verified_mini_hal_generalist_claudeopus420250514_1755353480_UPLOAD.zip
HAL Generalist__claude-opus-4-20250514__swebench_verified_mini_hal_generalist_claudeopus420250514_1755353480,HAL Generalist,claude-opus-4-20250514,swebench_verified_mini,django__django-12713,1,swebench_verified_mini_hal_generalist_claudeopus420250514_1755353480,2025-08-17,382.39359,50,17,swebench_verified_mini_hal_generalist_claudeopus420250514_1755353480_UPLOAD.zip
HAL Generalist__claude-opus-4-20250514__swebench_verified_mini_hal_generalist_claudeopus420250514_1755353480,HAL Generalist,claude-opus-4-20250514,swebench_verified_mini,django__django-12155,1,swebench_verified_mini_hal_generalist_claudeopus420250514_1755353480,2025-08-17,382.39359,50,17,swebench_verified_mini_hal_generalist_claudeopus420250514_1755353480_UPLOAD.zip
HAL Generalist__claude-opus-4-20250514__swebench_verified_mini_hal_generalist_claudeopus420250514_1755353480,HAL Generalist,claude-opus-4-20250514,swebench_verified_mini,django__django-11951,1,swebench_verified_mini_hal_generalist_claudeopus420250514_1755353480,2025-08-17,382.39359,50,17,swebench_verified_mini_hal_generalist_claudeopus420250514_1755353480_UPLOAD.zip
HAL Generalist__claude-opus-4-20250514__swebench_verified_mini_hal_generalist_claudeopus420250514_1755353480,HAL Generalist,claude-opus-4-20250514,swebench_verified_mini,django__django-12050,1,swebench_verified_mini_hal_generalist_claudeopus420250514_1755353480,2025-08-17,382.39359,50,17,swebench_verified_mini_hal_generalist_claudeopus420250514_1755353480_UPLOAD.zip
HAL Generalist__claude-opus-4-20250514__swebench_verified_mini_hal_generalist_claudeopus420250514_1755353480,HAL Generalist,claude-opus-4-20250514,swebench_verified_mini,django__django-11999,1,swebench_verified_mini_hal_generalist_claudeopus420250514_1755353480,2025-08-17,382.39359,50,17,swebench_verified_mini_hal_generalist_claudeopus420250514_1755353480_UPLOAD.zip
HAL Generalist__claude-opus-4-20250514__swebench_verified_mini_hal_generalist_claudeopus420250514_1755353480,HAL Generalist,claude-opus-4-20250514,swebench_verified_mini,django__django-12708,1,swebench_verified_mini_hal_generalist_claudeopus420250514_1755353480,2025-08-17,382.39359,50,17,swebench_verified_mini_hal_generalist_claudeopus420250514_1755353480_UPLOAD.zip
HAL Generalist__claude-opus-4-20250514__swebench_verified_mini_hal_generalist_claudeopus420250514_1755353480,HAL Generalist,claude-opus-4-20250514,swebench_verified_mini,django__django-12774,1,swebench_verified_mini_hal_generalist_claudeopus420250514_1755353480,2025-08-17,382.39359,50,17,swebench_verified_mini_hal_generalist_claudeopus420250514_1755353480_UPLOAD.zip
HAL Generalist__claude-opus-4-20250514__swebench_verified_mini_hal_generalist_claudeopus420250514_1755353480,HAL Generalist,claude-opus-4-20250514,swebench_verified_mini,sphinx-doc__sphinx-9230,1,swebench_verified_mini_hal_generalist_claudeopus420250514_1755353480,2025-08-17,382.39359,50,17,swebench_verified_mini_hal_generalist_claudeopus420250514_1755353480_UPLOAD.zip
HAL Generalist__claude-opus-4-20250514__swebench_verified_mini_hal_generalist_claudeopus420250514_1755353480,HAL Generalist,claude-opus-4-20250514,swebench_verified_mini,sphinx-doc__sphinx-9281,1,swebench_verified_mini_hal_generalist_claudeopus420250514_1755353480,2025-08-17,382.39359,50,17,swebench_verified_mini_hal_generalist_claudeopus420250514_1755353480_UPLOAD.zip
