agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
My Agent__together_ai/deepseek-ai/DeepSeek-V3__swebench_verified_mini_my_agenttogether_aideepseekaideepseekv3_1744923150,My Agent,together_ai/deepseek-ai/DeepSeek-V3,swebench_verified_mini,django__django-11951,1,swebench_verified_mini_my_agenttogether_aideepseekaideepseekv3_1744923150,2025-11-10,11.773890000000002,31,13,swebench_verified_mini_my_agenttogether_aideepseekaideepseekv3_1744923150_UPLOAD.zip
My Agent__together_ai/deepseek-ai/DeepSeek-V3__swebench_verified_mini_my_agenttogether_aideepseekaideepseekv3_1744923150,My Agent,together_ai/deepseek-ai/DeepSeek-V3,swebench_verified_mini,django__django-12193,1,swebench_verified_mini_my_agenttogether_aideepseekaideepseekv3_1744923150,2025-11-10,11.773890000000002,31,13,swebench_verified_mini_my_agenttogether_aideepseekaideepseekv3_1744923150_UPLOAD.zip
My Agent__together_ai/deepseek-ai/DeepSeek-V3__swebench_verified_mini_my_agenttogether_aideepseekaideepseekv3_1744923150,My Agent,together_ai/deepseek-ai/DeepSeek-V3,swebench_verified_mini,django__django-12050,1,swebench_verified_mini_my_agenttogether_aideepseekaideepseekv3_1744923150,2025-11-10,11.773890000000002,31,13,swebench_verified_mini_my_agenttogether_aideepseekaideepseekv3_1744923150_UPLOAD.zip
My Agent__together_ai/deepseek-ai/DeepSeek-V3__swebench_verified_mini_my_agenttogether_aideepseekaideepseekv3_1744923150,My Agent,together_ai/deepseek-ai/DeepSeek-V3,swebench_verified_mini,sphinx-doc__sphinx-9367,1,swebench_verified_mini_my_agenttogether_aideepseekaideepseekv3_1744923150,2025-11-10,11.773890000000002,31,13,swebench_verified_mini_my_agenttogether_aideepseekaideepseekv3_1744923150_UPLOAD.zip
My Agent__together_ai/deepseek-ai/DeepSeek-V3__swebench_verified_mini_my_agenttogether_aideepseekaideepseekv3_1744923150,My Agent,together_ai/deepseek-ai/DeepSeek-V3,swebench_verified_mini,django__django-12209,1,swebench_verified_mini_my_agenttogether_aideepseekaideepseekv3_1744923150,2025-11-10,11.773890000000002,31,13,swebench_verified_mini_my_agenttogether_aideepseekaideepseekv3_1744923150_UPLOAD.zip
My Agent__together_ai/deepseek-ai/DeepSeek-V3__swebench_verified_mini_my_agenttogether_aideepseekaideepseekv3_1744923150,My Agent,together_ai/deepseek-ai/DeepSeek-V3,swebench_verified_mini,django__django-11880,1,swebench_verified_mini_my_agenttogether_aideepseekaideepseekv3_1744923150,2025-11-10,11.773890000000002,31,13,swebench_verified_mini_my_agenttogether_aideepseekaideepseekv3_1744923150_UPLOAD.zip
My Agent__together_ai/deepseek-ai/DeepSeek-V3__swebench_verified_mini_my_agenttogether_aideepseekaideepseekv3_1744923150,My Agent,together_ai/deepseek-ai/DeepSeek-V3,swebench_verified_mini,sphinx-doc__sphinx-10466,1,swebench_verified_mini_my_agenttogether_aideepseekaideepseekv3_1744923150,2025-11-10,11.773890000000002,31,13,swebench_verified_mini_my_agenttogether_aideepseekaideepseekv3_1744923150_UPLOAD.zip
My Agent__together_ai/deepseek-ai/DeepSeek-V3__swebench_verified_mini_my_agenttogether_aideepseekaideepseekv3_1744923150,My Agent,together_ai/deepseek-ai/DeepSeek-V3,swebench_verified_mini,django__django-9296,1,swebench_verified_mini_my_agenttogether_aideepseekaideepseekv3_1744923150,2025-11-10,11.773890000000002,31,13,swebench_verified_mini_my_agenttogether_aideepseekaideepseekv3_1744923150_UPLOAD.zip
My Agent__together_ai/deepseek-ai/DeepSeek-V3__swebench_verified_mini_my_agenttogether_aideepseekaideepseekv3_1744923150,My Agent,together_ai/deepseek-ai/DeepSeek-V3,swebench_verified_mini,django__django-11815,1,swebench_verified_mini_my_agenttogether_aideepseekaideepseekv3_1744923150,2025-11-10,11.773890000000002,31,13,swebench_verified_mini_my_agenttogether_aideepseekaideepseekv3_1744923150_UPLOAD.zip
My Agent__together_ai/deepseek-ai/DeepSeek-V3__swebench_verified_mini_my_agenttogether_aideepseekaideepseekv3_1744923150,My Agent,together_ai/deepseek-ai/DeepSeek-V3,swebench_verified_mini,sphinx-doc__sphinx-8721,1,swebench_verified_mini_my_agenttogether_aideepseekaideepseekv3_1744923150,2025-11-10,11.773890000000002,31,13,swebench_verified_mini_my_agenttogether_aideepseekaideepseekv3_1744923150_UPLOAD.zip
My Agent__together_ai/deepseek-ai/DeepSeek-V3__swebench_verified_mini_my_agenttogether_aideepseekaideepseekv3_1744923150,My Agent,together_ai/deepseek-ai/DeepSeek-V3,swebench_verified_mini,django__django-12262,1,swebench_verified_mini_my_agenttogether_aideepseekaideepseekv3_1744923150,2025-11-10,11.773890000000002,31,13,swebench_verified_mini_my_agenttogether_aideepseekaideepseekv3_1744923150_UPLOAD.zip
My Agent__together_ai/deepseek-ai/DeepSeek-V3__swebench_verified_mini_my_agenttogether_aideepseekaideepseekv3_1744923150,My Agent,together_ai/deepseek-ai/DeepSeek-V3,swebench_verified_mini,sphinx-doc__sphinx-9698,1,swebench_verified_mini_my_agenttogether_aideepseekaideepseekv3_1744923150,2025-11-10,11.773890000000002,31,13,swebench_verified_mini_my_agenttogether_aideepseekaideepseekv3_1744923150_UPLOAD.zip
My Agent__together_ai/deepseek-ai/DeepSeek-V3__swebench_verified_mini_my_agenttogether_aideepseekaideepseekv3_1744923150,My Agent,together_ai/deepseek-ai/DeepSeek-V3,swebench_verified_mini,django__django-12276,1,swebench_verified_mini_my_agenttogether_aideepseekaideepseekv3_1744923150,2025-11-10,11.773890000000002,31,13,swebench_verified_mini_my_agenttogether_aideepseekaideepseekv3_1744923150_UPLOAD.zip
