agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
SWE-Agent__claude-opus-4-1-20250805__swebench_verified_mini_sweagentclaudeopus4120250805_1759715672,SWE-Agent,claude-opus-4-1-20250805,swebench_verified_mini,sphinx-doc__sphinx-7757,1,swebench_verified_mini_sweagentclaudeopus4120250805_1759715672,2025-10-31,170.1288195,50,34,swebench_verified_mini_sweagentclaudeopus4120250805_1759715672_UPLOAD.zip
SWE-Agent__claude-opus-4-1-20250805__swebench_verified_mini_sweagentclaudeopus4120250805_1759715672,SWE-Agent,claude-opus-4-1-20250805,swebench_verified_mini,django__django-12050,1,swebench_verified_mini_sweagentclaudeopus4120250805_1759715672,2025-10-31,170.1288195,50,34,swebench_verified_mini_sweagentclaudeopus4120250805_1759715672_UPLOAD.zip
SWE-Agent__claude-opus-4-1-20250805__swebench_verified_mini_sweagentclaudeopus4120250805_1759715672,SWE-Agent,claude-opus-4-1-20250805,swebench_verified_mini,django__django-12155,1,swebench_verified_mini_sweagentclaudeopus4120250805_1759715672,2025-10-31,170.1288195,50,34,swebench_verified_mini_sweagentclaudeopus4120250805_1759715672_UPLOAD.zip
SWE-Agent__claude-opus-4-1-20250805__swebench_verified_mini_sweagentclaudeopus4120250805_1759715672,SWE-Agent,claude-opus-4-1-20250805,swebench_verified_mini,django__django-12325,1,swebench_verified_mini_sweagentclaudeopus4120250805_1759715672,2025-10-31,170.1288195,50,34,swebench_verified_mini_sweagentclaudeopus4120250805_1759715672_UPLOAD.zip
SWE-Agent__claude-opus-4-1-20250805__swebench_verified_mini_sweagentclaudeopus4120250805_1759715672,SWE-Agent,claude-opus-4-1-20250805,swebench_verified_mini,sphinx-doc__sphinx-8475,1,swebench_verified_mini_sweagentclaudeopus4120250805_1759715672,2025-10-31,170.1288195,50,34,swebench_verified_mini_sweagentclaudeopus4120250805_1759715672_UPLOAD.zip
SWE-Agent__claude-opus-4-1-20250805__swebench_verified_mini_sweagentclaudeopus4120250805_1759715672,SWE-Agent,claude-opus-4-1-20250805,swebench_verified_mini,sphinx-doc__sphinx-10466,1,swebench_verified_mini_sweagentclaudeopus4120250805_1759715672,2025-10-31,170.1288195,50,34,swebench_verified_mini_sweagentclaudeopus4120250805_1759715672_UPLOAD.zip
SWE-Agent__claude-opus-4-1-20250805__swebench_verified_mini_sweagentclaudeopus4120250805_1759715672,SWE-Agent,claude-opus-4-1-20250805,swebench_verified_mini,sphinx-doc__sphinx-9698,1,swebench_verified_mini_sweagentclaudeopus4120250805_1759715672,2025-10-31,170.1288195,50,34,swebench_verified_mini_sweagentclaudeopus4120250805_1759715672_UPLOAD.zip
SWE-Agent__claude-opus-4-1-20250805__swebench_verified_mini_sweagentclaudeopus4120250805_1759715672,SWE-Agent,claude-opus-4-1-20250805,swebench_verified_mini,sphinx-doc__sphinx-9367,1,swebench_verified_mini_sweagentclaudeopus4120250805_1759715672,2025-10-31,170.1288195,50,34,swebench_verified_mini_sweagentclaudeopus4120250805_1759715672_UPLOAD.zip
SWE-Agent__claude-opus-4-1-20250805__swebench_verified_mini_sweagentclaudeopus4120250805_1759715672,SWE-Agent,claude-opus-4-1-20250805,swebench_verified_mini,sphinx-doc__sphinx-8721,1,swebench_verified_mini_sweagentclaudeopus4120250805_1759715672,2025-10-31,170.1288195,50,34,swebench_verified_mini_sweagentclaudeopus4120250805_1759715672_UPLOAD.zip
SWE-Agent__claude-opus-4-1-20250805__swebench_verified_mini_sweagentclaudeopus4120250805_1759715672,SWE-Agent,claude-opus-4-1-20250805,swebench_verified_mini,django__django-12308,1,swebench_verified_mini_sweagentclaudeopus4120250805_1759715672,2025-10-31,170.1288195,50,34,swebench_verified_mini_sweagentclaudeopus4120250805_1759715672_UPLOAD.zip
SWE-Agent__claude-opus-4-1-20250805__swebench_verified_mini_sweagentclaudeopus4120250805_1759715672,SWE-Agent,claude-opus-4-1-20250805,swebench_verified_mini,django__django-11815,1,swebench_verified_mini_sweagentclaudeopus4120250805_1759715672,2025-10-31,170.1288195,50,34,swebench_verified_mini_sweagentclaudeopus4120250805_1759715672_UPLOAD.zip
SWE-Agent__claude-opus-4-1-20250805__swebench_verified_mini_sweagentclaudeopus4120250805_1759715672,SWE-Agent,claude-opus-4-1-20250805,swebench_verified_mini,sphinx-doc__sphinx-8548,1,swebench_verified_mini_sweagentclaudeopus4120250805_1759715672,2025-10-31,170.1288195,50,34,swebench_verified_mini_sweagentclaudeopus4120250805_1759715672_UPLOAD.zip
SWE-Agent__claude-opus-4-1-20250805__swebench_verified_mini_sweagentclaudeopus4120250805_1759715672,SWE-Agent,claude-opus-4-1-20250805,swebench_verified_mini,sphinx-doc__sphinx-8551,1,swebench_verified_mini_sweagentclaudeopus4120250805_1759715672,2025-10-31,170.1288195,50,34,swebench_verified_mini_sweagentclaudeopus4120250805_1759715672_UPLOAD.zip
SWE-Agent__claude-opus-4-1-20250805__swebench_verified_mini_sweagentclaudeopus4120250805_1759715672,SWE-Agent,claude-opus-4-1-20250805,swebench_verified_mini,django__django-12262,1,swebench_verified_mini_sweagentclaudeopus4120250805_1759715672,2025-10-31,170.1288195,50,34,swebench_verified_mini_sweagentclaudeopus4120250805_1759715672_UPLOAD.zip
SWE-Agent__claude-opus-4-1-20250805__swebench_verified_mini_sweagentclaudeopus4120250805_1759715672,SWE-Agent,claude-opus-4-1-20250805,swebench_verified_mini,django__django-12276,1,swebench_verified_mini_sweagentclaudeopus4120250805_1759715672,2025-10-31,170.1288195,50,34,swebench_verified_mini_sweagentclaudeopus4120250805_1759715672_UPLOAD.zip
SWE-Agent__claude-opus-4-1-20250805__swebench_verified_mini_sweagentclaudeopus4120250805_1759715672,SWE-Agent,claude-opus-4-1-20250805,swebench_verified_mini,sphinx-doc__sphinx-8638,1,swebench_verified_mini_sweagentclaudeopus4120250805_1759715672,2025-10-31,170.1288195,50,34,swebench_verified_mini_sweagentclaudeopus4120250805_1759715672_UPLOAD.zip
SWE-Agent__claude-opus-4-1-20250805__swebench_verified_mini_sweagentclaudeopus4120250805_1759715672,SWE-Agent,claude-opus-4-1-20250805,swebench_verified_mini,django__django-9296,1,swebench_verified_mini_sweagentclaudeopus4120250805_1759715672,2025-10-31,170.1288195,50,34,swebench_verified_mini_sweagentclaudeopus4120250805_1759715672_UPLOAD.zip
SWE-Agent__claude-opus-4-1-20250805__swebench_verified_mini_sweagentclaudeopus4120250805_1759715672,SWE-Agent,claude-opus-4-1-20250805,swebench_verified_mini,sphinx-doc__sphinx-9281,1,swebench_verified_mini_sweagentclaudeopus4120250805_1759715672,2025-10-31,170.1288195,50,34,swebench_verified_mini_sweagentclaudeopus4120250805_1759715672_UPLOAD.zip
SWE-Agent__claude-opus-4-1-20250805__swebench_verified_mini_sweagentclaudeopus4120250805_1759715672,SWE-Agent,claude-opus-4-1-20250805,swebench_verified_mini,django__django-12708,1,swebench_verified_mini_sweagentclaudeopus4120250805_1759715672,2025-10-31,170.1288195,50,34,swebench_verified_mini_sweagentclaudeopus4120250805_1759715672_UPLOAD.zip
