agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
TAU-bench FewShot__claude-3-7-sonnet-20250219__taubench_airline_1743994890,TAU-bench FewShot,claude-3-7-sonnet-20250219,taubench_airline,30,0,taubench_airline_1743994890,2025-04-07,36.453386,50,17,taubench_airline_1743994890_UPLOAD.zip
TAU-bench FewShot__claude-3-7-sonnet-20250219__taubench_airline_1743994890,TAU-bench FewShot,claude-3-7-sonnet-20250219,taubench_airline,33,0,taubench_airline_1743994890,2025-04-07,36.453386,50,17,taubench_airline_1743994890_UPLOAD.zip
TAU-bench FewShot__claude-3-7-sonnet-20250219__taubench_airline_1743994890,TAU-bench FewShot,claude-3-7-sonnet-20250219,taubench_airline,35,0,taubench_airline_1743994890,2025-04-07,36.453386,50,17,taubench_airline_1743994890_UPLOAD.zip
TAU-bench FewShot__claude-3-7-sonnet-20250219__taubench_airline_1743994890,TAU-bench FewShot,claude-3-7-sonnet-20250219,taubench_airline,49,0,taubench_airline_1743994890,2025-04-07,36.453386,50,17,taubench_airline_1743994890_UPLOAD.zip
TAU-bench FewShot__claude-3-7-sonnet-20250219__taubench_airline_1743994890,TAU-bench FewShot,claude-3-7-sonnet-20250219,taubench_airline,0,1,taubench_airline_1743994890,2025-04-07,36.453386,50,17,taubench_airline_1743994890_UPLOAD.zip
TAU-bench FewShot__claude-3-7-sonnet-20250219__taubench_airline_1743994890,TAU-bench FewShot,claude-3-7-sonnet-20250219,taubench_airline,1,1,taubench_airline_1743994890,2025-04-07,36.453386,50,17,taubench_airline_1743994890_UPLOAD.zip
TAU-bench FewShot__claude-3-7-sonnet-20250219__taubench_airline_1743994890,TAU-bench FewShot,claude-3-7-sonnet-20250219,taubench_airline,2,0,taubench_airline_1743994890,2025-04-07,36.453386,50,17,taubench_airline_1743994890_UPLOAD.zip
TAU-bench FewShot__claude-3-7-sonnet-20250219__taubench_airline_1743994890,TAU-bench FewShot,claude-3-7-sonnet-20250219,taubench_airline,3,0,taubench_airline_1743994890,2025-04-07,36.453386,50,17,taubench_airline_1743994890_UPLOAD.zip
TAU-bench FewShot__claude-3-7-sonnet-20250219__taubench_airline_1743994890,TAU-bench FewShot,claude-3-7-sonnet-20250219,taubench_airline,4,0,taubench_airline_1743994890,2025-04-07,36.453386,50,17,taubench_airline_1743994890_UPLOAD.zip
TAU-bench FewShot__claude-3-7-sonnet-20250219__taubench_airline_1743994890,TAU-bench FewShot,claude-3-7-sonnet-20250219,taubench_airline,5,0,taubench_airline_1743994890,2025-04-07,36.453386,50,17,taubench_airline_1743994890_UPLOAD.zip
TAU-bench FewShot__claude-3-7-sonnet-20250219__taubench_airline_1743994890,TAU-bench FewShot,claude-3-7-sonnet-20250219,taubench_airline,6,0,taubench_airline_1743994890,2025-04-07,36.453386,50,17,taubench_airline_1743994890_UPLOAD.zip
TAU-bench FewShot__claude-3-7-sonnet-20250219__taubench_airline_1743994890,TAU-bench FewShot,claude-3-7-sonnet-20250219,taubench_airline,7,0,taubench_airline_1743994890,2025-04-07,36.453386,50,17,taubench_airline_1743994890_UPLOAD.zip
TAU-bench FewShot__claude-3-7-sonnet-20250219__taubench_airline_1743994890,TAU-bench FewShot,claude-3-7-sonnet-20250219,taubench_airline,8,0,taubench_airline_1743994890,2025-04-07,36.453386,50,17,taubench_airline_1743994890_UPLOAD.zip
TAU-bench FewShot__claude-3-7-sonnet-20250219__taubench_airline_1743994890,TAU-bench FewShot,claude-3-7-sonnet-20250219,taubench_airline,9,1,taubench_airline_1743994890,2025-04-07,36.453386,50,17,taubench_airline_1743994890_UPLOAD.zip
TAU-bench FewShot__claude-3-7-sonnet-20250219__taubench_airline_1743994890,TAU-bench FewShot,claude-3-7-sonnet-20250219,taubench_airline,10,0,taubench_airline_1743994890,2025-04-07,36.453386,50,17,taubench_airline_1743994890_UPLOAD.zip
TAU-bench FewShot__claude-3-7-sonnet-20250219__taubench_airline_1743994890,TAU-bench FewShot,claude-3-7-sonnet-20250219,taubench_airline,11,0,taubench_airline_1743994890,2025-04-07,36.453386,50,17,taubench_airline_1743994890_UPLOAD.zip
TAU-bench FewShot__claude-3-7-sonnet-20250219__taubench_airline_1743994890,TAU-bench FewShot,claude-3-7-sonnet-20250219,taubench_airline,12,1,taubench_airline_1743994890,2025-04-07,36.453386,50,17,taubench_airline_1743994890_UPLOAD.zip
TAU-bench FewShot__claude-3-7-sonnet-20250219__taubench_airline_1743994890,TAU-bench FewShot,claude-3-7-sonnet-20250219,taubench_airline,13,0,taubench_airline_1743994890,2025-04-07,36.453386,50,17,taubench_airline_1743994890_UPLOAD.zip
TAU-bench FewShot__claude-3-7-sonnet-20250219__taubench_airline_1743994890,TAU-bench FewShot,claude-3-7-sonnet-20250219,taubench_airline,14,0,taubench_airline_1743994890,2025-04-07,36.453386,50,17,taubench_airline_1743994890_UPLOAD.zip
TAU-bench FewShot__claude-3-7-sonnet-20250219__taubench_airline_1743994890,TAU-bench FewShot,claude-3-7-sonnet-20250219,taubench_airline,15,1,taubench_airline_1743994890,2025-04-07,36.453386,50,17,taubench_airline_1743994890_UPLOAD.zip
TAU-bench FewShot__claude-3-7-sonnet-20250219__taubench_airline_1743994890,TAU-bench FewShot,claude-3-7-sonnet-20250219,taubench_airline,16,0,taubench_airline_1743994890,2025-04-07,36.453386,50,17,taubench_airline_1743994890_UPLOAD.zip
TAU-bench FewShot__claude-3-7-sonnet-20250219__taubench_airline_1743994890,TAU-bench FewShot,claude-3-7-sonnet-20250219,taubench_airline,17,0,taubench_airline_1743994890,2025-04-07,36.453386,50,17,taubench_airline_1743994890_UPLOAD.zip
TAU-bench FewShot__claude-3-7-sonnet-20250219__taubench_airline_1743994890,TAU-bench FewShot,claude-3-7-sonnet-20250219,taubench_airline,18,1,taubench_airline_1743994890,2025-04-07,36.453386,50,17,taubench_airline_1743994890_UPLOAD.zip
TAU-bench FewShot__claude-3-7-sonnet-20250219__taubench_airline_1743994890,TAU-bench FewShot,claude-3-7-sonnet-20250219,taubench_airline,19,0,taubench_airline_1743994890,2025-04-07,36.453386,50,17,taubench_airline_1743994890_UPLOAD.zip
TAU-bench FewShot__claude-3-7-sonnet-20250219__taubench_airline_1743994890,TAU-bench FewShot,claude-3-7-sonnet-20250219,taubench_airline,20,0,taubench_airline_1743994890,2025-04-07,36.453386,50,17,taubench_airline_1743994890_UPLOAD.zip
TAU-bench FewShot__claude-3-7-sonnet-20250219__taubench_airline_1743994890,TAU-bench FewShot,claude-3-7-sonnet-20250219,taubench_airline,21,0,taubench_airline_1743994890,2025-04-07,36.453386,50,17,taubench_airline_1743994890_UPLOAD.zip
TAU-bench FewShot__claude-3-7-sonnet-20250219__taubench_airline_1743994890,TAU-bench FewShot,claude-3-7-sonnet-20250219,taubench_airline,22,0,taubench_airline_1743994890,2025-04-07,36.453386,50,17,taubench_airline_1743994890_UPLOAD.zip
TAU-bench FewShot__claude-3-7-sonnet-20250219__taubench_airline_1743994890,TAU-bench FewShot,claude-3-7-sonnet-20250219,taubench_airline,23,0,taubench_airline_1743994890,2025-04-07,36.453386,50,17,taubench_airline_1743994890_UPLOAD.zip
TAU-bench FewShot__claude-3-7-sonnet-20250219__taubench_airline_1743994890,TAU-bench FewShot,claude-3-7-sonnet-20250219,taubench_airline,24,0,taubench_airline_1743994890,2025-04-07,36.453386,50,17,taubench_airline_1743994890_UPLOAD.zip
TAU-bench FewShot__claude-3-7-sonnet-20250219__taubench_airline_1743994890,TAU-bench FewShot,claude-3-7-sonnet-20250219,taubench_airline,25,0,taubench_airline_1743994890,2025-04-07,36.453386,50,17,taubench_airline_1743994890_UPLOAD.zip
