agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
HAL Generalist Agent__claude-3-7-sonnet-20250219__taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,HAL Generalist Agent,claude-3-7-sonnet-20250219,taubench_airline,0,1,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,2025-04-30,42.105320999999996,48,28,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671_UPLOAD.zip
HAL Generalist Agent__claude-3-7-sonnet-20250219__taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,HAL Generalist Agent,claude-3-7-sonnet-20250219,taubench_airline,1,1,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,2025-04-30,42.105320999999996,48,28,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671_UPLOAD.zip
HAL Generalist Agent__claude-3-7-sonnet-20250219__taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,HAL Generalist Agent,claude-3-7-sonnet-20250219,taubench_airline,2,0,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,2025-04-30,42.105320999999996,48,28,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671_UPLOAD.zip
HAL Generalist Agent__claude-3-7-sonnet-20250219__taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,HAL Generalist Agent,claude-3-7-sonnet-20250219,taubench_airline,3,1,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,2025-04-30,42.105320999999996,48,28,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671_UPLOAD.zip
HAL Generalist Agent__claude-3-7-sonnet-20250219__taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,HAL Generalist Agent,claude-3-7-sonnet-20250219,taubench_airline,4,1,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,2025-04-30,42.105320999999996,48,28,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671_UPLOAD.zip
HAL Generalist Agent__claude-3-7-sonnet-20250219__taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,HAL Generalist Agent,claude-3-7-sonnet-20250219,taubench_airline,5,1,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,2025-04-30,42.105320999999996,48,28,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671_UPLOAD.zip
HAL Generalist Agent__claude-3-7-sonnet-20250219__taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,HAL Generalist Agent,claude-3-7-sonnet-20250219,taubench_airline,6,1,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,2025-04-30,42.105320999999996,48,28,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671_UPLOAD.zip
HAL Generalist Agent__claude-3-7-sonnet-20250219__taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,HAL Generalist Agent,claude-3-7-sonnet-20250219,taubench_airline,7,1,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,2025-04-30,42.105320999999996,48,28,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671_UPLOAD.zip
HAL Generalist Agent__claude-3-7-sonnet-20250219__taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,HAL Generalist Agent,claude-3-7-sonnet-20250219,taubench_airline,8,0,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,2025-04-30,42.105320999999996,48,28,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671_UPLOAD.zip
HAL Generalist Agent__claude-3-7-sonnet-20250219__taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,HAL Generalist Agent,claude-3-7-sonnet-20250219,taubench_airline,9,0,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,2025-04-30,42.105320999999996,48,28,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671_UPLOAD.zip
HAL Generalist Agent__claude-3-7-sonnet-20250219__taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,HAL Generalist Agent,claude-3-7-sonnet-20250219,taubench_airline,10,1,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,2025-04-30,42.105320999999996,48,28,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671_UPLOAD.zip
HAL Generalist Agent__claude-3-7-sonnet-20250219__taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,HAL Generalist Agent,claude-3-7-sonnet-20250219,taubench_airline,11,0,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,2025-04-30,42.105320999999996,48,28,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671_UPLOAD.zip
HAL Generalist Agent__claude-3-7-sonnet-20250219__taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,HAL Generalist Agent,claude-3-7-sonnet-20250219,taubench_airline,12,0,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,2025-04-30,42.105320999999996,48,28,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671_UPLOAD.zip
HAL Generalist Agent__claude-3-7-sonnet-20250219__taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,HAL Generalist Agent,claude-3-7-sonnet-20250219,taubench_airline,14,1,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,2025-04-30,42.105320999999996,48,28,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671_UPLOAD.zip
HAL Generalist Agent__claude-3-7-sonnet-20250219__taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,HAL Generalist Agent,claude-3-7-sonnet-20250219,taubench_airline,15,0,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,2025-04-30,42.105320999999996,48,28,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671_UPLOAD.zip
HAL Generalist Agent__claude-3-7-sonnet-20250219__taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,HAL Generalist Agent,claude-3-7-sonnet-20250219,taubench_airline,16,0,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,2025-04-30,42.105320999999996,48,28,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671_UPLOAD.zip
HAL Generalist Agent__claude-3-7-sonnet-20250219__taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,HAL Generalist Agent,claude-3-7-sonnet-20250219,taubench_airline,17,1,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,2025-04-30,42.105320999999996,48,28,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671_UPLOAD.zip
HAL Generalist Agent__claude-3-7-sonnet-20250219__taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,HAL Generalist Agent,claude-3-7-sonnet-20250219,taubench_airline,18,1,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,2025-04-30,42.105320999999996,48,28,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671_UPLOAD.zip
HAL Generalist Agent__claude-3-7-sonnet-20250219__taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,HAL Generalist Agent,claude-3-7-sonnet-20250219,taubench_airline,19,0,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,2025-04-30,42.105320999999996,48,28,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671_UPLOAD.zip
HAL Generalist Agent__claude-3-7-sonnet-20250219__taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,HAL Generalist Agent,claude-3-7-sonnet-20250219,taubench_airline,20,0,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,2025-04-30,42.105320999999996,48,28,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671_UPLOAD.zip
HAL Generalist Agent__claude-3-7-sonnet-20250219__taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,HAL Generalist Agent,claude-3-7-sonnet-20250219,taubench_airline,21,0,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,2025-04-30,42.105320999999996,48,28,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671_UPLOAD.zip
HAL Generalist Agent__claude-3-7-sonnet-20250219__taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,HAL Generalist Agent,claude-3-7-sonnet-20250219,taubench_airline,22,1,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,2025-04-30,42.105320999999996,48,28,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671_UPLOAD.zip
HAL Generalist Agent__claude-3-7-sonnet-20250219__taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,HAL Generalist Agent,claude-3-7-sonnet-20250219,taubench_airline,23,1,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,2025-04-30,42.105320999999996,48,28,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671_UPLOAD.zip
HAL Generalist Agent__claude-3-7-sonnet-20250219__taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,HAL Generalist Agent,claude-3-7-sonnet-20250219,taubench_airline,24,1,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,2025-04-30,42.105320999999996,48,28,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671_UPLOAD.zip
HAL Generalist Agent__claude-3-7-sonnet-20250219__taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,HAL Generalist Agent,claude-3-7-sonnet-20250219,taubench_airline,25,0,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,2025-04-30,42.105320999999996,48,28,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671_UPLOAD.zip
HAL Generalist Agent__claude-3-7-sonnet-20250219__taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,HAL Generalist Agent,claude-3-7-sonnet-20250219,taubench_airline,26,1,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,2025-04-30,42.105320999999996,48,28,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671_UPLOAD.zip
HAL Generalist Agent__claude-3-7-sonnet-20250219__taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,HAL Generalist Agent,claude-3-7-sonnet-20250219,taubench_airline,27,1,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,2025-04-30,42.105320999999996,48,28,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671_UPLOAD.zip
HAL Generalist Agent__claude-3-7-sonnet-20250219__taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,HAL Generalist Agent,claude-3-7-sonnet-20250219,taubench_airline,28,0,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,2025-04-30,42.105320999999996,48,28,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671_UPLOAD.zip
HAL Generalist Agent__claude-3-7-sonnet-20250219__taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,HAL Generalist Agent,claude-3-7-sonnet-20250219,taubench_airline,29,1,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,2025-04-30,42.105320999999996,48,28,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671_UPLOAD.zip
HAL Generalist Agent__claude-3-7-sonnet-20250219__taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,HAL Generalist Agent,claude-3-7-sonnet-20250219,taubench_airline,30,0,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,2025-04-30,42.105320999999996,48,28,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671_UPLOAD.zip
HAL Generalist Agent__claude-3-7-sonnet-20250219__taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,HAL Generalist Agent,claude-3-7-sonnet-20250219,taubench_airline,31,1,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,2025-04-30,42.105320999999996,48,28,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671_UPLOAD.zip
HAL Generalist Agent__claude-3-7-sonnet-20250219__taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,HAL Generalist Agent,claude-3-7-sonnet-20250219,taubench_airline,33,1,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,2025-04-30,42.105320999999996,48,28,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671_UPLOAD.zip
HAL Generalist Agent__claude-3-7-sonnet-20250219__taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,HAL Generalist Agent,claude-3-7-sonnet-20250219,taubench_airline,34,1,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,2025-04-30,42.105320999999996,48,28,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671_UPLOAD.zip
