agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
HAL Generalist Agent__together_ai/deepseek-ai/DeepSeek-R1__taubench_airline_hal_generalist_agent_deepseekaideepseekr1_1744655092,HAL Generalist Agent,together_ai/deepseek-ai/DeepSeek-R1,taubench_airline,7,0,taubench_airline_hal_generalist_agent_deepseekaideepseekr1_1744655092,2025-04-14,30.18291,50,5,taubench_airline_hal_generalist_agent_deepseekaideepseekr1_1744655092_UPLOAD.zip
HAL Generalist Agent__together_ai/deepseek-ai/DeepSeek-R1__taubench_airline_hal_generalist_agent_deepseekaideepseekr1_1744655092,HAL Generalist Agent,together_ai/deepseek-ai/DeepSeek-R1,taubench_airline,8,0,taubench_airline_hal_generalist_agent_deepseekaideepseekr1_1744655092,2025-04-14,30.18291,50,5,taubench_airline_hal_generalist_agent_deepseekaideepseekr1_1744655092_UPLOAD.zip
HAL Generalist Agent__together_ai/deepseek-ai/DeepSeek-R1__taubench_airline_hal_generalist_agent_deepseekaideepseekr1_1744655092,HAL Generalist Agent,together_ai/deepseek-ai/DeepSeek-R1,taubench_airline,9,0,taubench_airline_hal_generalist_agent_deepseekaideepseekr1_1744655092,2025-04-14,30.18291,50,5,taubench_airline_hal_generalist_agent_deepseekaideepseekr1_1744655092_UPLOAD.zip
HAL Generalist Agent__together_ai/deepseek-ai/DeepSeek-R1__taubench_airline_hal_generalist_agent_deepseekaideepseekr1_1744655092,HAL Generalist Agent,together_ai/deepseek-ai/DeepSeek-R1,taubench_airline,10,0,taubench_airline_hal_generalist_agent_deepseekaideepseekr1_1744655092,2025-04-14,30.18291,50,5,taubench_airline_hal_generalist_agent_deepseekaideepseekr1_1744655092_UPLOAD.zip
HAL Generalist Agent__together_ai/deepseek-ai/DeepSeek-R1__taubench_airline_hal_generalist_agent_deepseekaideepseekr1_1744655092,HAL Generalist Agent,together_ai/deepseek-ai/DeepSeek-R1,taubench_airline,11,0,taubench_airline_hal_generalist_agent_deepseekaideepseekr1_1744655092,2025-04-14,30.18291,50,5,taubench_airline_hal_generalist_agent_deepseekaideepseekr1_1744655092_UPLOAD.zip
HAL Generalist Agent__together_ai/deepseek-ai/DeepSeek-R1__taubench_airline_hal_generalist_agent_deepseekaideepseekr1_1744655092,HAL Generalist Agent,together_ai/deepseek-ai/DeepSeek-R1,taubench_airline,23,0,taubench_airline_hal_generalist_agent_deepseekaideepseekr1_1744655092,2025-04-14,30.18291,50,5,taubench_airline_hal_generalist_agent_deepseekaideepseekr1_1744655092_UPLOAD.zip
HAL Generalist Agent__together_ai/deepseek-ai/DeepSeek-R1__taubench_airline_hal_generalist_agent_deepseekaideepseekr1_1744655092,HAL Generalist Agent,together_ai/deepseek-ai/DeepSeek-R1,taubench_airline,32,0,taubench_airline_hal_generalist_agent_deepseekaideepseekr1_1744655092,2025-04-14,30.18291,50,5,taubench_airline_hal_generalist_agent_deepseekaideepseekr1_1744655092_UPLOAD.zip
HAL Generalist Agent__together_ai/deepseek-ai/DeepSeek-R1__taubench_airline_hal_generalist_agent_deepseekaideepseekr1_1744655092,HAL Generalist Agent,together_ai/deepseek-ai/DeepSeek-R1,taubench_airline,33,0,taubench_airline_hal_generalist_agent_deepseekaideepseekr1_1744655092,2025-04-14,30.18291,50,5,taubench_airline_hal_generalist_agent_deepseekaideepseekr1_1744655092_UPLOAD.zip
HAL Generalist Agent__together_ai/deepseek-ai/DeepSeek-R1__taubench_airline_hal_generalist_agent_deepseekaideepseekr1_1744655092,HAL Generalist Agent,together_ai/deepseek-ai/DeepSeek-R1,taubench_airline,40,0,taubench_airline_hal_generalist_agent_deepseekaideepseekr1_1744655092,2025-04-14,30.18291,50,5,taubench_airline_hal_generalist_agent_deepseekaideepseekr1_1744655092_UPLOAD.zip
HAL Generalist Agent__together_ai/deepseek-ai/DeepSeek-R1__taubench_airline_hal_generalist_agent_deepseekaideepseekr1_1744655092,HAL Generalist Agent,together_ai/deepseek-ai/DeepSeek-R1,taubench_airline,44,0,taubench_airline_hal_generalist_agent_deepseekaideepseekr1_1744655092,2025-04-14,30.18291,50,5,taubench_airline_hal_generalist_agent_deepseekaideepseekr1_1744655092_UPLOAD.zip
HAL Generalist Agent__together_ai/deepseek-ai/DeepSeek-R1__taubench_airline_hal_generalist_agent_deepseekaideepseekr1_1744655092,HAL Generalist Agent,together_ai/deepseek-ai/DeepSeek-R1,taubench_airline,45,0,taubench_airline_hal_generalist_agent_deepseekaideepseekr1_1744655092,2025-04-14,30.18291,50,5,taubench_airline_hal_generalist_agent_deepseekaideepseekr1_1744655092_UPLOAD.zip
