agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
HAL Generalist Agent__gemini/gemini-2.0-flash__taubench_airline_hal_generalist_agent_gemini20flash_1746038655,HAL Generalist Agent,gemini/gemini-2.0-flash,taubench_airline,0,0,taubench_airline_hal_generalist_agent_gemini20flash_1746038655,2025-04-30,2.003067,50,11,taubench_airline_hal_generalist_agent_gemini20flash_1746038655_UPLOAD.zip
HAL Generalist Agent__gemini/gemini-2.0-flash__taubench_airline_hal_generalist_agent_gemini20flash_1746038655,HAL Generalist Agent,gemini/gemini-2.0-flash,taubench_airline,1,0,taubench_airline_hal_generalist_agent_gemini20flash_1746038655,2025-04-30,2.003067,50,11,taubench_airline_hal_generalist_agent_gemini20flash_1746038655_UPLOAD.zip
HAL Generalist Agent__gemini/gemini-2.0-flash__taubench_airline_hal_generalist_agent_gemini20flash_1746038655,HAL Generalist Agent,gemini/gemini-2.0-flash,taubench_airline,2,0,taubench_airline_hal_generalist_agent_gemini20flash_1746038655,2025-04-30,2.003067,50,11,taubench_airline_hal_generalist_agent_gemini20flash_1746038655_UPLOAD.zip
HAL Generalist Agent__gemini/gemini-2.0-flash__taubench_airline_hal_generalist_agent_gemini20flash_1746038655,HAL Generalist Agent,gemini/gemini-2.0-flash,taubench_airline,3,0,taubench_airline_hal_generalist_agent_gemini20flash_1746038655,2025-04-30,2.003067,50,11,taubench_airline_hal_generalist_agent_gemini20flash_1746038655_UPLOAD.zip
HAL Generalist Agent__gemini/gemini-2.0-flash__taubench_airline_hal_generalist_agent_gemini20flash_1746038655,HAL Generalist Agent,gemini/gemini-2.0-flash,taubench_airline,4,0,taubench_airline_hal_generalist_agent_gemini20flash_1746038655,2025-04-30,2.003067,50,11,taubench_airline_hal_generalist_agent_gemini20flash_1746038655_UPLOAD.zip
HAL Generalist Agent__gemini/gemini-2.0-flash__taubench_airline_hal_generalist_agent_gemini20flash_1746038655,HAL Generalist Agent,gemini/gemini-2.0-flash,taubench_airline,5,1,taubench_airline_hal_generalist_agent_gemini20flash_1746038655,2025-04-30,2.003067,50,11,taubench_airline_hal_generalist_agent_gemini20flash_1746038655_UPLOAD.zip
HAL Generalist Agent__gemini/gemini-2.0-flash__taubench_airline_hal_generalist_agent_gemini20flash_1746038655,HAL Generalist Agent,gemini/gemini-2.0-flash,taubench_airline,6,0,taubench_airline_hal_generalist_agent_gemini20flash_1746038655,2025-04-30,2.003067,50,11,taubench_airline_hal_generalist_agent_gemini20flash_1746038655_UPLOAD.zip
HAL Generalist Agent__gemini/gemini-2.0-flash__taubench_airline_hal_generalist_agent_gemini20flash_1746038655,HAL Generalist Agent,gemini/gemini-2.0-flash,taubench_airline,7,1,taubench_airline_hal_generalist_agent_gemini20flash_1746038655,2025-04-30,2.003067,50,11,taubench_airline_hal_generalist_agent_gemini20flash_1746038655_UPLOAD.zip
HAL Generalist Agent__gemini/gemini-2.0-flash__taubench_airline_hal_generalist_agent_gemini20flash_1746038655,HAL Generalist Agent,gemini/gemini-2.0-flash,taubench_airline,8,0,taubench_airline_hal_generalist_agent_gemini20flash_1746038655,2025-04-30,2.003067,50,11,taubench_airline_hal_generalist_agent_gemini20flash_1746038655_UPLOAD.zip
HAL Generalist Agent__gemini/gemini-2.0-flash__taubench_airline_hal_generalist_agent_gemini20flash_1746038655,HAL Generalist Agent,gemini/gemini-2.0-flash,taubench_airline,9,0,taubench_airline_hal_generalist_agent_gemini20flash_1746038655,2025-04-30,2.003067,50,11,taubench_airline_hal_generalist_agent_gemini20flash_1746038655_UPLOAD.zip
HAL Generalist Agent__gemini/gemini-2.0-flash__taubench_airline_hal_generalist_agent_gemini20flash_1746038655,HAL Generalist Agent,gemini/gemini-2.0-flash,taubench_airline,10,0,taubench_airline_hal_generalist_agent_gemini20flash_1746038655,2025-04-30,2.003067,50,11,taubench_airline_hal_generalist_agent_gemini20flash_1746038655_UPLOAD.zip
HAL Generalist Agent__gemini/gemini-2.0-flash__taubench_airline_hal_generalist_agent_gemini20flash_1746038655,HAL Generalist Agent,gemini/gemini-2.0-flash,taubench_airline,11,0,taubench_airline_hal_generalist_agent_gemini20flash_1746038655,2025-04-30,2.003067,50,11,taubench_airline_hal_generalist_agent_gemini20flash_1746038655_UPLOAD.zip
HAL Generalist Agent__gemini/gemini-2.0-flash__taubench_airline_hal_generalist_agent_gemini20flash_1746038655,HAL Generalist Agent,gemini/gemini-2.0-flash,taubench_airline,12,0,taubench_airline_hal_generalist_agent_gemini20flash_1746038655,2025-04-30,2.003067,50,11,taubench_airline_hal_generalist_agent_gemini20flash_1746038655_UPLOAD.zip
HAL Generalist Agent__gemini/gemini-2.0-flash__taubench_airline_hal_generalist_agent_gemini20flash_1746038655,HAL Generalist Agent,gemini/gemini-2.0-flash,taubench_airline,13,1,taubench_airline_hal_generalist_agent_gemini20flash_1746038655,2025-04-30,2.003067,50,11,taubench_airline_hal_generalist_agent_gemini20flash_1746038655_UPLOAD.zip
