agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,0,1,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,1,0,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,2,0,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,3,0,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,4,1,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,5,0,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,6,1,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,7,0,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,8,0,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,9,0,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,10,0,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,11,0,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,12,0,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,13,1,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,14,0,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,15,0,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,16,0,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,17,1,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,19,0,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,20,1,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,21,0,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,22,0,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,23,0,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,24,0,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,25,0,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,26,0,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,28,0,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,29,0,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,30,0,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,31,0,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,32,0,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,33,0,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,34,0,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,35,0,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,36,0,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,37,1,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,38,0,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,39,1,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,40,0,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,41,0,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,42,0,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,43,1,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,44,0,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,45,0,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,46,1,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,47,0,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,48,0,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
HAL Generalist Agent__o3-2025-04-16__taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,HAL Generalist Agent,o3-2025-04-16,taubench_airline,49,0,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187,2025-07-29,221.59176000000002,48,10,taubench_airline_hal_generalist_agent_o320250416_medium_1753774187_UPLOAD.zip
