agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
HAL Generalist__claude-opus-4-20250514__taubench_airline_hal_generalist_claudeopus420250514_1754320139,HAL Generalist,claude-opus-4-20250514,taubench_airline,32,1,taubench_airline_hal_generalist_claudeopus420250514_1754320139,2025-08-04,150.15452000000002,50,22,taubench_airline_hal_generalist_claudeopus420250514_1754320139_UPLOAD.zip
HAL Generalist__claude-opus-4-20250514__taubench_airline_hal_generalist_claudeopus420250514_1754320139,HAL Generalist,claude-opus-4-20250514,taubench_airline,0,0,taubench_airline_hal_generalist_claudeopus420250514_1754320139,2025-08-04,150.15452000000002,50,22,taubench_airline_hal_generalist_claudeopus420250514_1754320139_UPLOAD.zip
HAL Generalist__claude-opus-4-20250514__taubench_airline_hal_generalist_claudeopus420250514_1754320139,HAL Generalist,claude-opus-4-20250514,taubench_airline,1,1,taubench_airline_hal_generalist_claudeopus420250514_1754320139,2025-08-04,150.15452000000002,50,22,taubench_airline_hal_generalist_claudeopus420250514_1754320139_UPLOAD.zip
HAL Generalist__claude-opus-4-20250514__taubench_airline_hal_generalist_claudeopus420250514_1754320139,HAL Generalist,claude-opus-4-20250514,taubench_airline,2,0,taubench_airline_hal_generalist_claudeopus420250514_1754320139,2025-08-04,150.15452000000002,50,22,taubench_airline_hal_generalist_claudeopus420250514_1754320139_UPLOAD.zip
HAL Generalist__claude-opus-4-20250514__taubench_airline_hal_generalist_claudeopus420250514_1754320139,HAL Generalist,claude-opus-4-20250514,taubench_airline,3,0,taubench_airline_hal_generalist_claudeopus420250514_1754320139,2025-08-04,150.15452000000002,50,22,taubench_airline_hal_generalist_claudeopus420250514_1754320139_UPLOAD.zip
HAL Generalist__claude-opus-4-20250514__taubench_airline_hal_generalist_claudeopus420250514_1754320139,HAL Generalist,claude-opus-4-20250514,taubench_airline,4,1,taubench_airline_hal_generalist_claudeopus420250514_1754320139,2025-08-04,150.15452000000002,50,22,taubench_airline_hal_generalist_claudeopus420250514_1754320139_UPLOAD.zip
HAL Generalist__claude-opus-4-20250514__taubench_airline_hal_generalist_claudeopus420250514_1754320139,HAL Generalist,claude-opus-4-20250514,taubench_airline,5,1,taubench_airline_hal_generalist_claudeopus420250514_1754320139,2025-08-04,150.15452000000002,50,22,taubench_airline_hal_generalist_claudeopus420250514_1754320139_UPLOAD.zip
HAL Generalist__claude-opus-4-20250514__taubench_airline_hal_generalist_claudeopus420250514_1754320139,HAL Generalist,claude-opus-4-20250514,taubench_airline,6,0,taubench_airline_hal_generalist_claudeopus420250514_1754320139,2025-08-04,150.15452000000002,50,22,taubench_airline_hal_generalist_claudeopus420250514_1754320139_UPLOAD.zip
HAL Generalist__claude-opus-4-20250514__taubench_airline_hal_generalist_claudeopus420250514_1754320139,HAL Generalist,claude-opus-4-20250514,taubench_airline,7,1,taubench_airline_hal_generalist_claudeopus420250514_1754320139,2025-08-04,150.15452000000002,50,22,taubench_airline_hal_generalist_claudeopus420250514_1754320139_UPLOAD.zip
HAL Generalist__claude-opus-4-20250514__taubench_airline_hal_generalist_claudeopus420250514_1754320139,HAL Generalist,claude-opus-4-20250514,taubench_airline,8,0,taubench_airline_hal_generalist_claudeopus420250514_1754320139,2025-08-04,150.15452000000002,50,22,taubench_airline_hal_generalist_claudeopus420250514_1754320139_UPLOAD.zip
HAL Generalist__claude-opus-4-20250514__taubench_airline_hal_generalist_claudeopus420250514_1754320139,HAL Generalist,claude-opus-4-20250514,taubench_airline,9,0,taubench_airline_hal_generalist_claudeopus420250514_1754320139,2025-08-04,150.15452000000002,50,22,taubench_airline_hal_generalist_claudeopus420250514_1754320139_UPLOAD.zip
HAL Generalist__claude-opus-4-20250514__taubench_airline_hal_generalist_claudeopus420250514_1754320139,HAL Generalist,claude-opus-4-20250514,taubench_airline,10,0,taubench_airline_hal_generalist_claudeopus420250514_1754320139,2025-08-04,150.15452000000002,50,22,taubench_airline_hal_generalist_claudeopus420250514_1754320139_UPLOAD.zip
HAL Generalist__claude-opus-4-20250514__taubench_airline_hal_generalist_claudeopus420250514_1754320139,HAL Generalist,claude-opus-4-20250514,taubench_airline,11,0,taubench_airline_hal_generalist_claudeopus420250514_1754320139,2025-08-04,150.15452000000002,50,22,taubench_airline_hal_generalist_claudeopus420250514_1754320139_UPLOAD.zip
