agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
TauBench Few Shot__claude-opus-4-20250514__taubench_airline_taubench_few_shot_claudeopus420250514_1754083314,TauBench Few Shot,claude-opus-4-20250514,taubench_airline,0,1,taubench_airline_taubench_few_shot_claudeopus420250514_1754083314,2025-08-01,363.302375,50,28,taubench_airline_taubench_few_shot_claudeopus420250514_1754083314_UPLOAD.zip
TauBench Few Shot__claude-opus-4-20250514__taubench_airline_taubench_few_shot_claudeopus420250514_1754083314,TauBench Few Shot,claude-opus-4-20250514,taubench_airline,1,1,taubench_airline_taubench_few_shot_claudeopus420250514_1754083314,2025-08-01,363.302375,50,28,taubench_airline_taubench_few_shot_claudeopus420250514_1754083314_UPLOAD.zip
TauBench Few Shot__claude-opus-4-20250514__taubench_airline_taubench_few_shot_claudeopus420250514_1754083314,TauBench Few Shot,claude-opus-4-20250514,taubench_airline,2,0,taubench_airline_taubench_few_shot_claudeopus420250514_1754083314,2025-08-01,363.302375,50,28,taubench_airline_taubench_few_shot_claudeopus420250514_1754083314_UPLOAD.zip
TauBench Few Shot__claude-opus-4-20250514__taubench_airline_taubench_few_shot_claudeopus420250514_1754083314,TauBench Few Shot,claude-opus-4-20250514,taubench_airline,3,0,taubench_airline_taubench_few_shot_claudeopus420250514_1754083314,2025-08-01,363.302375,50,28,taubench_airline_taubench_few_shot_claudeopus420250514_1754083314_UPLOAD.zip
TauBench Few Shot__claude-opus-4-20250514__taubench_airline_taubench_few_shot_claudeopus420250514_1754083314,TauBench Few Shot,claude-opus-4-20250514,taubench_airline,4,1,taubench_airline_taubench_few_shot_claudeopus420250514_1754083314,2025-08-01,363.302375,50,28,taubench_airline_taubench_few_shot_claudeopus420250514_1754083314_UPLOAD.zip
TauBench Few Shot__claude-opus-4-20250514__taubench_airline_taubench_few_shot_claudeopus420250514_1754083314,TauBench Few Shot,claude-opus-4-20250514,taubench_airline,5,1,taubench_airline_taubench_few_shot_claudeopus420250514_1754083314,2025-08-01,363.302375,50,28,taubench_airline_taubench_few_shot_claudeopus420250514_1754083314_UPLOAD.zip
TauBench Few Shot__claude-opus-4-20250514__taubench_airline_taubench_few_shot_claudeopus420250514_1754083314,TauBench Few Shot,claude-opus-4-20250514,taubench_airline,6,0,taubench_airline_taubench_few_shot_claudeopus420250514_1754083314,2025-08-01,363.302375,50,28,taubench_airline_taubench_few_shot_claudeopus420250514_1754083314_UPLOAD.zip
TauBench Few Shot__claude-opus-4-20250514__taubench_airline_taubench_few_shot_claudeopus420250514_1754083314,TauBench Few Shot,claude-opus-4-20250514,taubench_airline,7,1,taubench_airline_taubench_few_shot_claudeopus420250514_1754083314,2025-08-01,363.302375,50,28,taubench_airline_taubench_few_shot_claudeopus420250514_1754083314_UPLOAD.zip
TauBench Few Shot__claude-opus-4-20250514__taubench_airline_taubench_few_shot_claudeopus420250514_1754083314,TauBench Few Shot,claude-opus-4-20250514,taubench_airline,8,0,taubench_airline_taubench_few_shot_claudeopus420250514_1754083314,2025-08-01,363.302375,50,28,taubench_airline_taubench_few_shot_claudeopus420250514_1754083314_UPLOAD.zip
TauBench Few Shot__claude-opus-4-20250514__taubench_airline_taubench_few_shot_claudeopus420250514_1754083314,TauBench Few Shot,claude-opus-4-20250514,taubench_airline,9,0,taubench_airline_taubench_few_shot_claudeopus420250514_1754083314,2025-08-01,363.302375,50,28,taubench_airline_taubench_few_shot_claudeopus420250514_1754083314_UPLOAD.zip
