agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
TAU-bench FewShot__gemini-2.0-flash__taubench_airline_taubench_fewshot_gemini20flash_1750877603,TAU-bench FewShot,gemini-2.0-flash,taubench_airline,0,0,taubench_airline_taubench_fewshot_gemini20flash_1750877603,2025-06-25,4.4434902,50,22,taubench_airline_taubench_fewshot_gemini20flash_1750877603_UPLOAD.zip
TAU-bench FewShot__gemini-2.0-flash__taubench_airline_taubench_fewshot_gemini20flash_1750877603,TAU-bench FewShot,gemini-2.0-flash,taubench_airline,1,0,taubench_airline_taubench_fewshot_gemini20flash_1750877603,2025-06-25,4.4434902,50,22,taubench_airline_taubench_fewshot_gemini20flash_1750877603_UPLOAD.zip
TAU-bench FewShot__gemini-2.0-flash__taubench_airline_taubench_fewshot_gemini20flash_1750877603,TAU-bench FewShot,gemini-2.0-flash,taubench_airline,2,0,taubench_airline_taubench_fewshot_gemini20flash_1750877603,2025-06-25,4.4434902,50,22,taubench_airline_taubench_fewshot_gemini20flash_1750877603_UPLOAD.zip
TAU-bench FewShot__gemini-2.0-flash__taubench_airline_taubench_fewshot_gemini20flash_1750877603,TAU-bench FewShot,gemini-2.0-flash,taubench_airline,3,1,taubench_airline_taubench_fewshot_gemini20flash_1750877603,2025-06-25,4.4434902,50,22,taubench_airline_taubench_fewshot_gemini20flash_1750877603_UPLOAD.zip
TAU-bench FewShot__gemini-2.0-flash__taubench_airline_taubench_fewshot_gemini20flash_1750877603,TAU-bench FewShot,gemini-2.0-flash,taubench_airline,4,1,taubench_airline_taubench_fewshot_gemini20flash_1750877603,2025-06-25,4.4434902,50,22,taubench_airline_taubench_fewshot_gemini20flash_1750877603_UPLOAD.zip
TAU-bench FewShot__gemini-2.0-flash__taubench_airline_taubench_fewshot_gemini20flash_1750877603,TAU-bench FewShot,gemini-2.0-flash,taubench_airline,5,0,taubench_airline_taubench_fewshot_gemini20flash_1750877603,2025-06-25,4.4434902,50,22,taubench_airline_taubench_fewshot_gemini20flash_1750877603_UPLOAD.zip
TAU-bench FewShot__gemini-2.0-flash__taubench_airline_taubench_fewshot_gemini20flash_1750877603,TAU-bench FewShot,gemini-2.0-flash,taubench_airline,6,0,taubench_airline_taubench_fewshot_gemini20flash_1750877603,2025-06-25,4.4434902,50,22,taubench_airline_taubench_fewshot_gemini20flash_1750877603_UPLOAD.zip
TAU-bench FewShot__gemini-2.0-flash__taubench_airline_taubench_fewshot_gemini20flash_1750877603,TAU-bench FewShot,gemini-2.0-flash,taubench_airline,7,0,taubench_airline_taubench_fewshot_gemini20flash_1750877603,2025-06-25,4.4434902,50,22,taubench_airline_taubench_fewshot_gemini20flash_1750877603_UPLOAD.zip
TAU-bench FewShot__gemini-2.0-flash__taubench_airline_taubench_fewshot_gemini20flash_1750877603,TAU-bench FewShot,gemini-2.0-flash,taubench_airline,8,0,taubench_airline_taubench_fewshot_gemini20flash_1750877603,2025-06-25,4.4434902,50,22,taubench_airline_taubench_fewshot_gemini20flash_1750877603_UPLOAD.zip
TAU-bench FewShot__gemini-2.0-flash__taubench_airline_taubench_fewshot_gemini20flash_1750877603,TAU-bench FewShot,gemini-2.0-flash,taubench_airline,9,0,taubench_airline_taubench_fewshot_gemini20flash_1750877603,2025-06-25,4.4434902,50,22,taubench_airline_taubench_fewshot_gemini20flash_1750877603_UPLOAD.zip
