agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
TauBench FewShot High Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_high_reasoning_claudeopus41_1754432663,TauBench FewShot High Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,25,0,taubench_airline_taubench_fewshot_high_reasoning_claudeopus41_1754432663,2025-08-05,298.57644000000005,50,31,taubench_airline_taubench_fewshot_high_reasoning_claudeopus41_1754432663_UPLOAD.zip
TauBench FewShot High Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_high_reasoning_claudeopus41_1754432663,TauBench FewShot High Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,30,1,taubench_airline_taubench_fewshot_high_reasoning_claudeopus41_1754432663,2025-08-05,298.57644000000005,50,31,taubench_airline_taubench_fewshot_high_reasoning_claudeopus41_1754432663_UPLOAD.zip
TauBench FewShot High Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_high_reasoning_claudeopus41_1754432663,TauBench FewShot High Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,31,0,taubench_airline_taubench_fewshot_high_reasoning_claudeopus41_1754432663,2025-08-05,298.57644000000005,50,31,taubench_airline_taubench_fewshot_high_reasoning_claudeopus41_1754432663_UPLOAD.zip
TauBench FewShot High Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_high_reasoning_claudeopus41_1754432663,TauBench FewShot High Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,32,0,taubench_airline_taubench_fewshot_high_reasoning_claudeopus41_1754432663,2025-08-05,298.57644000000005,50,31,taubench_airline_taubench_fewshot_high_reasoning_claudeopus41_1754432663_UPLOAD.zip
TauBench FewShot High Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_high_reasoning_claudeopus41_1754432663,TauBench FewShot High Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,33,0,taubench_airline_taubench_fewshot_high_reasoning_claudeopus41_1754432663,2025-08-05,298.57644000000005,50,31,taubench_airline_taubench_fewshot_high_reasoning_claudeopus41_1754432663_UPLOAD.zip
TauBench FewShot High Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_high_reasoning_claudeopus41_1754432663,TauBench FewShot High Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,34,1,taubench_airline_taubench_fewshot_high_reasoning_claudeopus41_1754432663,2025-08-05,298.57644000000005,50,31,taubench_airline_taubench_fewshot_high_reasoning_claudeopus41_1754432663_UPLOAD.zip
TauBench FewShot High Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_high_reasoning_claudeopus41_1754432663,TauBench FewShot High Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,47,1,taubench_airline_taubench_fewshot_high_reasoning_claudeopus41_1754432663,2025-08-05,298.57644000000005,50,31,taubench_airline_taubench_fewshot_high_reasoning_claudeopus41_1754432663_UPLOAD.zip
TauBench FewShot High Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_high_reasoning_claudeopus41_1754432663,TauBench FewShot High Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,0,1,taubench_airline_taubench_fewshot_high_reasoning_claudeopus41_1754432663,2025-08-05,298.57644000000005,50,31,taubench_airline_taubench_fewshot_high_reasoning_claudeopus41_1754432663_UPLOAD.zip
TauBench FewShot High Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_high_reasoning_claudeopus41_1754432663,TauBench FewShot High Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,1,1,taubench_airline_taubench_fewshot_high_reasoning_claudeopus41_1754432663,2025-08-05,298.57644000000005,50,31,taubench_airline_taubench_fewshot_high_reasoning_claudeopus41_1754432663_UPLOAD.zip
TauBench FewShot High Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_high_reasoning_claudeopus41_1754432663,TauBench FewShot High Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,2,0,taubench_airline_taubench_fewshot_high_reasoning_claudeopus41_1754432663,2025-08-05,298.57644000000005,50,31,taubench_airline_taubench_fewshot_high_reasoning_claudeopus41_1754432663_UPLOAD.zip
