agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
TauBench FewShot No Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,TauBench FewShot No Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,17,0,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,2025-08-05,294.16981,50,27,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664_UPLOAD.zip
TauBench FewShot No Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,TauBench FewShot No Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,23,0,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,2025-08-05,294.16981,50,27,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664_UPLOAD.zip
TauBench FewShot No Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,TauBench FewShot No Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,26,0,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,2025-08-05,294.16981,50,27,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664_UPLOAD.zip
TauBench FewShot No Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,TauBench FewShot No Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,28,0,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,2025-08-05,294.16981,50,27,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664_UPLOAD.zip
TauBench FewShot No Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,TauBench FewShot No Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,29,1,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,2025-08-05,294.16981,50,27,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664_UPLOAD.zip
TauBench FewShot No Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,TauBench FewShot No Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,30,1,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,2025-08-05,294.16981,50,27,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664_UPLOAD.zip
TauBench FewShot No Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,TauBench FewShot No Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,31,1,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,2025-08-05,294.16981,50,27,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664_UPLOAD.zip
TauBench FewShot No Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,TauBench FewShot No Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,33,0,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,2025-08-05,294.16981,50,27,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664_UPLOAD.zip
TauBench FewShot No Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,TauBench FewShot No Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,41,1,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,2025-08-05,294.16981,50,27,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664_UPLOAD.zip
TauBench FewShot No Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,TauBench FewShot No Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,45,0,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,2025-08-05,294.16981,50,27,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664_UPLOAD.zip
TauBench FewShot No Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,TauBench FewShot No Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,0,0,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,2025-08-05,294.16981,50,27,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664_UPLOAD.zip
TauBench FewShot No Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,TauBench FewShot No Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,1,1,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,2025-08-05,294.16981,50,27,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664_UPLOAD.zip
TauBench FewShot No Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,TauBench FewShot No Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,2,0,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,2025-08-05,294.16981,50,27,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664_UPLOAD.zip
TauBench FewShot No Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,TauBench FewShot No Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,3,0,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,2025-08-05,294.16981,50,27,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664_UPLOAD.zip
TauBench FewShot No Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,TauBench FewShot No Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,4,1,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,2025-08-05,294.16981,50,27,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664_UPLOAD.zip
TauBench FewShot No Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,TauBench FewShot No Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,12,1,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,2025-08-05,294.16981,50,27,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664_UPLOAD.zip
TauBench FewShot No Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,TauBench FewShot No Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,7,1,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,2025-08-05,294.16981,50,27,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664_UPLOAD.zip
TauBench FewShot No Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,TauBench FewShot No Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,13,1,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,2025-08-05,294.16981,50,27,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664_UPLOAD.zip
TauBench FewShot No Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,TauBench FewShot No Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,5,1,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,2025-08-05,294.16981,50,27,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664_UPLOAD.zip
TauBench FewShot No Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,TauBench FewShot No Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,11,1,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,2025-08-05,294.16981,50,27,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664_UPLOAD.zip
TauBench FewShot No Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,TauBench FewShot No Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,6,0,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,2025-08-05,294.16981,50,27,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664_UPLOAD.zip
TauBench FewShot No Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,TauBench FewShot No Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,14,0,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,2025-08-05,294.16981,50,27,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664_UPLOAD.zip
TauBench FewShot No Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,TauBench FewShot No Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,8,0,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,2025-08-05,294.16981,50,27,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664_UPLOAD.zip
TauBench FewShot No Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,TauBench FewShot No Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,16,1,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,2025-08-05,294.16981,50,27,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664_UPLOAD.zip
TauBench FewShot No Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,TauBench FewShot No Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,9,0,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,2025-08-05,294.16981,50,27,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664_UPLOAD.zip
TauBench FewShot No Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,TauBench FewShot No Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,18,1,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,2025-08-05,294.16981,50,27,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664_UPLOAD.zip
TauBench FewShot No Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,TauBench FewShot No Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,15,0,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,2025-08-05,294.16981,50,27,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664_UPLOAD.zip
TauBench FewShot No Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,TauBench FewShot No Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,10,1,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,2025-08-05,294.16981,50,27,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664_UPLOAD.zip
TauBench FewShot No Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,TauBench FewShot No Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,19,0,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,2025-08-05,294.16981,50,27,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664_UPLOAD.zip
TauBench FewShot No Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,TauBench FewShot No Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,20,1,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,2025-08-05,294.16981,50,27,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664_UPLOAD.zip
TauBench FewShot No Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,TauBench FewShot No Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,22,0,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,2025-08-05,294.16981,50,27,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664_UPLOAD.zip
TauBench FewShot No Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,TauBench FewShot No Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,21,0,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,2025-08-05,294.16981,50,27,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664_UPLOAD.zip
TauBench FewShot No Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,TauBench FewShot No Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,25,0,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,2025-08-05,294.16981,50,27,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664_UPLOAD.zip
TauBench FewShot No Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,TauBench FewShot No Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,24,1,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,2025-08-05,294.16981,50,27,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664_UPLOAD.zip
TauBench FewShot No Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,TauBench FewShot No Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,27,1,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,2025-08-05,294.16981,50,27,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664_UPLOAD.zip
TauBench FewShot No Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,TauBench FewShot No Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,38,1,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,2025-08-05,294.16981,50,27,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664_UPLOAD.zip
TauBench FewShot No Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,TauBench FewShot No Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,35,1,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,2025-08-05,294.16981,50,27,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664_UPLOAD.zip
TauBench FewShot No Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,TauBench FewShot No Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,39,0,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,2025-08-05,294.16981,50,27,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664_UPLOAD.zip
TauBench FewShot No Reasoning__openrouter/anthropic/claude-opus-4.1__taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,TauBench FewShot No Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline,32,0,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,2025-08-05,294.16981,50,27,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664_UPLOAD.zip
