agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
TAU-bench FewShot__o3-2025-04-03__taubench_airline_taubench_fewshot_o320250403_1744728447,TAU-bench FewShot,o3-2025-04-03,taubench_airline,0,0,taubench_airline_taubench_fewshot_o320250403_1744728447,2025-04-15,237.93406500000003,47,22,taubench_airline_taubench_fewshot_o320250403_1744728447_UPLOAD.zip
TAU-bench FewShot__o3-2025-04-03__taubench_airline_taubench_fewshot_o320250403_1744728447,TAU-bench FewShot,o3-2025-04-03,taubench_airline,1,1,taubench_airline_taubench_fewshot_o320250403_1744728447,2025-04-15,237.93406500000003,47,22,taubench_airline_taubench_fewshot_o320250403_1744728447_UPLOAD.zip
TAU-bench FewShot__o3-2025-04-03__taubench_airline_taubench_fewshot_o320250403_1744728447,TAU-bench FewShot,o3-2025-04-03,taubench_airline,3,0,taubench_airline_taubench_fewshot_o320250403_1744728447,2025-04-15,237.93406500000003,47,22,taubench_airline_taubench_fewshot_o320250403_1744728447_UPLOAD.zip
TAU-bench FewShot__o3-2025-04-03__taubench_airline_taubench_fewshot_o320250403_1744728447,TAU-bench FewShot,o3-2025-04-03,taubench_airline,4,0,taubench_airline_taubench_fewshot_o320250403_1744728447,2025-04-15,237.93406500000003,47,22,taubench_airline_taubench_fewshot_o320250403_1744728447_UPLOAD.zip
TAU-bench FewShot__o3-2025-04-03__taubench_airline_taubench_fewshot_o320250403_1744728447,TAU-bench FewShot,o3-2025-04-03,taubench_airline,5,1,taubench_airline_taubench_fewshot_o320250403_1744728447,2025-04-15,237.93406500000003,47,22,taubench_airline_taubench_fewshot_o320250403_1744728447_UPLOAD.zip
TAU-bench FewShot__o3-2025-04-03__taubench_airline_taubench_fewshot_o320250403_1744728447,TAU-bench FewShot,o3-2025-04-03,taubench_airline,6,1,taubench_airline_taubench_fewshot_o320250403_1744728447,2025-04-15,237.93406500000003,47,22,taubench_airline_taubench_fewshot_o320250403_1744728447_UPLOAD.zip
TAU-bench FewShot__o3-2025-04-03__taubench_airline_taubench_fewshot_o320250403_1744728447,TAU-bench FewShot,o3-2025-04-03,taubench_airline,7,1,taubench_airline_taubench_fewshot_o320250403_1744728447,2025-04-15,237.93406500000003,47,22,taubench_airline_taubench_fewshot_o320250403_1744728447_UPLOAD.zip
TAU-bench FewShot__o3-2025-04-03__taubench_airline_taubench_fewshot_o320250403_1744728447,TAU-bench FewShot,o3-2025-04-03,taubench_airline,8,1,taubench_airline_taubench_fewshot_o320250403_1744728447,2025-04-15,237.93406500000003,47,22,taubench_airline_taubench_fewshot_o320250403_1744728447_UPLOAD.zip
TAU-bench FewShot__o3-2025-04-03__taubench_airline_taubench_fewshot_o320250403_1744728447,TAU-bench FewShot,o3-2025-04-03,taubench_airline,9,0,taubench_airline_taubench_fewshot_o320250403_1744728447,2025-04-15,237.93406500000003,47,22,taubench_airline_taubench_fewshot_o320250403_1744728447_UPLOAD.zip
TAU-bench FewShot__o3-2025-04-03__taubench_airline_taubench_fewshot_o320250403_1744728447,TAU-bench FewShot,o3-2025-04-03,taubench_airline,10,1,taubench_airline_taubench_fewshot_o320250403_1744728447,2025-04-15,237.93406500000003,47,22,taubench_airline_taubench_fewshot_o320250403_1744728447_UPLOAD.zip
TAU-bench FewShot__o3-2025-04-03__taubench_airline_taubench_fewshot_o320250403_1744728447,TAU-bench FewShot,o3-2025-04-03,taubench_airline,11,0,taubench_airline_taubench_fewshot_o320250403_1744728447,2025-04-15,237.93406500000003,47,22,taubench_airline_taubench_fewshot_o320250403_1744728447_UPLOAD.zip
TAU-bench FewShot__o3-2025-04-03__taubench_airline_taubench_fewshot_o320250403_1744728447,TAU-bench FewShot,o3-2025-04-03,taubench_airline,12,1,taubench_airline_taubench_fewshot_o320250403_1744728447,2025-04-15,237.93406500000003,47,22,taubench_airline_taubench_fewshot_o320250403_1744728447_UPLOAD.zip
TAU-bench FewShot__o3-2025-04-03__taubench_airline_taubench_fewshot_o320250403_1744728447,TAU-bench FewShot,o3-2025-04-03,taubench_airline,13,1,taubench_airline_taubench_fewshot_o320250403_1744728447,2025-04-15,237.93406500000003,47,22,taubench_airline_taubench_fewshot_o320250403_1744728447_UPLOAD.zip
TAU-bench FewShot__o3-2025-04-03__taubench_airline_taubench_fewshot_o320250403_1744728447,TAU-bench FewShot,o3-2025-04-03,taubench_airline,14,1,taubench_airline_taubench_fewshot_o320250403_1744728447,2025-04-15,237.93406500000003,47,22,taubench_airline_taubench_fewshot_o320250403_1744728447_UPLOAD.zip
TAU-bench FewShot__o3-2025-04-03__taubench_airline_taubench_fewshot_o320250403_1744728447,TAU-bench FewShot,o3-2025-04-03,taubench_airline,15,1,taubench_airline_taubench_fewshot_o320250403_1744728447,2025-04-15,237.93406500000003,47,22,taubench_airline_taubench_fewshot_o320250403_1744728447_UPLOAD.zip
