agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
TAU-bench FewShot__o4-mini-2025-04-16__taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803,TAU-bench FewShot,o4-mini-2025-04-16,taubench_airline,0,1,taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803,2025-04-19,18.8144266,49,24,taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803_UPLOAD.zip
TAU-bench FewShot__o4-mini-2025-04-16__taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803,TAU-bench FewShot,o4-mini-2025-04-16,taubench_airline,1,1,taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803,2025-04-19,18.8144266,49,24,taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803_UPLOAD.zip
TAU-bench FewShot__o4-mini-2025-04-16__taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803,TAU-bench FewShot,o4-mini-2025-04-16,taubench_airline,2,0,taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803,2025-04-19,18.8144266,49,24,taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803_UPLOAD.zip
TAU-bench FewShot__o4-mini-2025-04-16__taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803,TAU-bench FewShot,o4-mini-2025-04-16,taubench_airline,3,0,taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803,2025-04-19,18.8144266,49,24,taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803_UPLOAD.zip
TAU-bench FewShot__o4-mini-2025-04-16__taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803,TAU-bench FewShot,o4-mini-2025-04-16,taubench_airline,4,1,taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803,2025-04-19,18.8144266,49,24,taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803_UPLOAD.zip
TAU-bench FewShot__o4-mini-2025-04-16__taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803,TAU-bench FewShot,o4-mini-2025-04-16,taubench_airline,5,1,taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803,2025-04-19,18.8144266,49,24,taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803_UPLOAD.zip
TAU-bench FewShot__o4-mini-2025-04-16__taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803,TAU-bench FewShot,o4-mini-2025-04-16,taubench_airline,6,0,taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803,2025-04-19,18.8144266,49,24,taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803_UPLOAD.zip
TAU-bench FewShot__o4-mini-2025-04-16__taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803,TAU-bench FewShot,o4-mini-2025-04-16,taubench_airline,7,1,taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803,2025-04-19,18.8144266,49,24,taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803_UPLOAD.zip
TAU-bench FewShot__o4-mini-2025-04-16__taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803,TAU-bench FewShot,o4-mini-2025-04-16,taubench_airline,8,0,taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803,2025-04-19,18.8144266,49,24,taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803_UPLOAD.zip
TAU-bench FewShot__o4-mini-2025-04-16__taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803,TAU-bench FewShot,o4-mini-2025-04-16,taubench_airline,9,0,taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803,2025-04-19,18.8144266,49,24,taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803_UPLOAD.zip
TAU-bench FewShot__o4-mini-2025-04-16__taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803,TAU-bench FewShot,o4-mini-2025-04-16,taubench_airline,10,0,taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803,2025-04-19,18.8144266,49,24,taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803_UPLOAD.zip
TAU-bench FewShot__o4-mini-2025-04-16__taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803,TAU-bench FewShot,o4-mini-2025-04-16,taubench_airline,11,0,taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803,2025-04-19,18.8144266,49,24,taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803_UPLOAD.zip
TAU-bench FewShot__o4-mini-2025-04-16__taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803,TAU-bench FewShot,o4-mini-2025-04-16,taubench_airline,12,1,taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803,2025-04-19,18.8144266,49,24,taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803_UPLOAD.zip
TAU-bench FewShot__o4-mini-2025-04-16__taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803,TAU-bench FewShot,o4-mini-2025-04-16,taubench_airline,13,0,taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803,2025-04-19,18.8144266,49,24,taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803_UPLOAD.zip
TAU-bench FewShot__o4-mini-2025-04-16__taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803,TAU-bench FewShot,o4-mini-2025-04-16,taubench_airline,14,1,taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803,2025-04-19,18.8144266,49,24,taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803_UPLOAD.zip
TAU-bench FewShot__o4-mini-2025-04-16__taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803,TAU-bench FewShot,o4-mini-2025-04-16,taubench_airline,15,1,taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803,2025-04-19,18.8144266,49,24,taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803_UPLOAD.zip
TAU-bench FewShot__o4-mini-2025-04-16__taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803,TAU-bench FewShot,o4-mini-2025-04-16,taubench_airline,16,1,taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803,2025-04-19,18.8144266,49,24,taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803_UPLOAD.zip
TAU-bench FewShot__o4-mini-2025-04-16__taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803,TAU-bench FewShot,o4-mini-2025-04-16,taubench_airline,17,0,taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803,2025-04-19,18.8144266,49,24,taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803_UPLOAD.zip
TAU-bench FewShot__o4-mini-2025-04-16__taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803,TAU-bench FewShot,o4-mini-2025-04-16,taubench_airline,18,1,taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803,2025-04-19,18.8144266,49,24,taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803_UPLOAD.zip
TAU-bench FewShot__o4-mini-2025-04-16__taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803,TAU-bench FewShot,o4-mini-2025-04-16,taubench_airline,19,0,taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803,2025-04-19,18.8144266,49,24,taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803_UPLOAD.zip
