agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
Taubench ToolCalling__deepseek/deepseek-r1__taubench_airline_taubench_toolcalling_deepseekr1_1760382872,Taubench ToolCalling,deepseek/deepseek-r1,taubench_airline,0,1,taubench_airline_taubench_toolcalling_deepseekr1_1760382872,2025-10-13,0.8956998,48,18,taubench_airline_taubench_toolcalling_deepseekr1_1760382872_UPLOAD.zip
Taubench ToolCalling__deepseek/deepseek-r1__taubench_airline_taubench_toolcalling_deepseekr1_1760382872,Taubench ToolCalling,deepseek/deepseek-r1,taubench_airline,1,0,taubench_airline_taubench_toolcalling_deepseekr1_1760382872,2025-10-13,0.8956998,48,18,taubench_airline_taubench_toolcalling_deepseekr1_1760382872_UPLOAD.zip
Taubench ToolCalling__deepseek/deepseek-r1__taubench_airline_taubench_toolcalling_deepseekr1_1760382872,Taubench ToolCalling,deepseek/deepseek-r1,taubench_airline,2,0,taubench_airline_taubench_toolcalling_deepseekr1_1760382872,2025-10-13,0.8956998,48,18,taubench_airline_taubench_toolcalling_deepseekr1_1760382872_UPLOAD.zip
Taubench ToolCalling__deepseek/deepseek-r1__taubench_airline_taubench_toolcalling_deepseekr1_1760382872,Taubench ToolCalling,deepseek/deepseek-r1,taubench_airline,3,0,taubench_airline_taubench_toolcalling_deepseekr1_1760382872,2025-10-13,0.8956998,48,18,taubench_airline_taubench_toolcalling_deepseekr1_1760382872_UPLOAD.zip
Taubench ToolCalling__deepseek/deepseek-r1__taubench_airline_taubench_toolcalling_deepseekr1_1760382872,Taubench ToolCalling,deepseek/deepseek-r1,taubench_airline,4,0,taubench_airline_taubench_toolcalling_deepseekr1_1760382872,2025-10-13,0.8956998,48,18,taubench_airline_taubench_toolcalling_deepseekr1_1760382872_UPLOAD.zip
Taubench ToolCalling__deepseek/deepseek-r1__taubench_airline_taubench_toolcalling_deepseekr1_1760382872,Taubench ToolCalling,deepseek/deepseek-r1,taubench_airline,5,0,taubench_airline_taubench_toolcalling_deepseekr1_1760382872,2025-10-13,0.8956998,48,18,taubench_airline_taubench_toolcalling_deepseekr1_1760382872_UPLOAD.zip
Taubench ToolCalling__deepseek/deepseek-r1__taubench_airline_taubench_toolcalling_deepseekr1_1760382872,Taubench ToolCalling,deepseek/deepseek-r1,taubench_airline,6,0,taubench_airline_taubench_toolcalling_deepseekr1_1760382872,2025-10-13,0.8956998,48,18,taubench_airline_taubench_toolcalling_deepseekr1_1760382872_UPLOAD.zip
Taubench ToolCalling__deepseek/deepseek-r1__taubench_airline_taubench_toolcalling_deepseekr1_1760382872,Taubench ToolCalling,deepseek/deepseek-r1,taubench_airline,7,0,taubench_airline_taubench_toolcalling_deepseekr1_1760382872,2025-10-13,0.8956998,48,18,taubench_airline_taubench_toolcalling_deepseekr1_1760382872_UPLOAD.zip
Taubench ToolCalling__deepseek/deepseek-r1__taubench_airline_taubench_toolcalling_deepseekr1_1760382872,Taubench ToolCalling,deepseek/deepseek-r1,taubench_airline,8,0,taubench_airline_taubench_toolcalling_deepseekr1_1760382872,2025-10-13,0.8956998,48,18,taubench_airline_taubench_toolcalling_deepseekr1_1760382872_UPLOAD.zip
Taubench ToolCalling__deepseek/deepseek-r1__taubench_airline_taubench_toolcalling_deepseekr1_1760382872,Taubench ToolCalling,deepseek/deepseek-r1,taubench_airline,9,0,taubench_airline_taubench_toolcalling_deepseekr1_1760382872,2025-10-13,0.8956998,48,18,taubench_airline_taubench_toolcalling_deepseekr1_1760382872_UPLOAD.zip
Taubench ToolCalling__deepseek/deepseek-r1__taubench_airline_taubench_toolcalling_deepseekr1_1760382872,Taubench ToolCalling,deepseek/deepseek-r1,taubench_airline,11,0,taubench_airline_taubench_toolcalling_deepseekr1_1760382872,2025-10-13,0.8956998,48,18,taubench_airline_taubench_toolcalling_deepseekr1_1760382872_UPLOAD.zip
Taubench ToolCalling__deepseek/deepseek-r1__taubench_airline_taubench_toolcalling_deepseekr1_1760382872,Taubench ToolCalling,deepseek/deepseek-r1,taubench_airline,12,1,taubench_airline_taubench_toolcalling_deepseekr1_1760382872,2025-10-13,0.8956998,48,18,taubench_airline_taubench_toolcalling_deepseekr1_1760382872_UPLOAD.zip
Taubench ToolCalling__deepseek/deepseek-r1__taubench_airline_taubench_toolcalling_deepseekr1_1760382872,Taubench ToolCalling,deepseek/deepseek-r1,taubench_airline,13,0,taubench_airline_taubench_toolcalling_deepseekr1_1760382872,2025-10-13,0.8956998,48,18,taubench_airline_taubench_toolcalling_deepseekr1_1760382872_UPLOAD.zip
Taubench ToolCalling__deepseek/deepseek-r1__taubench_airline_taubench_toolcalling_deepseekr1_1760382872,Taubench ToolCalling,deepseek/deepseek-r1,taubench_airline,14,1,taubench_airline_taubench_toolcalling_deepseekr1_1760382872,2025-10-13,0.8956998,48,18,taubench_airline_taubench_toolcalling_deepseekr1_1760382872_UPLOAD.zip
Taubench ToolCalling__deepseek/deepseek-r1__taubench_airline_taubench_toolcalling_deepseekr1_1760382872,Taubench ToolCalling,deepseek/deepseek-r1,taubench_airline,15,0,taubench_airline_taubench_toolcalling_deepseekr1_1760382872,2025-10-13,0.8956998,48,18,taubench_airline_taubench_toolcalling_deepseekr1_1760382872_UPLOAD.zip
Taubench ToolCalling__deepseek/deepseek-r1__taubench_airline_taubench_toolcalling_deepseekr1_1760382872,Taubench ToolCalling,deepseek/deepseek-r1,taubench_airline,16,0,taubench_airline_taubench_toolcalling_deepseekr1_1760382872,2025-10-13,0.8956998,48,18,taubench_airline_taubench_toolcalling_deepseekr1_1760382872_UPLOAD.zip
Taubench ToolCalling__deepseek/deepseek-r1__taubench_airline_taubench_toolcalling_deepseekr1_1760382872,Taubench ToolCalling,deepseek/deepseek-r1,taubench_airline,17,0,taubench_airline_taubench_toolcalling_deepseekr1_1760382872,2025-10-13,0.8956998,48,18,taubench_airline_taubench_toolcalling_deepseekr1_1760382872_UPLOAD.zip
Taubench ToolCalling__deepseek/deepseek-r1__taubench_airline_taubench_toolcalling_deepseekr1_1760382872,Taubench ToolCalling,deepseek/deepseek-r1,taubench_airline,18,1,taubench_airline_taubench_toolcalling_deepseekr1_1760382872,2025-10-13,0.8956998,48,18,taubench_airline_taubench_toolcalling_deepseekr1_1760382872_UPLOAD.zip
Taubench ToolCalling__deepseek/deepseek-r1__taubench_airline_taubench_toolcalling_deepseekr1_1760382872,Taubench ToolCalling,deepseek/deepseek-r1,taubench_airline,19,0,taubench_airline_taubench_toolcalling_deepseekr1_1760382872,2025-10-13,0.8956998,48,18,taubench_airline_taubench_toolcalling_deepseekr1_1760382872_UPLOAD.zip
