agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
Taubench ToolCalling__openai/o4-mini-2025-04-16__taubench_airline_taubench_toolcalling_o4mini20250416_low_1760991692,Taubench ToolCalling,openai/o4-mini-2025-04-16,taubench_airline,0,0,taubench_airline_taubench_toolcalling_o4mini20250416_low_1760991692,2025-10-20,4.5136834,50,18,taubench_airline_taubench_toolcalling_o4mini20250416_low_1760991692_UPLOAD.zip
Taubench ToolCalling__openai/o4-mini-2025-04-16__taubench_airline_taubench_toolcalling_o4mini20250416_low_1760991692,Taubench ToolCalling,openai/o4-mini-2025-04-16,taubench_airline,1,1,taubench_airline_taubench_toolcalling_o4mini20250416_low_1760991692,2025-10-20,4.5136834,50,18,taubench_airline_taubench_toolcalling_o4mini20250416_low_1760991692_UPLOAD.zip
Taubench ToolCalling__openai/o4-mini-2025-04-16__taubench_airline_taubench_toolcalling_o4mini20250416_low_1760991692,Taubench ToolCalling,openai/o4-mini-2025-04-16,taubench_airline,2,0,taubench_airline_taubench_toolcalling_o4mini20250416_low_1760991692,2025-10-20,4.5136834,50,18,taubench_airline_taubench_toolcalling_o4mini20250416_low_1760991692_UPLOAD.zip
Taubench ToolCalling__openai/o4-mini-2025-04-16__taubench_airline_taubench_toolcalling_o4mini20250416_low_1760991692,Taubench ToolCalling,openai/o4-mini-2025-04-16,taubench_airline,3,0,taubench_airline_taubench_toolcalling_o4mini20250416_low_1760991692,2025-10-20,4.5136834,50,18,taubench_airline_taubench_toolcalling_o4mini20250416_low_1760991692_UPLOAD.zip
Taubench ToolCalling__openai/o4-mini-2025-04-16__taubench_airline_taubench_toolcalling_o4mini20250416_low_1760991692,Taubench ToolCalling,openai/o4-mini-2025-04-16,taubench_airline,4,0,taubench_airline_taubench_toolcalling_o4mini20250416_low_1760991692,2025-10-20,4.5136834,50,18,taubench_airline_taubench_toolcalling_o4mini20250416_low_1760991692_UPLOAD.zip
Taubench ToolCalling__openai/o4-mini-2025-04-16__taubench_airline_taubench_toolcalling_o4mini20250416_low_1760991692,Taubench ToolCalling,openai/o4-mini-2025-04-16,taubench_airline,5,0,taubench_airline_taubench_toolcalling_o4mini20250416_low_1760991692,2025-10-20,4.5136834,50,18,taubench_airline_taubench_toolcalling_o4mini20250416_low_1760991692_UPLOAD.zip
Taubench ToolCalling__openai/o4-mini-2025-04-16__taubench_airline_taubench_toolcalling_o4mini20250416_low_1760991692,Taubench ToolCalling,openai/o4-mini-2025-04-16,taubench_airline,6,1,taubench_airline_taubench_toolcalling_o4mini20250416_low_1760991692,2025-10-20,4.5136834,50,18,taubench_airline_taubench_toolcalling_o4mini20250416_low_1760991692_UPLOAD.zip
Taubench ToolCalling__openai/o4-mini-2025-04-16__taubench_airline_taubench_toolcalling_o4mini20250416_low_1760991692,Taubench ToolCalling,openai/o4-mini-2025-04-16,taubench_airline,7,1,taubench_airline_taubench_toolcalling_o4mini20250416_low_1760991692,2025-10-20,4.5136834,50,18,taubench_airline_taubench_toolcalling_o4mini20250416_low_1760991692_UPLOAD.zip
Taubench ToolCalling__openai/o4-mini-2025-04-16__taubench_airline_taubench_toolcalling_o4mini20250416_low_1760991692,Taubench ToolCalling,openai/o4-mini-2025-04-16,taubench_airline,8,0,taubench_airline_taubench_toolcalling_o4mini20250416_low_1760991692,2025-10-20,4.5136834,50,18,taubench_airline_taubench_toolcalling_o4mini20250416_low_1760991692_UPLOAD.zip
Taubench ToolCalling__openai/o4-mini-2025-04-16__taubench_airline_taubench_toolcalling_o4mini20250416_low_1760991692,Taubench ToolCalling,openai/o4-mini-2025-04-16,taubench_airline,9,0,taubench_airline_taubench_toolcalling_o4mini20250416_low_1760991692,2025-10-20,4.5136834,50,18,taubench_airline_taubench_toolcalling_o4mini20250416_low_1760991692_UPLOAD.zip
