agent_id,scaffold,model,benchmark,task_id,correct,run_id,date,total_cost,n_tasks,n_correct,source_file
USACO Episodic + Semantic__o4-mini-2025-04-16__usaco_usaco_episodic__semantic_o4mini20250416_low_1746039070,USACO Episodic + Semantic,o4-mini-2025-04-16,usaco,991_silver_loan_repayment,0,usaco_usaco_episodic__semantic_o4mini20250416_low_1746039070,2025-05-04,21.1420308,307,0,usaco_usaco_episodic__semantic_o4mini20250416_low_1746039070_UPLOAD.zip
USACO Episodic + Semantic__o4-mini-2025-04-16__usaco_usaco_episodic__semantic_o4mini20250416_low_1746039070,USACO Episodic + Semantic,o4-mini-2025-04-16,usaco,987_bronze_word_processor,0,usaco_usaco_episodic__semantic_o4mini20250416_low_1746039070,2025-05-04,21.1420308,307,0,usaco_usaco_episodic__semantic_o4mini20250416_low_1746039070_UPLOAD.zip
USACO Episodic + Semantic__o4-mini-2025-04-16__usaco_usaco_episodic__semantic_o4mini20250416_low_1746039070,USACO Episodic + Semantic,o4-mini-2025-04-16,usaco,988_bronze_photoshoot,0,usaco_usaco_episodic__semantic_o4mini20250416_low_1746039070,2025-05-04,21.1420308,307,0,usaco_usaco_episodic__semantic_o4mini20250416_low_1746039070_UPLOAD.zip
USACO Episodic + Semantic__o4-mini-2025-04-16__usaco_usaco_episodic__semantic_o4mini20250416_low_1746039070,USACO Episodic + Semantic,o4-mini-2025-04-16,usaco,989_bronze_race,0,usaco_usaco_episodic__semantic_o4mini20250416_low_1746039070,2025-05-04,21.1420308,307,0,usaco_usaco_episodic__semantic_o4mini20250416_low_1746039070_UPLOAD.zip
USACO Episodic + Semantic__o4-mini-2025-04-16__usaco_usaco_episodic__semantic_o4mini20250416_low_1746039070,USACO Episodic + Semantic,o4-mini-2025-04-16,usaco,969_gold_milk_pumping,0,usaco_usaco_episodic__semantic_o4mini20250416_low_1746039070,2025-05-04,21.1420308,307,0,usaco_usaco_episodic__semantic_o4mini20250416_low_1746039070_UPLOAD.zip
USACO Episodic + Semantic__o4-mini-2025-04-16__usaco_usaco_episodic__semantic_o4mini20250416_low_1746039070,USACO Episodic + Semantic,o4-mini-2025-04-16,usaco,966_silver_moobuzz,0,usaco_usaco_episodic__semantic_o4mini20250416_low_1746039070,2025-05-04,21.1420308,307,0,usaco_usaco_episodic__semantic_o4mini20250416_low_1746039070_UPLOAD.zip
USACO Episodic + Semantic__o4-mini-2025-04-16__usaco_usaco_episodic__semantic_o4mini20250416_low_1746039070,USACO Episodic + Semantic,o4-mini-2025-04-16,usaco,967_silver_meetings,0,usaco_usaco_episodic__semantic_o4mini20250416_low_1746039070,2025-05-04,21.1420308,307,0,usaco_usaco_episodic__semantic_o4mini20250416_low_1746039070_UPLOAD.zip
USACO Episodic + Semantic__o4-mini-2025-04-16__usaco_usaco_episodic__semantic_o4mini20250416_low_1746039070,USACO Episodic + Semantic,o4-mini-2025-04-16,usaco,963_bronze_cow_gymnastics,0,usaco_usaco_episodic__semantic_o4mini20250416_low_1746039070,2025-05-04,21.1420308,307,0,usaco_usaco_episodic__semantic_o4mini20250416_low_1746039070_UPLOAD.zip
USACO Episodic + Semantic__o4-mini-2025-04-16__usaco_usaco_episodic__semantic_o4mini20250416_low_1746039070,USACO Episodic + Semantic,o4-mini-2025-04-16,usaco,964_bronze_where_am_i?,0,usaco_usaco_episodic__semantic_o4mini20250416_low_1746039070,2025-05-04,21.1420308,307,0,usaco_usaco_episodic__semantic_o4mini20250416_low_1746039070_UPLOAD.zip
USACO Episodic + Semantic__o4-mini-2025-04-16__usaco_usaco_episodic__semantic_o4mini20250416_low_1746039070,USACO Episodic + Semantic,o4-mini-2025-04-16,usaco,965_bronze_livestock_lineup,0,usaco_usaco_episodic__semantic_o4mini20250416_low_1746039070,2025-05-04,21.1420308,307,0,usaco_usaco_episodic__semantic_o4mini20250416_low_1746039070_UPLOAD.zip
