model,terms,n_features,log_loss,deviance,pseudo_r2_vs_null,deviance_drop_vs_benchmark_main_effects,deviance_drop_vs_task_nested_main_effects,incremental_deviance_drop,auc,accuracy
null,(intercept),1,0.6035560196234127,54403.33249681517,0.0,,,,0.5,0.708424859659633
benchmark,benchmark,10,0.5363387973671704,48344.506517082,0.11136865522140327,,,6058.82597973317,0.6741435828208783,0.708424859659633
benchmark + model,benchmark + model_name,30,0.5277808001374835,47573.10576279249,0.12554794753469434,,,771.4007542895124,0.7063696328305539,0.7102886684860991
benchmark + harness,benchmark + scaffold_name,25,0.5295921312331288,47736.37552509176,0.12254684898418133,,,-163.26976229927095,0.6925118354723666,0.7119527835097296
benchmark + model + harness,benchmark + model_name + scaffold_name,45,0.5213827510138737,46996.39841088854,0.1361485362382946,0.0,,739.9771142032187,0.7152163037826662,0.7216934034480463
benchmark + model + harness + model:harness,benchmark + model_name + scaffold_name + model_harness,210,0.5129539153340827,46236.64002038355,0.1501138276209405,759.7583905049905,,759.7583905049905,0.7332434288121563,0.7259757261088553
benchmark + model + harness + benchmark:harness,benchmark + model_name + scaffold_name + harness_benchmark,67,0.5213624966852768,46994.57272621748,0.13618209456252361,1.8256846710646641,,-757.9327058339259,0.7151963188386105,0.7216934034480463
benchmark + model + harness + model:harness + benchmark:harness,benchmark + model_name + scaffold_name + model_harness + harness_benchmark,232,0.5129356362917308,46234.992384064026,0.15014411319801646,761.4060268245157,,759.580342153451,0.7332452402083975,0.7259757261088553
task_nested + model + harness,task_nested + model_name + scaffold_name,2188,0.36145379127712846,32580.721838137804,0.4011263585728849,14415.676572750737,,13654.270545926222,0.9050953439375267,0.8379595730990259
task_nested + model + harness + model:harness,task_nested + model_name + scaffold_name + model_harness,2353,0.3494542506954146,31499.10724918328,0.42100776177585686,15497.291161705263,,1081.614588954526,0.9122177992428021,0.8447047859948079
task_nested + model + harness + benchmark:harness,task_nested + model_name + scaffold_name + harness_benchmark,2210,0.3571820410253559,32195.67481394353,0.40820399530068685,14800.723596945012,,-696.5675647602511,0.9059563434724552,0.8381592669018616
task_nested + model + harness + model:harness + benchmark:harness,task_nested + model_name + scaffold_name + model_harness + harness_benchmark,2375,0.3456394236015952,31155.24636460059,0.42732834672536923,15841.152046287953,,1040.4284493429404,0.9131622898439532,0.8467017240231645
task_nested + model + harness + task:harness,task_nested + model_name + scaffold_name + task_harness,5618,0.3314411569074362,29875.443001322485,0.45085270276280554,17120.955409566057,,1279.8033632781044,0.9204857195621889,0.8483880272471099
