model_name,scaffold_name,n,accuracy,mean_predicted,mean_residual,abs_mean_residual
DeepSeek R1,SWE-Agent,1,0.0,0.25393919469537046,-0.25393919469537046,0.25393919469537046
Gemini 2.5 Pro Preview,HAL Generalist Agent,45,0.044444444444444446,0.06390461186700981,-0.019460167422565365,0.01946016742256536
GPT-4o,HAL Generalist Agent,50,0.02,0.037906397724515,-0.017906397724514998,0.01790639772451499
GPT-4.1,AssistantBench Browser Agent,33,0.06060606060606061,0.045204633132040775,0.015401427474019829,0.015401427474019822
Claude Haiku 4.5,CORE-Agent,45,0.1111111111111111,0.12549967629835512,-0.014388565187244011,0.014388565187244011
o3,AssistantBench Browser Agent,33,0.06060606060606061,0.046417291138960814,0.014188769467099788,0.014188769467099778
o3,SciCode Tool Calling Agent,65,0.09230769230769231,0.07855189541511529,0.01375579689257702,0.013755796892576997
GPT-5,AssistantBench Browser Agent,66,0.0,0.012613160243695541,-0.012613160243695541,0.012613160243695545
Claude Opus 4.5,Claude Code,45,0.7777777777777778,0.7658052702097453,0.011972507568032463,0.011972507568032448
Claude Haiku 4.5,SciCode Tool Calling Agent,65,0.0,0.011602943652436372,-0.011602943652436372,0.011602943652436372
DeepSeek V3 / Chat,AssistantBench Browser Agent,33,0.0,0.011213194569073182,-0.011213194569073182,0.011213194569073182
Gemini 2.0 Flash,SWE-Agent,49,0.22448979591836735,0.23530392381440585,-0.010814127896038512,0.010814127896038533
DeepSeek V3 / Chat,SciCode Tool Calling Agent,65,0.0,0.009821613017636151,-0.009821613017636151,0.009821613017636151
Gemini 3 Pro Preview,HAL Generalist Agent,45,0.35555555555555557,0.3457916206609121,0.009763934894643412,0.009763934894643387
DeepSeek R1,SciCode Zero Shot Agent,65,0.0,0.009248375730324183,-0.009248375730324183,0.009248375730324181
GPT-4.1,TAU-bench ToolCalling,50,0.36,0.36900601143042716,-0.00900601143042718,0.00900601143042719
DeepSeek R1,TAU-bench ToolCalling,48,0.375,0.366125807930415,0.008874192069585063,0.008874192069585068
GPT-5,SWE-Agent,50,0.64,0.6311658398797528,0.008834160120247167,0.008834160120247167
DeepSeek V3 / Chat,TAU-bench ToolCalling,49,0.4489795918367347,0.4408316689380965,0.008147922898638216,0.008147922898638223
Gemini 2.0 Flash,AssistantBench Browser Agent,66,0.0,0.00810575253316576,-0.00810575253316576,0.008105752533165762
GPT-5,SciCode Tool Calling Agent,65,0.06153846153846154,0.05352577995083377,0.008012681587627772,0.00801268158762779
DeepSeek R1,SciCode Tool Calling Agent,65,0.0,0.007935300172121846,-0.007935300172121846,0.007935300172121846
Claude Opus 4.1,CORE-Agent,90,0.4666666666666667,0.45911047356262313,0.007556193104043452,0.007556193104043429
DeepSeek R1,AssistantBench Browser Agent,66,0.0,0.007219970885992182,-0.007219970885992182,0.007219970885992182
Claude Opus 4.1,Claude Code,45,0.4222222222222222,0.42933353376865757,-0.00711131154643535,0.007111311546435347
DeepSeek R1,CORE-Agent,90,0.06666666666666667,0.07353083463473846,-0.006864167968071789,0.006864167968071783
DeepSeek R1,SAB Self-Debug,102,0.23529411764705882,0.22849578903548867,0.0067983286115701645,0.006798328611570185
GPT-4.1,CORE-Agent,45,0.3333333333333333,0.32658675467426507,0.0067465786590682475,0.006746578659068227
Gemini 2.0 Flash,TAU-bench FewShot,50,0.44,0.4333337744497905,0.006666225550209512,0.006666225550209512
Claude Sonnet 4.5,Claude Code,45,0.6222222222222222,0.615629949038515,0.006592273183707244,0.006592273183707246
Claude Opus 4.1,AssistantBench Browser Agent,66,0.015151515151515152,0.02170915990820675,-0.0065576447566916005,0.006557644756691602
o4-mini,AssistantBench Browser Agent,99,0.06060606060606061,0.05409301958643772,0.006513041019622881,0.006513041019622859
Gemini 2.0 Flash,CORE-Agent,45,0.1111111111111111,0.11728065813407282,-0.00616954702296171,0.006169547022961723
GPT-4.1,SciCode Tool Calling Agent,65,0.015384615384615385,0.02146802687113689,-0.006083411486521505,0.0060834114865215075
GPT-4o,TAU-bench FewShot,50,0.4,0.39424659461052614,0.005753405389473864,0.005753405389473867
GPT-5,HF Open Deep Research,164,0.6280487804878049,0.6224333079742966,0.0056154725135082436,0.005615472513508219
GPT-4.1,SciCode Zero Shot Agent,65,0.06153846153846154,0.056005763703018054,0.0055326978354434874,0.005532697835443498
Claude 3.7 Sonnet,SciCode Zero Shot Agent,130,0.015384615384615385,0.020522913919031865,-0.005138298534416479,0.005138298534416475
Claude Sonnet 4.5,SWE-Agent,99,0.7070707070707071,0.7023102530831036,0.004760453987603496,0.004760453987603496
DeepSeek V3 / Chat,SWE-Agent,31,0.41935483870967744,0.4147814220552893,0.0045734166543881585,0.00457341665438816
GPT-OSS 120B,CORE-Agent,90,0.1111111111111111,0.11536059843967499,-0.00424948732856387,0.004249487328563866
DeepSeek V3 / Chat,TAU-bench FewShot,50,0.34,0.34412207814617024,-0.004122078146170272,0.004122078146170276
Claude Sonnet 4.5,SciCode Tool Calling Agent,130,0.023076923076923078,0.02683754133149134,-0.0037606182545682626,0.0037606182545682626
DeepSeek R1,TAU-bench FewShot,50,0.36,0.35629625893312633,0.003703741066873594,0.003703741066873589
Claude Sonnet 4.5,CORE-Agent,90,0.4111111111111111,0.40743902818355016,0.0036720829275610333,0.003672082927561041
GPT-4.1,SWE-Agent,49,0.46938775510204084,0.4729234308630285,-0.0035356757609877254,0.0035356757609877423
o1,SWE-Agent,50,0.4,0.4034611249908928,-0.0034611249908928165,0.0034611249908928165
o3,CORE-Agent,45,0.24444444444444444,0.2477977177960657,-0.0033532733516212555,0.003353273351621279
o3,TAU-bench ToolCalling,50,0.54,0.5366909862117605,0.003309013788239521,0.003309013788239521
Claude Opus 4.1,SciCode Tool Calling Agent,195,0.07179487179487179,0.06855527798381156,0.003239593811060237,0.003239593811060248
Claude 3.7 Sonnet,AssistantBench Browser Agent,99,0.04040404040404041,0.037191841653940676,0.003212198750099731,0.003212198750099739
Gemini 3 Pro Preview,CORE-Agent,45,0.4,0.3968982192166323,0.0031017807833676582,0.0031017807833676357
o3-mini,HF Open Deep Research,165,0.18181818181818182,0.18483579180434584,-0.003017609986164021,0.0030176099861640017
o4-mini,CORE-Agent,90,0.2222222222222222,0.2251236370709836,-0.002901414848761352,0.0029014148487613626
DeepSeek V3 / Chat,SciCode Zero Shot Agent,65,0.03076923076923077,0.027921661436057878,0.0028475693331728906,0.0028475693331728898
o3,SWE-Agent,81,0.5925925925925926,0.5897490665772379,0.00284352601535468,0.0028435260153546853
GPT-4.1,HF Open Deep Research,165,0.503030303030303,0.5002856451238197,0.0027446579064833525,0.002744657906483372
Claude Opus 4,HF Open Deep Research,165,0.5757575757575758,0.5730187462817437,0.002738829475832106,0.002738829475832083
o4-mini,SciCode Zero Shot Agent,195,0.07179487179487179,0.0690720691935874,0.002722802601284396,0.00272280260128439
Claude Opus 4.5,CORE-Agent,135,0.5333333333333333,0.530693600221011,0.0026397331123223585,0.0026397331123223585
Gemini 2.0 Flash,TAU-bench ToolCalling,50,0.28,0.28263391863110143,-0.0026339186311014327,0.002633918631101442
o3,TAU-bench FewShot,95,0.4842105263157895,0.48666410674375377,-0.0024535804279643197,0.0024535804279643266
o3,SAB Self-Debug,102,0.3333333333333333,0.3308856832636438,0.002447650069689542,0.002447650069689547
GPT-4.1,TAU-bench FewShot,50,0.56,0.5576101000452579,0.002389899954742094,0.0023898999547421053
GPT-4o,SWE-Agent,48,0.2916666666666667,0.2939950307774267,-0.002328364110760058,0.002328364110760072
Claude Haiku 4.5,HAL Generalist Agent,314,0.4426751592356688,0.4404381416480789,0.0022370175875899454,0.00223701758758994
Claude Opus 4.1,HF Open Deep Research,330,0.2696969696969697,0.27186881181636263,-0.0021718421193929194,0.002171842119392907
Claude Sonnet 4.5,AssistantBench Browser Agent,66,0.045454545454545456,0.04331319597066105,0.002141349483884403,0.0021413494838843977
Claude 3.7 Sonnet,TAU-bench FewShot,100,0.47,0.47210458104197145,-0.002104581041971476,0.0021045810419714804
Gemini 2.0 Flash,SciCode Zero Shot Agent,65,0.015384615384615385,0.01743987706476512,-0.002055261680149735,0.002055261680149736
Claude Sonnet 4.5,HF Open Deep Research,330,0.3090909090909091,0.31110734476736085,-0.002016435676451776,0.002016435676451779
o3,HF Open Deep Research,165,0.32727272727272727,0.32925811931007937,-0.0019853920373521143,0.001985392037352129
Claude Sonnet 4,CORE-Agent,90,0.3111111111111111,0.3093030048628896,0.0018081062482215428,0.0018081062482215625
Claude 3.7 Sonnet,CORE-Agent,135,0.3111111111111111,0.30935320327021903,0.0017579078408920586,0.0017579078408920799
Gemini 2.5 Pro Preview,SAB Self-Debug,102,0.18627450980392157,0.18802794492849928,-0.0017534351245777112,0.0017534351245777134
Claude Opus 4.1,SWE-Agent,150,0.6266666666666667,0.6249175639434532,0.001749102723213453,0.0017491027232134353
Gemini 2.0 Flash,SAB Self-Debug,102,0.12745098039215685,0.1291503796121383,-0.001699399219981426,0.0016993992199814134
o4-mini,Browser-Use,600,0.19166666666666668,0.19325196409001277,-0.0015852974233461067,0.0015852974233461598
GPT-5,SAB Self-Debug,102,0.30392156862745096,0.3024015796363178,0.0015199889911331906,0.0015199889911332032
Gemini 2.0 Flash,HF Open Deep Research,165,0.19393939393939394,0.19545267736545488,-0.0015132834260609682,0.0015132834260609541
GPT-OSS 120B,HAL Generalist Agent,90,0.08888888888888889,0.09039153803508572,-0.0015026491461968292,0.001502649146196822
Gemini 2.5 Pro Preview,SeeAct,300,0.39666666666666667,0.39517876826860693,0.0014878983980597166,0.001487898398059689
o3,Browser-Use,300,0.29,0.2914203371117588,-0.0014203371117587822,0.001420337111758793
o4-mini,HF Open Deep Research,330,0.5181818181818182,0.5167681567187279,0.0014136614630902928,0.001413661463090294
Gemini 2.5 Pro Preview,Browser-Use,300,0.41,0.40859074404798545,0.0014092559520145454,0.0014092559520146844
Claude 3.7 Sonnet,SciCode Tool Calling Agent,130,0.038461538461538464,0.0370749210411642,0.0013866174203742627,0.0013866174203742724
DeepSeek R1,HF Open Deep Research,165,0.24848484848484848,0.24711333702307914,0.0013715114617693467,0.0013715114617693306
DeepSeek V3 / Chat,CORE-Agent,90,0.18888888888888888,0.1876370049397064,0.0012518839491825022,0.0012518839491825107
o4-mini,TAU-bench ToolCalling,100,0.46,0.46121585541839705,-0.0012158554183971271,0.0012158554183971338
Gemini 2.0 Flash,Browser-Use,300,0.29,0.2888574300910271,0.001142569908972883,0.0011425699089729117
o3,HAL Generalist Agent,618,0.14563106796116504,0.1467671926097397,-0.0011361246485746335,0.0011361246485746264
DeepSeek V3 / Chat,Browser-Use,300,0.3233333333333333,0.32220874770511126,0.0011245856282220865,0.0011245856282220737
DeepSeek R1,Browser-Use,300,0.25333333333333335,0.25222653474339835,0.0011067985899350023,0.0011067985899349965
Gemini 2.0 Flash,SeeAct,300,0.26666666666666666,0.26564573512937706,0.001020931537289608,0.0010209315372896317
o3,SciCode Zero Shot Agent,65,0.046153846153846156,0.04515328497404049,0.0010005611798056654,0.001000561179805675
DeepSeek V3 / Chat,SAB Self-Debug,102,0.1568627450980392,0.15786060063605634,-0.0009978555380171206,0.0009978555380171206
o4-mini,SciCode Tool Calling Agent,195,0.041025641025641026,0.04002849242046764,0.000997148605173385,0.0009971486051733743
GPT-5,TAU-bench FewShot,100,0.51,0.5109868797200708,-0.0009868797200708412,0.0009868797200708512
GPT-4.1,SAB Self-Debug,102,0.24509803921568626,0.2460600962926106,-0.0009620570769243339,0.0009620570769243512
Claude Sonnet 4,Claude Code,45,0.4666666666666667,0.4676221261571551,-0.0009554594904884528,0.00095545949048847
Claude Sonnet 4.5,HAL Generalist Agent,685,0.6248175182481752,0.6238837330550152,0.0009337851931599963,0.0009337851931600066
Claude Opus 4.1,HAL Generalist Agent,719,0.4951321279554937,0.4942003258944491,0.0009318020610446052,0.0009318020610446008
Claude Opus 4,SWE-Agent,50,0.6,0.5991389757379773,0.0008610242620227471,0.0008610242620227471
o4-mini,SWE-Agent,98,0.5510204081632653,0.5501616385525516,0.0008587696107136822,0.0008587696107136958
o3-mini,TAU-bench FewShot,150,0.4266666666666667,0.4258432815322871,0.0008233851343795454,0.0008233851343795322
Claude 3.7 Sonnet,TAU-bench ToolCalling,97,0.4948453608247423,0.4940653872198257,0.0007799736049165598,0.0007799736049165695
Claude Opus 4.1,SAB Self-Debug,204,0.2696078431372549,0.27036488531100494,-0.0007570421737500571,0.0007570421737500511
Claude Sonnet 4.5,SAB Self-Debug,204,0.29901960784313725,0.29975038482445043,-0.000730776981313194,0.0007307769813132088
GPT-4.1,SeeAct,300,0.30333333333333334,0.3040615561752462,-0.0007282228419128838,0.0007282228419128718
Gemini 2.5 Pro Preview,CORE-Agent,45,0.2222222222222222,0.22149573902506703,0.0007264831971551934,0.0007264831971551934
o3-mini,SWE-Agent,142,0.4084507042253521,0.40777268345333684,0.0006780207720152755,0.0006780207720152911
GPT-5,ColBench Example Agent,1000,0.223,0.2236742746228196,-0.0006742746228196139,0.0006742746228195671
Gemini 2.0 Flash,ColBench Example Agent,1000,0.338,0.3373606957125189,0.000639304287481079,0.0006393042874810533
Claude Haiku 4.5,Browser-Use,600,0.3883333333333333,0.38776655018195544,0.0005667831513779165,0.000566783151377912
Claude Opus 4.1,TAU-bench ToolCalling,100,0.51,0.510548801618322,-0.0005488016183219457,0.0005488016183219457
o3,USACO Episodic + Semantic,307,0.0,0.0005008411177052416,-0.0005008411177052416,0.0005008411177052416
Claude Opus 4.1,USACO Episodic + Semantic,614,0.0,0.0004863465722657335,-0.0004863465722657335,0.0004863465722657335
GPT-5,USACO Episodic + Semantic,307,0.0,0.0004849727589937127,-0.0004849727589937127,0.0004849727589937128
DeepSeek V3 / Chat,HF Open Deep Research,165,0.28484848484848485,0.2843656822507061,0.00048280259777875646,0.00048280259777875516
GPT-4.1,USACO Episodic + Semantic,307,0.0,0.0004721770160456677,-0.0004721770160456677,0.0004721770160456677
GPT-5,TAU-bench ToolCalling,50,0.48,0.4804542143001171,-0.00045421430011712173,0.0004542143001171262
DeepSeek V3 / Chat,HAL Generalist Agent,720,0.17222222222222222,0.17266414661329887,-0.0004419243910766495,0.0004419243910766473
Claude Sonnet 4.5,SeeAct,600,0.365,0.36544079312700795,-0.0004407931270079457,0.0004407931270079975
o4-mini,USACO Episodic + Semantic,614,0.0,0.00043920587883778073,-0.00043920587883778073,0.00043920587883778094
Claude 3.7 Sonnet,SeeAct,600,0.29333333333333333,0.2937573833816198,-0.0004240500482864572,0.00042405004828645804
Claude 3.7 Sonnet,USACO Episodic + Semantic,614,0.0,0.00041699907866273484,-0.00041699907866273484,0.00041699907866273473
GPT-5,HAL Generalist Agent,360,0.4,0.39958319123850533,0.00041680876149468275,0.00041680876149470064
Claude Opus 4,TAU-bench FewShot,100,0.61,0.6096032295788244,0.0003967704211755985,0.0003967704211756351
GPT-5,Browser-Use,900,0.29888888888888887,0.2992791560450064,-0.00039026715611754475,0.00039026715611757684
Claude Haiku 4.5,SeeAct,600,0.345,0.3446110633130981,0.0003889366869019018,0.0003889366869018455
o4-mini,SeeAct,600,0.31833333333333336,0.31867107529427363,-0.000337741960940298,0.0003377419609403039
Claude 3.7 Sonnet,HAL Generalist Agent,1276,0.30329153605015674,0.30296189271270074,0.00032964333745601356,0.00032964333745601904
o3,SeeAct,300,0.39,0.3896894306378369,0.00031056936216310226,0.00031056936216302235
o3-mini,CORE-Agent,90,0.17777777777777778,0.1774672387242144,0.0003105390535633628,0.0003105390535633443
GPT-4.1,HAL Generalist Agent,862,0.1368909512761021,0.1371917575127729,-0.00030080623667083227,0.00030080623667083097
GPT-5,CORE-Agent,45,0.26666666666666666,0.2669663265057494,-0.0002996598390827369,0.00029965983908271837
DeepSeek V3 / Chat,USACO Episodic + Semantic,307,0.0,0.00028807936180543273,-0.00028807936180543273,0.0002880793618054328
Claude 3.7 Sonnet,HF Open Deep Research,330,0.36363636363636365,0.36391954696396017,-0.0002831833275965571,0.0002831833275965549
o3-mini,USACO Episodic + Semantic,614,0.0,0.0002709445401465062,-0.0002709445401465062,0.0002709445401465062
Claude Opus 4.1,TAU-bench FewShot,100,0.58,0.5797355730535727,0.0002644269464272941,0.00026442694642728523
Gemini 2.0 Flash,USACO Episodic + Semantic,307,0.0,0.0002478743422886335,-0.0002478743422886335,0.00024787434228863356
Claude Opus 4,HAL Generalist Agent,530,0.439622641509434,0.4398696793769799,-0.00024703786754595074,0.000247037867545946
