agent_id,is_train_agent,f_agent,model_name,model_provider,model_family,scaffold_name,scaffold_tool_exposure_mechanism
Assistantbench Browser Agent__anthropic/claude-3-7-sonnet-20250219__assistantbench_assistantbench_browser_agent_claude37sonnet20250219_1746383806,False,12.789392471313477,Claude 3.7 Sonnet,Anthropic,Claude Sonnet,AssistantBench Browser Agent,framework_mediated_browser_control
Assistantbench Browser Agent__anthropic/claude-3-7-sonnet-20250219__assistantbench_assistantbench_browser_agent_claude37sonnet20250219_high_1748638033,False,12.789392471313477,Claude 3.7 Sonnet,Anthropic,Claude Sonnet,AssistantBench Browser Agent,framework_mediated_browser_control
Assistantbench Browser Agent__anthropic/claude-3-7-sonnet-20250219__assistantbench_assistantbench_browser_agent_claude37sonnet20250219_low_1748711087,False,12.789392471313477,Claude 3.7 Sonnet,Anthropic,Claude Sonnet,AssistantBench Browser Agent,framework_mediated_browser_control
Assistantbench Browser Agent__anthropic/claude-sonnet-4-5-20250929__assistantbench_assistantbench_browser_agent_claudesonnet4520250929_1759266550,True,12.789392471313477,Claude Sonnet 4.5,Anthropic,Claude Sonnet,AssistantBench Browser Agent,framework_mediated_browser_control
Assistantbench Browser Agent__deepseek-ai/DeepSeek-R1__assistantbench_assistantbench_browser_agent_deepseekaideepseekr1_1748894163,True,17.494718551635742,DeepSeek R1,DeepSeek,DeepSeek R1,AssistantBench Browser Agent,framework_mediated_browser_control
Assistantbench Browser Agent__deepseek-ai/DeepSeek-R1__assistantbench_assistantbench_browser_agent_deepseekr1_1755121049,True,17.494718551635742,DeepSeek R1,DeepSeek,DeepSeek R1,AssistantBench Browser Agent,framework_mediated_browser_control
Assistantbench Browser Agent__deepseek-ai/DeepSeek-V3__assistantbench_assistantbench_browser_agent_deepseekaideepseekv3_1746233269,True,16.21285057067871,DeepSeek V3 / Chat,DeepSeek,DeepSeek V3,AssistantBench Browser Agent,framework_mediated_browser_control
Assistantbench Browser Agent__gemini/gemini-2.0-flash__assistantbench_assistantbench_browser_agent_gemini20flash_1746393958,True,21.932199478149414,Gemini 2.0 Flash,Google,Gemini Flash,AssistantBench Browser Agent,framework_mediated_browser_control
Assistantbench Browser Agent__gemini/gemini-2.0-flash__assistantbench_assistantbench_browser_agent_gemini20flash_1755192000,True,21.932199478149414,Gemini 2.0 Flash,Google,Gemini Flash,AssistantBench Browser Agent,framework_mediated_browser_control
Assistantbench Browser Agent__openai/gpt-4.1-2025-04-14__assistantbench_assistantbench_browser_agent_gpt4120250414_1746225570,True,13.531840324401855,GPT-4.1,OpenAI,GPT,AssistantBench Browser Agent,framework_mediated_browser_control
