benchmark,threshold,discrimination_coverage,n_total,n_needed,n_removed,fraction_needed,cost_reduction
assistantbench,50pct,0.5,33,17,16,0.5151515151515151,0.48484848484848486
assistantbench,70pct,0.7,33,23,10,0.696969696969697,0.303030303030303
assistantbench,80pct,0.8,33,26,7,0.7878787878787878,0.21212121212121215
assistantbench,90pct,0.9,33,30,3,0.9090909090909091,0.09090909090909094
colbench_backend_programming,50pct,0.5,1000,489,511,0.489,0.511
colbench_backend_programming,70pct,0.7,1000,689,311,0.689,0.31100000000000005
colbench_backend_programming,80pct,0.8,1000,790,210,0.79,0.20999999999999996
colbench_backend_programming,90pct,0.9,1000,893,107,0.893,0.10699999999999998
corebench_hard,50pct,0.5,45,23,22,0.5111111111111111,0.48888888888888893
corebench_hard,70pct,0.7,45,32,13,0.7111111111111111,0.28888888888888886
corebench_hard,80pct,0.8,45,36,9,0.8,0.19999999999999996
corebench_hard,90pct,0.9,45,41,4,0.9111111111111111,0.0888888888888889
gaia,50pct,0.5,165,80,85,0.48484848484848486,0.5151515151515151
gaia,70pct,0.7,165,113,52,0.6848484848484848,0.3151515151515152
gaia,80pct,0.8,165,130,35,0.7878787878787878,0.21212121212121215
gaia,90pct,0.9,165,148,17,0.896969696969697,0.10303030303030303
online_mind2web,50pct,0.5,336,159,177,0.4732142857142857,0.5267857142857143
online_mind2web,70pct,0.7,336,227,109,0.6755952380952381,0.32440476190476186
online_mind2web,80pct,0.8,336,262,74,0.7797619047619048,0.22023809523809523
online_mind2web,90pct,0.9,336,298,38,0.8869047619047619,0.11309523809523814
scicode,50pct,0.5,65,33,32,0.5076923076923077,0.49230769230769234
scicode,70pct,0.7,65,46,19,0.7076923076923077,0.29230769230769227
scicode,80pct,0.8,65,52,13,0.8,0.19999999999999996
scicode,90pct,0.9,65,59,6,0.9076923076923077,0.09230769230769231
scienceagentbench,50pct,0.5,102,50,52,0.49019607843137253,0.5098039215686274
scienceagentbench,70pct,0.7,102,71,31,0.696078431372549,0.303921568627451
scienceagentbench,80pct,0.8,102,81,21,0.7941176470588235,0.20588235294117652
scienceagentbench,90pct,0.9,102,91,11,0.8921568627450981,0.10784313725490191
swebench_verified_mini,50pct,0.5,50,25,25,0.5,0.5
swebench_verified_mini,70pct,0.7,50,35,15,0.7,0.30000000000000004
swebench_verified_mini,80pct,0.8,50,40,10,0.8,0.19999999999999996
swebench_verified_mini,90pct,0.9,50,45,5,0.9,0.09999999999999998
taubench_airline,50pct,0.5,50,24,26,0.48,0.52
taubench_airline,70pct,0.7,50,35,15,0.7,0.30000000000000004
taubench_airline,80pct,0.8,50,40,10,0.8,0.19999999999999996
taubench_airline,90pct,0.9,50,45,5,0.9,0.09999999999999998
usaco,50pct,0.5,307,154,153,0.501628664495114,0.498371335504886
usaco,70pct,0.7,307,215,92,0.7003257328990228,0.2996742671009772
usaco,80pct,0.8,307,246,61,0.8013029315960912,0.19869706840390877
usaco,90pct,0.9,307,277,30,0.9022801302931596,0.09771986970684043
