benchmark,task_id,discrimination,easiness,a0,a1,a2,a3,a4,a5,a6,a7
assistantbench,57d9dc6935e8a40b02e7f8ec81768fe70e68a0c05f6866927c9fda38db38a486,2.1359710693359375,0.019434144720435143,-0.4928535223007202,-1.1341367959976196,0.897363007068634,0.518247127532959,0.3838946521282196,0.8347538709640503,0.9760377407073975,-0.4031400680541992
assistantbench,6e3be83d1949fa52cba03fb1ce4b5b3bf7e37a83fd7d67694b10b2e439d90cf8,2.086777448654175,0.00764786871150136,-0.7816577553749084,-0.839832067489624,0.9659795761108398,0.7949296236038208,0.33470484614372253,0.636265218257904,0.9492706656455994,-0.2352195680141449
assistantbench,c7afe00869f98cf363fd83677ac41757ed5e57f03eacc3d1304feb0a92084bd1,2.085256814956665,0.006844123359769583,-0.8250975012779236,-0.8222838640213013,1.000731348991394,0.6807671785354614,0.23072168231010437,0.7256379127502441,0.9475498199462891,-0.2209506332874298
assistantbench,99da66d8af02491f98b98c56b26c709e773b5a2ad945fb280375951ba600de09,2.0421438217163086,0.0273104477673769,-0.6061925888061523,-0.7744901180267334,0.9600604772567749,0.8244730830192566,0.25921630859375,0.6946955323219299,0.914741575717926,-0.4637109637260437
assistantbench,8fa42360185068216f2919935148d4e1ad28ddc18da0abd0f4bb0b6b6f84b127,2.041856050491333,0.07674464583396912,-0.7066590785980225,-0.9869629144668579,0.8064308166503906,0.8030079007148743,0.2192009538412094,0.7840428352355957,0.7652226686477661,-0.39015817642211914
assistantbench,52f7224e9c79431e7926afe317782711a0028750693e7456cde22ef6f4bd8bd5,2.03246808052063,0.01763271912932396,-0.6618700623512268,-0.7722551822662354,1.0645067691802979,0.8640145063400269,0.3469395339488983,0.712764322757721,0.7209017276763916,-0.26207077503204346
assistantbench,0ec4371851b96837b0a81b3dd3df401415061bb532fbafeb4609f3337c358508,2.0020384788513184,-0.012892082333564758,-0.7573437690734863,-0.7687311768531799,0.9841932058334351,0.5825484991073608,0.4124790132045746,0.5816423892974854,0.9293956756591797,-0.4042505621910095
assistantbench,cca4776df3c73e7f9430a2e624aafad056b14322a0b7ca6c0c22b7e7f3f0890a,2.001462936401367,-0.012978240847587585,-0.7567108869552612,-0.7681854367256165,0.9849905967712402,0.5768474340438843,0.41481292247772217,0.5803289413452148,0.9304912090301514,-0.4068281650543213
assistantbench,291b53e665b4dd4365cde995042db4a6f6fecef3fe3a6f4482f23d61bd673918,2.001406192779541,-0.012733236886560917,-0.7571247816085815,-0.7704171538352966,0.9838805198669434,0.5831445455551147,0.4085693657398224,0.5808886885643005,0.9299324750900269,-0.40203577280044556
assistantbench,2ddae3b7a208e3c25f14d82d7a1faaaa1832fbf950b4dac345e755c4c361f294,2.00107741355896,-0.012676956132054329,-0.7560179829597473,-0.769259512424469,0.9841091632843018,0.5794361233711243,0.4121420085430145,0.5826495289802551,0.9287770986557007,-0.4059576392173767
assistantbench,b36ef2d8f2643b80e74a44ce3403f674ecb2aed7fd36afeaa289061a59feef92,2.0005085468292236,-0.012557155452668667,-0.755337119102478,-0.7701718211174011,0.9828469753265381,0.5794654488563538,0.4115000367164612,0.5828669667243958,0.9286924600601196,-0.4062409996986389
assistantbench,9baaa267c95f9d8b75741ee9169c50563d297cfa592c20deaffd30dbc5984c74,2.0004525184631348,-0.012448366731405258,-0.75616055727005,-0.7692739367485046,0.9831035733222961,0.5811072587966919,0.4098309874534607,0.5836640000343323,0.9276055097579956,-0.40619397163391113
assistantbench,efc0f3a47e9ed2ecdbcc037c2093865fe6e39f4d413a5d1ccdc7357160a4606b,2.0001673698425293,-0.012508156709372997,-0.7581105828285217,-0.7681223154067993,0.9831163883209229,0.5813852548599243,0.4083709418773651,0.5816330313682556,0.9286331534385681,-0.40494006872177124
assistantbench,e6bc98089608217e45b6956a46518fe3cce64a799b3ac43c6974c449ae14c408,2.0001614093780518,-0.012570769526064396,-0.756679356098175,-0.7702612280845642,0.983146071434021,0.5807647705078125,0.40824171900749207,0.5813722014427185,0.9294387102127075,-0.40299463272094727
assistantbench,e2dc3a6b10b762e8aba7fa4d4e70f757f6d04dcbc8b56c48fc53fd9928d31d07,2.0001516342163086,-0.012416395358741283,-0.7572363615036011,-0.7700461149215698,0.9829068183898926,0.5808645486831665,0.4085066020488739,0.5809972286224365,0.9295189380645752,-0.4028373956680298
assistantbench,797f7a5b65ca28b7e7156e7db1e9f117bd4a021de0cd512bfdbb0be897d89eab,2.000136375427246,-0.012651567347347736,-0.7561988830566406,-0.7697893977165222,0.9831202030181885,0.5795192122459412,0.4104216694831848,0.5818195939064026,0.929084300994873,-0.4044845700263977
