feature,value,support,successes,failures,success_rate
all_updates_are_expected,1,33,21,12,0.6364
all_updates_are_expected,0,14,2,12,0.1429
contains_expected_action_subsequence,1,43,23,20,0.5349
contains_expected_action_subsequence,0,4,0,4,0.0
contains_expected_signature_subsequence,1,36,23,13,0.6389
contains_expected_signature_subsequence,0,11,0,11,0.0
final_action,respond,45,22,23,0.4889
final_action,transfer_to_human_agents,2,1,1,0.5
final_signature,respond,45,22,23,0.4889
final_signature,transfer_to_human_agents,2,1,1,0.5
first_update_is_expected,1,33,21,12,0.6364
first_update_is_expected,0,14,2,12,0.1429
has_send_certificate,0,46,23,23,0.5
has_transfer_to_human_agents,0,45,22,23,0.4889
has_transfer_to_human_agents,1,2,1,1,0.5
has_update_reservation_baggages,0,44,23,21,0.5227
has_update_reservation_baggages,1,3,0,3,0.0
n_search_direct_flight,1,36,22,14,0.6111
n_search_direct_flight,2+,7,1,6,0.1429
n_search_direct_flight,0,4,0,4,0.0
n_update_reservation_flights,1,35,20,15,0.5714
n_update_reservation_flights,2+,8,3,5,0.375
n_update_reservation_flights,0,4,0,4,0.0
used_expected_update_flight,1,43,23,20,0.5349
used_expected_update_flight,0,4,0,4,0.0
used_non_expected_update_flight,0,37,21,16,0.5676
used_non_expected_update_flight,1,10,2,8,0.2
