benchmark,task_id,n,mechanisms,harnesses,models,pass_rate,mechanism_list,code_agent_tool_registry_n,code_agent_tool_registry_pass_rate,code_agent_tool_registry_successes,framework_mediated_browser_control_n,framework_mediated_browser_control_pass_rate,framework_mediated_browser_control_successes,text_action_protocol_n,text_action_protocol_pass_rate,text_action_protocol_successes,no_explicit_tools_n,no_explicit_tools_pass_rate,no_explicit_tools_successes,harness_side_augmentation_n,harness_side_augmentation_pass_rate,harness_side_augmentation_successes,native_tool_schema_n,native_tool_schema_pass_rate,native_tool_schema_successes,code_vs_augmentation_gap
scienceagentbench,3,25,2,2,12,0.72,code_agent_tool_registry; harness_side_augmentation,7,0.14285714285714285,1,,,,,,,,,,18.0,0.9444444444444444,17.0,,,,0.8015873015873016
scienceagentbench,53,25,2,2,12,0.76,code_agent_tool_registry; harness_side_augmentation,7,0.2857142857142857,2,,,,,,,,,,18.0,0.9444444444444444,17.0,,,,0.6587301587301587
scienceagentbench,39,25,2,2,12,0.44,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.6111111111111112,11.0,,,,0.6111111111111112
scienceagentbench,99,25,2,2,12,0.44,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.6111111111111112,11.0,,,,0.6111111111111112
scienceagentbench,76,25,2,2,12,0.56,code_agent_tool_registry; harness_side_augmentation,7,0.14285714285714285,1,,,,,,,,,,18.0,0.7222222222222222,13.0,,,,0.5793650793650793
scienceagentbench,38,25,2,2,12,0.4,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.5555555555555556,10.0,,,,0.5555555555555556
scienceagentbench,19,25,2,2,12,0.52,code_agent_tool_registry; harness_side_augmentation,7,0.14285714285714285,1,,,,,,,,,,18.0,0.6666666666666666,12.0,,,,0.5238095238095237
scienceagentbench,28,25,2,2,12,0.36,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.5,9.0,,,,0.5
scienceagentbench,82,25,2,2,12,0.48,code_agent_tool_registry; harness_side_augmentation,7,0.14285714285714285,1,,,,,,,,,,18.0,0.6111111111111112,11.0,,,,0.4682539682539683
scienceagentbench,69,25,2,2,12,0.76,code_agent_tool_registry; harness_side_augmentation,7,0.42857142857142855,3,,,,,,,,,,18.0,0.8888888888888888,16.0,,,,0.4603174603174603
scienceagentbench,80,25,2,2,12,0.76,code_agent_tool_registry; harness_side_augmentation,7,0.42857142857142855,3,,,,,,,,,,18.0,0.8888888888888888,16.0,,,,0.4603174603174603
scienceagentbench,88,25,2,2,12,0.32,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.4444444444444444,8.0,,,,0.4444444444444444
scienceagentbench,96,25,2,2,12,0.6,code_agent_tool_registry; harness_side_augmentation,7,0.2857142857142857,2,,,,,,,,,,18.0,0.7222222222222222,13.0,,,,0.4365079365079365
scienceagentbench,94,25,2,2,12,0.88,code_agent_tool_registry; harness_side_augmentation,7,0.5714285714285714,4,,,,,,,,,,18.0,1.0,18.0,,,,0.4285714285714286
scienceagentbench,14,25,2,2,12,0.44,code_agent_tool_registry; harness_side_augmentation,7,0.14285714285714285,1,,,,,,,,,,18.0,0.5555555555555556,10.0,,,,0.41269841269841273
scienceagentbench,23,25,2,2,12,0.44,code_agent_tool_registry; harness_side_augmentation,7,0.14285714285714285,1,,,,,,,,,,18.0,0.5555555555555556,10.0,,,,0.41269841269841273
