feature,value,support,successes,failures,success_rate
complete_program_prompt,1,18,17,1,0.9444
complete_program_prompt,0,7,1,6,0.1429
failure_mode,success,18,18,0,1.0
failure_mode,functionally_incorrect,4,0,4,0.0
failure_mode,runtime_exception,2,0,2,0.0
final_event,self_debug:direct_code,11,11,0,1.0
final_event,plain:observation_to_direct_code,4,1,3,0.25
final_event,self_debug:code_block,4,3,1,0.75
final_event,self_debug:error_response,3,3,0,1.0
final_signature,self_debug:direct_code(code_blocks=2),11,11,0,1.0
final_signature,plain:observation_to_direct_code(code_blocks=2),4,1,3,0.25
final_signature,self_debug:code_block(code_blocks=2),4,3,1,0.75
final_signature,self_debug:error_response(code_blocks=2),3,3,0,1.0
length_finish_count,0,23,18,5,0.7826
length_finish_count,1+,2,0,2,0.0
llm_call_count,1,10,9,1,0.9
llm_call_count,2-4,7,7,0,1.0
llm_call_count,13+,4,1,3,0.25
llm_call_count,5-12,4,1,3,0.25
normalized_harness,SAB Self-Debug,18,17,1,0.9444
normalized_harness,HAL Generalist Agent,7,1,6,0.1429
self_debug_prompt,1,18,17,1,0.9444
self_debug_prompt,0,7,1,6,0.1429
tool_exposure_mechanism,harness_side_augmentation,18,17,1,0.9444
tool_exposure_mechanism,code_agent_tool_registry,7,1,6,0.1429
tool_registry_prompt,0,18,17,1,0.9444
tool_registry_prompt,1,7,1,6,0.1429
