suffix,length,support,successes,failures,success_rate,log_odds_lift,mechanisms
self_debug:direct_code(code_blocks=2),1,11,11,0,1.0,3.1355,harness_side_augmentation:11
plain:observation_to_direct_code(code_blocks=2),1,4,1,3,0.25,-2.2054,code_agent_tool_registry:4
self_debug:direct_code(code_blocks=2) -> self_debug:direct_code(code_blocks=2),2,6,6,0,1.0,2.0541,harness_side_augmentation:6
plain:observation_to_direct_code(code_blocks=2) -> plain:observation_to_direct_code(code_blocks=2),2,3,1,2,0.3333,-1.6683,code_agent_tool_registry:3
self_debug:error_response(code_blocks=2),1,3,3,0,1.0,1.22,harness_side_augmentation:3
registry:observation_to_direct_code(code_blocks=2) -> registry:observation_to_direct_code(code_blocks=2) -> registry:observation_to_direct_code(code_blocks=2) -> registry:observation_to_direct_code(code_blocks=2) -> plain:observation_to_direct_code(code_blocks=2) -> plain:observation_to_direct_code(code_blocks=2),6,2,1,1,0.5,-0.9904,code_agent_tool_registry:2
registry:observation_to_direct_code(code_blocks=2) -> registry:observation_to_direct_code(code_blocks=2) -> registry:observation_to_direct_code(code_blocks=2) -> plain:observation_to_direct_code(code_blocks=2) -> plain:observation_to_direct_code(code_blocks=2),5,2,1,1,0.5,-0.9904,code_agent_tool_registry:2
registry:observation_to_direct_code(code_blocks=2) -> registry:observation_to_direct_code(code_blocks=2) -> plain:observation_to_direct_code(code_blocks=2) -> plain:observation_to_direct_code(code_blocks=2),4,2,1,1,0.5,-0.9904,code_agent_tool_registry:2
registry:observation_to_direct_code(code_blocks=2) -> plain:observation_to_direct_code(code_blocks=2) -> plain:observation_to_direct_code(code_blocks=2),3,2,1,1,0.5,-0.9904,code_agent_tool_registry:2
self_debug:code_block(code_blocks=2),1,4,3,1,0.75,-0.0217,harness_side_augmentation:4
