suffix,length,support,successes,failures,success_rate,log_odds_lift
update_reservation_flights(HAT266+HAT112) -> respond -> respond -> respond,4,7,7,0,1.0,3.1034
respond -> update_reservation_flights(HAT266+HAT112) -> respond -> respond -> respond,5,6,6,0,1.0,2.9014
respond -> respond -> respond -> respond,4,6,0,6,0.0,-2.8042
respond -> update_reservation_flights(HAT266+HAT112) -> respond -> respond,4,5,5,0,1.0,2.6788
update_reservation_flights(HAT266+HAT112) -> respond -> respond,3,5,5,0,1.0,2.6788
respond -> respond -> respond -> respond -> respond,5,4,0,4,0.0,-2.3338
respond -> respond -> respond -> respond -> respond -> respond -> respond,7,3,0,3,0.0,-2.0349
respond -> respond -> respond -> respond -> respond -> respond,6,3,0,3,0.0,-2.0349
respond -> search_direct_flight(origin=LAS) -> respond -> respond -> respond -> respond -> update_reservation_flights(HAT266+HAT112) -> respond,8,2,2,0,1.0,1.7401
search_direct_flight(origin=LAS) -> respond -> respond -> respond -> respond -> update_reservation_flights(HAT266+HAT112) -> respond,7,2,2,0,1.0,1.7401
search_direct_flight(origin=LAS) -> respond -> update_reservation_flights(HAT266+HAT112) -> respond -> respond -> respond,6,2,2,0,1.0,1.7401
respond -> respond -> respond -> respond -> update_reservation_flights(HAT266+HAT112) -> respond,6,2,2,0,1.0,1.7401
search_direct_flight(origin=LAS) -> respond -> respond -> update_reservation_flights(HAT266+HAT112) -> respond -> respond,6,2,2,0,1.0,1.7401
respond -> respond -> update_reservation_flights(HAT266+HAT112) -> respond -> respond -> respond,6,2,2,0,1.0,1.7401
respond -> respond -> update_reservation_flights(HAT266+HAT112) -> respond -> respond,5,2,2,0,1.0,1.7401
search_direct_flight(origin=LAS) -> respond -> respond -> update_reservation_flights(HAT266+HAT112) -> respond -> update_reservation_flights(HAT266+HAT112) -> respond,7,2,0,2,0.0,-1.6529
respond -> respond -> update_reservation_flights(HAT266+HAT112) -> respond -> update_reservation_flights(HAT266+HAT112) -> respond,6,2,0,2,0.0,-1.6529
update_reservation_baggages(reservation_id=1N99U6) -> respond,2,2,0,2,0.0,-1.6529
respond -> search_direct_flight(origin=LAS) -> respond -> respond -> update_reservation_flights(HAT266+HAT112) -> respond,6,5,1,4,0.2,-1.1917
search_direct_flight(origin=LAS) -> respond -> respond -> update_reservation_flights(HAT266+HAT112) -> respond,5,5,1,4,0.2,-1.1917
respond -> get_reservation_details(reservation_id=1N99U6) -> respond -> search_direct_flight(origin=LAS) -> respond -> respond -> update_reservation_flights(HAT266+HAT112) -> respond,8,4,1,3,0.25,-0.8928
get_reservation_details(reservation_id=1N99U6) -> respond -> search_direct_flight(origin=LAS) -> respond -> respond -> update_reservation_flights(HAT266+HAT112) -> respond,7,4,1,3,0.25,-0.8928
respond -> respond,2,22,13,9,0.5909,0.7409
respond -> get_user_details(user_id=james_taylor_7043) -> respond -> update_reservation_flights(HAT266+HAT112) -> respond,5,3,2,1,0.6667,0.5998
respond -> respond -> respond -> update_reservation_flights(HAT266+HAT112) -> respond,5,3,2,1,0.6667,0.5998
get_user_details(user_id=james_taylor_7043) -> respond -> update_reservation_flights(HAT266+HAT112) -> respond,4,3,2,1,0.6667,0.5998
respond -> update_reservation_flights(HAT266+HAT112) -> respond -> update_reservation_flights(HAT266+HAT112) -> respond,5,3,1,2,0.3333,-0.5108
update_reservation_flights(HAT266+HAT112) -> respond -> update_reservation_flights(HAT266+HAT112) -> respond,4,3,1,2,0.3333,-0.5108
respond -> update_reservation_flights(HAT266+HAT112) -> respond,3,17,9,8,0.5294,0.2404
respond -> respond -> update_reservation_flights(HAT266+HAT112) -> respond,4,9,4,5,0.4444,-0.2007
update_reservation_flights(HAT266+HAT112) -> respond,2,18,9,9,0.5,0.0667
respond -> respond -> respond,3,14,7,7,0.5,0.0588
respond,1,45,22,23,0.4889,-0.0435
get_reservation_details(reservation_id=1N99U6) -> respond -> search_direct_flight(origin=LAS) -> respond -> get_user_details(user_id=james_taylor_7043) -> respond -> update_reservation_flights(HAT266+HAT112) -> respond,8,2,1,1,0.5,0.0435
respond -> search_direct_flight(origin=LAS) -> respond -> get_user_details(user_id=james_taylor_7043) -> respond -> update_reservation_flights(HAT266+HAT112) -> respond,7,2,1,1,0.5,0.0435
search_direct_flight(origin=LAS) -> respond -> get_user_details(user_id=james_taylor_7043) -> respond -> update_reservation_flights(HAT266+HAT112) -> respond,6,2,1,1,0.5,0.0435
respond -> transfer_to_human_agents,2,2,1,1,0.5,0.0435
transfer_to_human_agents,1,2,1,1,0.5,0.0435
