suffix,length,support,successes,failures,success_rate,log_odds_lift
respond -> respond -> respond -> respond,4,6,0,6,0.0,-2.8042
respond -> respond -> respond -> respond -> respond,5,4,0,4,0.0,-2.3338
respond -> respond -> respond -> respond -> respond -> respond -> respond,7,3,0,3,0.0,-2.0349
respond -> respond -> respond -> respond -> respond -> respond,6,3,0,3,0.0,-2.0349
update_reservation_flights -> respond -> respond -> respond,4,8,7,1,0.875,1.9631
respond -> update_reservation_flights -> respond -> respond -> respond,5,7,6,1,0.8571,1.7611
respond -> search_direct_flight -> respond -> respond -> respond -> respond -> update_reservation_flights -> respond,8,2,2,0,1.0,1.7401
search_direct_flight -> respond -> respond -> respond -> respond -> update_reservation_flights -> respond,7,2,2,0,1.0,1.7401
search_direct_flight -> respond -> update_reservation_flights -> respond -> respond -> respond,6,2,2,0,1.0,1.7401
respond -> respond -> respond -> respond -> update_reservation_flights -> respond,6,2,2,0,1.0,1.7401
search_direct_flight -> respond -> respond -> update_reservation_flights -> respond -> update_reservation_flights -> respond,7,2,0,2,0.0,-1.6529
respond -> respond -> update_reservation_flights -> respond -> update_reservation_flights -> respond,6,2,0,2,0.0,-1.6529
update_reservation_baggages -> respond,2,2,0,2,0.0,-1.6529
search_direct_flight -> respond -> respond -> update_reservation_flights -> respond,5,6,1,5,0.1667,-1.4424
respond -> search_direct_flight -> respond -> respond -> update_reservation_flights -> respond,6,5,1,4,0.2,-1.1917
respond -> update_reservation_flights -> respond -> respond,4,7,5,2,0.7143,0.9842
update_reservation_flights -> respond -> respond,3,7,5,2,0.7143,0.9842
respond -> get_reservation_details -> respond -> search_direct_flight -> respond -> respond -> update_reservation_flights -> respond,8,4,1,3,0.25,-0.8928
get_reservation_details -> respond -> search_direct_flight -> respond -> respond -> update_reservation_flights -> respond,7,4,1,3,0.25,-0.8928
respond -> respond,2,22,13,9,0.5909,0.7409
respond -> respond -> update_reservation_flights -> respond,4,11,4,7,0.3636,-0.619
search_direct_flight -> respond -> respond -> update_reservation_flights -> respond -> respond,6,3,2,1,0.6667,0.5998
respond -> respond -> update_reservation_flights -> respond -> respond -> respond,6,3,2,1,0.6667,0.5998
respond -> get_user_details -> respond -> update_reservation_flights -> respond,5,3,2,1,0.6667,0.5998
get_user_details -> respond -> update_reservation_flights -> respond,4,3,2,1,0.6667,0.5998
respond -> update_reservation_flights -> respond -> update_reservation_flights -> respond,5,3,1,2,0.3333,-0.5108
update_reservation_flights -> respond -> update_reservation_flights -> respond,4,3,1,2,0.3333,-0.5108
update_reservation_flights -> respond,2,20,9,11,0.45,-0.2625
respond -> update_reservation_flights -> respond,3,19,9,10,0.4737,-0.1001
respond -> respond -> respond,3,14,7,7,0.5,0.0588
respond -> respond -> update_reservation_flights -> respond -> respond,5,4,2,2,0.5,0.0455
respond -> respond -> respond -> update_reservation_flights -> respond,5,4,2,2,0.5,0.0455
respond,1,45,22,23,0.4889,-0.0435
get_reservation_details -> respond -> search_direct_flight -> respond -> get_user_details -> respond -> update_reservation_flights -> respond,8,2,1,1,0.5,0.0435
respond -> search_direct_flight -> respond -> get_user_details -> respond -> update_reservation_flights -> respond,7,2,1,1,0.5,0.0435
search_direct_flight -> respond -> get_user_details -> respond -> update_reservation_flights -> respond,6,2,1,1,0.5,0.0435
respond -> transfer_to_human_agents,2,2,1,1,0.5,0.0435
transfer_to_human_agents,1,2,1,1,0.5,0.0435
