task_id,hal_correct,swe_correct
sphinx-doc__sphinx-9230,0,1
sphinx-doc__sphinx-10435,0,1
sphinx-doc__sphinx-8035,0,1
sphinx-doc__sphinx-9698,0,1
sphinx-doc__sphinx-8551,0,1
django__django-11951,0,1
django__django-12774,0,1
django__django-12209,0,1
django__django-12039,0,1
django__django-11999,0,1
sphinx-doc__sphinx-8475,0,1
django__django-12304,0,1
django__django-12155,0,1
django__django-11815,0,1
sphinx-doc__sphinx-9367,0,1
django__django-12708,0,1
sphinx-doc__sphinx-8269,0,1
sphinx-doc__sphinx-10323,0,1
django__django-12325,0,1
sphinx-doc__sphinx-10466,0,1
django__django-12050,0,1
sphinx-doc__sphinx-7757,0,1
django__django-11880,0,1
sphinx-doc__sphinx-8721,0,1
django__django-12143,0,1
sphinx-doc__sphinx-9320,0,1
